entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-1976-punjab-1,punjab,1985,1,FATEHGARH,NIRMAL SINGH,parties.IN.SAD,SAD,36915,62.31,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-1,punjab,1985,1,FATEHGARH,JOGINDER SINGH,parties.IN.INC,INC,20877,35.24,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-1,punjab,1985,1,FATEHGARH,HARBHAJAN SINGH RANDHAWA,parties.IN.IND,IND,1023,1.73,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-1,punjab,1985,1,FATEHGARH,KULDIP SINGH,parties.IN.IND,IND,433,0.73,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-2,punjab,1985,2,BATALA,ASHWANI,parties.IN.INC,INC,34401,51.15,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-2,punjab,1985,2,BATALA,DHARAM SINGH,parties.IN.SAD,SAD,20230,30.08,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-2,punjab,1985,2,BATALA,BALDEV MITTAR,parties.IN.BJP,BJP,9641,14.33,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-2,punjab,1985,2,BATALA,RAM RATTAN,parties.IN.IND,IND,1576,2.34,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-2,punjab,1985,2,BATALA,RANBIR SINGH,parties.IN.CPIM,CPM,1037,1.54,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-2,punjab,1985,2,BATALA,BALBIR SINGH,parties.IN.IND,IND,170,0.25,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-2,punjab,1985,2,BATALA,KARNAIL SINGH,parties.IN.IND,IND,153,0.23,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-2,punjab,1985,2,BATALA,BALWINDER SINGH,parties.IN.IND,IND,48,0.07,8,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-3,punjab,1985,3,QADIAN,KALWANT SINGH,parties.IN.SAD,SAD,22112,35.82,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-3,punjab,1985,3,QADIAN,LAKHBIR SINGH,parties.IN.IND,IND,18756,30.38,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-3,punjab,1985,3,QADIAN,BUTA SINGH,parties.IN.INC,INC,18023,29.19,3,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-3,punjab,1985,3,QADIAN,HAZARA SINGH,parties.IN.IND,IND,1615,2.62,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-3,punjab,1985,3,QADIAN,SANTOKH MASIH,parties.IN.IND,IND,1073,1.74,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-3,punjab,1985,3,QADIAN,AJAY PAL SINGH,parties.IN.IND,IND,155,0.25,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-4,punjab,1985,4,SRIHARGOBINDPUR,NATHA SINGH,parties.IN.SAD,SAD,22753,45.06,1,won,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-4,punjab,1985,4,SRIHARGOBINDPUR,GURNAM SINGH,parties.IN.CPI,CPI,14735,29.18,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-4,punjab,1985,4,SRIHARGOBINDPUR,HARPAL SINGH,parties.IN.INC,INC,11631,23.03,3,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-4,punjab,1985,4,SRIHARGOBINDPUR,DAYAL SINGH,parties.IN.IND,IND,1375,2.72,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-5,punjab,1985,5,KAHNUWAN,JOHAR SINGH,parties.IN.SAD,SAD,27173,61.1,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-5,punjab,1985,5,KAHNUWAN,SURINDEJIT SINGH,parties.IN.INC,INC,12414,27.91,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-5,punjab,1985,5,KAHNUWAN,AJIT SINGH,parties.IN.CPIM,CPM,4008,9.01,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-5,punjab,1985,5,KAHNUWAN,JATINDER SINGH,parties.IN.IND,IND,539,1.21,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-5,punjab,1985,5,KAHNUWAN,JASBIR SINGH,parties.IN.IND,IND,338,0.76,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-6,punjab,1985,6,DHARIWAL,SUCHA SINGH CHHOTEPUR,parties.IN.SAD,SAD,25162,47.03,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-6,punjab,1985,6,DHARIWAL,IBRAHIM IRSAD,parties.IN.INC,INC,20282,37.91,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-6,punjab,1985,6,DHARIWAL,RAJ KUMAR,parties.IN.CPI,CPI,4225,7.9,3,forfeit,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-6,punjab,1985,6,DHARIWAL,GURMIT SINGH,parties.IN.IND,IND,3354,6.27,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-6,punjab,1985,6,DHARIWAL,SWARAN SINGH,parties.IN.IND,IND,484,0.9,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-7,punjab,1985,7,GURDASPUR,SUSHEEL,parties.IN.INC,INC,28137,47.33,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-punjab-7,punjab,1985,7,GURDASPUR,KARTAR SINGH,parties.IN.SAD,SAD,25946,43.64,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
