entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-1976-punjab-1,punjab,1997,FATEHGARH,110698,82026,74.1,NIRMAL SINGH,parties.IN.IND,IND,43195,52.66,SUKHJINDER SINGH,parties.IN.INC,INC,37659,5536,6.75,src-1b7bc1c9d39a
IN-AC-1976-punjab-10,punjab,1997,PATHANKOT,123297,81902,66.43,MOHAN LAL,parties.IN.BJP,BJP,46365,56.61,RAMAN,parties.IN.INC,INC,31649,14716,17.97,src-1b7bc1c9d39a
IN-AC-1976-punjab-100,punjab,1997,BAGHA PURANA,123916,94718,76.44,SADHU SINGH,parties.IN.SAD,SAD,45869,48.43,MAHESHINDER SINGH,parties.IN.INC,INC,41496,4373,4.62,src-1b7bc1c9d39a
IN-AC-1976-punjab-101,punjab,1997,NIHAL SINGH WALA,114967,84251,73.28,AJAIB SINGH,parties.IN.CPI,CPI,39842,47.29,ZORA SINGH,parties.IN.SAD,SAD,38051,1791,2.13,src-1b7bc1c9d39a
IN-AC-1976-punjab-102,punjab,1997,PANJGRAIN,121481,88194,72.6,GURDEV SINGH BADAL,parties.IN.SAD,SAD,44265,50.19,GURCHARAN SINGH,parties.IN.INC,INC,35905,8360,9.48,src-1b7bc1c9d39a
IN-AC-1976-punjab-103,punjab,1997,KOT KAPURA,144040,104123,72.29,MANTAR SINGH,parties.IN.IND,IND,50562,48.56,MOHINDER SINGH,parties.IN.SAD,SAD,34933,15629,15.01,src-1b7bc1c9d39a
IN-AC-1976-punjab-104,punjab,1997,FARIDKOT,150512,109543,72.78,AVTAR SINGH,parties.IN.INC,INC,55857,50.99,JAGDISH KAUR,parties.IN.SAD,SAD,52334,3523,3.22,src-1b7bc1c9d39a
IN-AC-1976-punjab-105,punjab,1997,MUKTSAR,135073,92076,68.17,HARNIRPAL SINGH,parties.IN.SAD,SAD,52166,56.66,AVTAR SINGH,parties.IN.IND,IND,39398,12768,13.87,src-1b7bc1c9d39a
IN-AC-1976-punjab-106,punjab,1997,GIDDAR BAHA,131786,96357,73.12,MANPREET SINGH BADAL,parties.IN.SAD,SAD,51086,53.02,MALKIT SINGH,parties.IN.INC,INC,33938,17148,17.8,src-1b7bc1c9d39a
IN-AC-1976-punjab-107,punjab,1997,MALOUT,127844,81605,63.83,SUJAN SINGH,parties.IN.SAD,SAD,39583,48.51,NATHU RAM,parties.IN.CPI,CPI,22617,16966,20.79,src-1b7bc1c9d39a
IN-AC-1976-punjab-108,punjab,1997,LAMBI,123519,92393,74.8,PARKASH SINGH BADAL,parties.IN.SAD,SAD,52963,57.32,GURNAM SINGH ABUL - KHURANA,parties.IN.INC,INC,24235,28728,31.09,src-1b7bc1c9d39a
IN-AC-1976-punjab-109,punjab,1997,TALWANDI SABO,119178,91360,76.66,HARMINDER SINGH JASSI,parties.IN.INC,INC,36483,39.93,JEET MOHINDER SINGH,parties.IN.SAD,SAD,33290,3193,3.49,src-1b7bc1c9d39a
IN-AC-1976-punjab-11,punjab,1997,SUJANPUR,119889,84435,70.43,SATPAL SAINI,parties.IN.BJP,BJP,36775,43.55,RAGHUNATH SAHAI PURI,parties.IN.INC,INC,26741,10034,11.88,src-1b7bc1c9d39a
IN-AC-1976-punjab-110,punjab,1997,PAKKA KALAN,120682,80040,66.32,MAKHAN SINGH,parties.IN.SAD,SAD,39873,49.82,RAMESHWER DASS,parties.IN.INC,INC,28844,11029,13.78,src-1b7bc1c9d39a
IN-AC-1976-punjab-111,punjab,1997,BHATINDA,193167,109630,56.75,CHIRANJI LAL GARG,parties.IN.SAD,SAD,55736,50.84,SURINDER KAPOOR,parties.IN.INC,INC,31355,24381,22.24,src-1b7bc1c9d39a
IN-AC-1976-punjab-112,punjab,1997,NATHANA,127392,85673,67.25,BALBIR SINGH,parties.IN.SAD,SAD,41957,48.97,GULZAR SINGH,parties.IN.INC,INC,25053,16904,19.73,src-1b7bc1c9d39a
IN-AC-1976-punjab-113,punjab,1997,RAMPURA PHUL,128785,94386,73.29,SIKANDAR SINGH,parties.IN.SAD,SAD,36187,38.34,HARBANS SINGH,parties.IN.INC,INC,26703,9484,10.05,src-1b7bc1c9d39a
IN-AC-1976-punjab-114,punjab,1997,JOGA,115657,90846,78.55,BALDEV SINGH,parties.IN.SAD,SAD,30928,34.04,SUKHDEV SINGH DHILLON,parties.IN.IND,IND,27309,3619,3.98,src-1b7bc1c9d39a
IN-AC-1976-punjab-115,punjab,1997,MANSA,136293,94104,69.05,SUKHVINDER SINGH,parties.IN.SAD,SAD,36013,38.27,BOOTA SINGH,parties.IN.CPI,CPI,34227,1786,1.9,src-1b7bc1c9d39a
IN-AC-1976-punjab-116,punjab,1997,BUDHLADA,124112,96257,77.56,HARDEV SINGH,parties.IN.CPI,CPI,47469,49.31,HARBANT SINGH,parties.IN.SAD,SAD,41020,6449,6.69,src-1b7bc1c9d39a
IN-AC-1976-punjab-117,punjab,1997,SARDULGARH,124201,97860,78.79,AJIT INDER SINGH,parties.IN.SADM,SAD(M),45152,46.14,BALWINDER SINGH,parties.IN.SAD,SAD,42035,3117,3.19,src-1b7bc1c9d39a
IN-AC-1976-punjab-12,punjab,1997,BEAS,126962,90068,70.94,MANMOHAN SINGH,parties.IN.SAD,SAD,43588,48.39,JASBIR SINGH,parties.IN.INC,INC,41761,1827,2.02,src-1b7bc1c9d39a
IN-AC-1976-punjab-13,punjab,1997,MAJITHA,116382,86608,74.42,PARKASH SINGH,parties.IN.SAD,SAD,34026,39.29,SAWINDER SINGH,parties.IN.IND,IND,31195,2831,3.27,src-1b7bc1c9d39a
IN-AC-1976-punjab-14,punjab,1997,VERKA,165207,92119,55.76,UJAGAR SINGH,parties.IN.SAD,SAD,52554,57.05,GURMEJ SINGH,parties.IN.INC,INC,21109,31445,34.14,src-1b7bc1c9d39a
IN-AC-1976-punjab-15,punjab,1997,JANDIALA,145055,91001,62.74,AJAYPAL SINGH MIRANKOT,parties.IN.SAD,SAD,51377,56.46,SARDOOL SINGH,parties.IN.INC,INC,31617,19760,21.72,src-1b7bc1c9d39a
IN-AC-1976-punjab-16,punjab,1997,AMRITSAR NORTH,114372,59340,51.88,BALDEV RAJ CHAWLA,parties.IN.BJP,BJP,35661,60.1,FAQIR CHAND SHARMA,parties.IN.INC,INC,18929,16732,28.2,src-1b7bc1c9d39a
IN-AC-1976-punjab-17,punjab,1997,AMRITSAR WEST,183163,105492,57.59,OM PARKASH SONI,parties.IN.IND,IND,42305,40.1,OM PARKASH KALIA,parties.IN.BJP,BJP,28634,13671,12.96,src-1b7bc1c9d39a
IN-AC-1976-punjab-18,punjab,1997,AMRITSAR CENTRAL,83232,50244,60.37,LAXMI KANTA CHAWLA,parties.IN.BJP,BJP,27070,53.88,DARBARI LAL,parties.IN.INC,INC,12487,14583,29.03,src-1b7bc1c9d39a
IN-AC-1976-punjab-19,punjab,1997,AMRITSAR SOUTH,140221,76468,54.53,MANJIT SINGH CALCUTTA,parties.IN.SAD,SAD,31060,40.62,HARJINDER SINGH THEKEDAR,parties.IN.INC,INC,16565,14495,18.96,src-1b7bc1c9d39a
IN-AC-1976-punjab-2,punjab,1997,BATALA,130145,88849,68.27,JAGDISH,parties.IN.BJP,BJP,49843,56.1,ASHWANI,parties.IN.INC,INC,35986,13857,15.6,src-1b7bc1c9d39a
IN-AC-1976-punjab-20,punjab,1997,AJNALA,134221,100419,74.82,RATTAN SINGH,parties.IN.SAD,SAD,50705,50.49,RAJBIR SINGH,parties.IN.INC,INC,48994,1711,1.7,src-1b7bc1c9d39a
IN-AC-1976-punjab-21,punjab,1997,RAJA SANSI,112257,83709,74.57,VIR SINGH LOPOKE,parties.IN.SAD,SAD,52182,62.34,SUKHBINDER SINGH SARKARIA,parties.IN.INC,INC,31527,20655,24.68,src-1b7bc1c9d39a
IN-AC-1976-punjab-22,punjab,1997,ATTARI,107125,68981,64.39,GULZAR SINGH,parties.IN.SAD,SAD,52134,75.58,SARDUL SINGH,parties.IN.CPI,CPI,10956,41178,59.7,src-1b7bc1c9d39a
IN-AC-1976-punjab-23,punjab,1997,TARN TARAN,120879,75831,62.73,PREM SINGH LALPUR,parties.IN.SAD,SAD,45121,59.5,DALBAGH SINGH DALEKE,parties.IN.INC,INC,19902,25219,33.25,src-1b7bc1c9d39a
IN-AC-1976-punjab-24,punjab,1997,KHADOOR SAHIB,114193,73110,64.02,RANJIT SINGH,parties.IN.SAD,SAD,45292,61.95,LAKHA SINGH,parties.IN.INC,INC,12002,33290,45.53,src-1b7bc1c9d39a
IN-AC-1976-punjab-25,punjab,1997,NAUSHAHRA PANWAN,103296,67588,65.43,RANJIT SINGH,parties.IN.SAD,SAD,48339,71.52,JAGIR SINGH,parties.IN.INC,INC,16743,31596,46.75,src-1b7bc1c9d39a
IN-AC-1976-punjab-26,punjab,1997,PATTI,125816,84974,67.54,ADAISH PARTAP SINGH,parties.IN.SAD,SAD,60721,71.46,SUKHWINDER SINGH,parties.IN.INC,INC,13234,47487,55.89,src-1b7bc1c9d39a
IN-AC-1976-punjab-27,punjab,1997,VALTOHA,108827,79150,72.73,JAGIR SINGH,parties.IN.SAD,SAD,37733,47.67,GURCHET SINGH,parties.IN.INC,INC,36579,1154,1.46,src-1b7bc1c9d39a
IN-AC-1976-punjab-28,punjab,1997,ADAMPUR,119434,83221,69.68,SAROOP SINGH,parties.IN.SAD,SAD,40578,48.76,KANWALJIT SINGH LALLY,parties.IN.INC,INC,24274,16304,19.59,src-1b7bc1c9d39a
IN-AC-1976-punjab-29,punjab,1997,JULLUNDUR CANTONMENT,127315,76064,59.74,TEJ PARKASH SINGH,parties.IN.INC,INC,32426,42.63,SURJIT SINGH MINHAS,parties.IN.SAD,SAD,28766,3660,4.81,src-1b7bc1c9d39a
IN-AC-1976-punjab-3,punjab,1997,QADIAN,131298,92699,70.6,NATHA SINGH DALAM,parties.IN.SAD,SAD,43424,46.84,TRIPAT RAJINDER SINGH,parties.IN.INC,INC,37761,5663,6.1,src-1b7bc1c9d39a
IN-AC-1976-punjab-30,punjab,1997,JULLUNDUR NORTH,119515,73826,61.77,AVTAR HENRY,parties.IN.INC,INC,33893,45.91,NAVAL KISHORE,parties.IN.BJP,BJP,31723,2170,2.94,src-1b7bc1c9d39a
IN-AC-1976-punjab-31,punjab,1997,JULLUNDUR CENTRAL,123014,71033,57.74,MANORANJAN KALIA,parties.IN.BJP,BJP,43041,60.59,JAI KISHAN SAINI,parties.IN.INC,INC,23671,19370,27.27,src-1b7bc1c9d39a
IN-AC-1976-punjab-32,punjab,1997,JULLUNDUR SOUTH,131230,84936,64.72,CHUNI LAL,parties.IN.BJP,BJP,32708,38.51,MOHINDER SINGH KAYPEE,parties.IN.INC,INC,26574,6134,7.22,src-1b7bc1c9d39a
IN-AC-1976-punjab-33,punjab,1997,KARTARPUR,120395,82556,68.57,JAGJIT SINGH,parties.IN.INC,INC,29596,35.85,RAM LAL JASSI,parties.IN.IND,IND,29320,276,0.33,src-1b7bc1c9d39a
IN-AC-1976-punjab-34,punjab,1997,LOHIAN,134946,98640,73.1,AJIT SINGH KOHAR,parties.IN.SAD,SAD,59341,60.16,DARSHAN SINGH,parties.IN.INC,INC,32181,27160,27.54,src-1b7bc1c9d39a
IN-AC-1976-punjab-35,punjab,1997,NAKODAR,124878,88945,71.23,AMARJIT SINGH SAMRA,parties.IN.INC,INC,33729,37.92,GURBACHAN SINGH DHIMAN,parties.IN.BSP,BSP,22881,10848,12.2,src-1b7bc1c9d39a
IN-AC-1976-punjab-36,punjab,1997,NUR MAHAL,122281,91584,74.9,GURDIP SINGH,parties.IN.SAD,SAD,27600,30.14,GURWINDER SINGH,parties.IN.IND,IND,27152,448,0.49,src-1b7bc1c9d39a
IN-AC-1976-punjab-37,punjab,1997,BANGA,111340,79894,71.76,MOHAN LAL,parties.IN.SAD,SAD,27757,34.74,SATNAM SINGH KAINTH,parties.IN.BSP,BSP,27148,609,0.76,src-1b7bc1c9d39a
IN-AC-1976-punjab-38,punjab,1997,NAWAN SHAHR,141268,103152,73.02,CHARANJIT SINGH,parties.IN.IND,IND,35933,34.84,JATINDER SINGH,parties.IN.SAD,SAD,33943,1990,1.93,src-1b7bc1c9d39a
IN-AC-1976-punjab-39,punjab,1997,PHILLAUR,122565,87469,71.37,SARWAN SINGH,parties.IN.SAD,SAD,31045,35.49,SANTOKH SINGH,parties.IN.INC,INC,25493,5552,6.34,src-1b7bc1c9d39a
IN-AC-1976-punjab-4,punjab,1997,SRIHARGOBINDPUR,106090,70236,66.2,BALBIR SINGH,parties.IN.SAD,SAD,40934,58.28,GURNAM SINGH,parties.IN.CPI,CPI,15945,24989,35.58,src-1b7bc1c9d39a
IN-AC-1976-punjab-40,punjab,1997,BHOLATH,112970,79449,70.33,JAGIR KAUR,parties.IN.SAD,SAD,53168,66.92,SUKHPAL SINGH,parties.IN.INC,INC,25141,28027,35.28,src-1b7bc1c9d39a
IN-AC-1976-punjab-41,punjab,1997,KAPURTHALA,111537,69655,62.45,RAGHBIR SINGH,parties.IN.SAD,SAD,32405,46.52,GULZAR SINGH,parties.IN.INC,INC,20150,12255,17.59,src-1b7bc1c9d39a
IN-AC-1976-punjab-42,punjab,1997,SULTANPUR,112575,79347,70.48,UPINDERJIT KAUR,parties.IN.SAD,SAD,47455,59.81,RAJANBIR SINGH,parties.IN.INC,INC,25529,21926,27.64,src-1b7bc1c9d39a
IN-AC-1976-punjab-43,punjab,1997,PHAGWARA,147094,95260,64.76,SWARNA RAM,parties.IN.BJP,BJP,50176,52.67,JOGINDER SINGH MANN,parties.IN.INC,INC,23553,26623,27.95,src-1b7bc1c9d39a
IN-AC-1976-punjab-44,punjab,1997,BALACHAUR,125037,80032,64.01,NAND LAL,parties.IN.SAD,SAD,42403,52.98,HARGOPAL SINGH,parties.IN.BSP,BSP,21881,20522,25.64,src-1b7bc1c9d39a
IN-AC-1976-punjab-45,punjab,1997,GARHSHANKAR,115301,76611,66.44,SHINGARA RAM SAHUNGRA,parties.IN.BSP,BSP,21291,27.79,AVINASH,parties.IN.BJP,BJP,20490,801,1.04,src-1b7bc1c9d39a
IN-AC-1976-punjab-46,punjab,1997,MAHILPUR,100624,66023,65.61,SOHAN SINGH,parties.IN.SAD,SAD,29400,44.53,AVTAR SINGH KARIMPURI,parties.IN.BSP,BSP,20667,8733,13.23,src-1b7bc1c9d39a
IN-AC-1976-punjab-47,punjab,1997,HOSHIARPUR,128754,79898,62.05,TIKHSHAN SOOD,parties.IN.BJP,BJP,39444,49.37,MOHINDER PAL,parties.IN.BSP,BSP,17329,22115,27.68,src-1b7bc1c9d39a
IN-AC-1976-punjab-48,punjab,1997,SHAM CHAURASI,117504,73539,62.58,ARJAN SINGH JOSH,parties.IN.SAD,SAD,32738,44.52,GURPAL CHAND,parties.IN.BSP,BSP,19243,13495,18.35,src-1b7bc1c9d39a
IN-AC-1976-punjab-49,punjab,1997,TANDA,114886,78338,68.19,BALVIR SINGH,parties.IN.SAD,SAD,41745,53.29,SURJIT KAUR,parties.IN.INC,INC,21359,20386,26.02,src-1b7bc1c9d39a
IN-AC-1976-punjab-5,punjab,1997,KAHNUWAN,112812,80132,71.03,SEWA SINGH SEKHWAN,parties.IN.SAD,SAD,42674,53.25,PARTAP SINGH BAJWA,parties.IN.INC,INC,35919,6755,8.43,src-1b7bc1c9d39a
IN-AC-1976-punjab-50,punjab,1997,GARHDIWALA,117417,71849,61.19,SOHAN SINGH,parties.IN.SAD,SAD,36826,51.25,DHARAMPAL SABHARWAL,parties.IN.INC,INC,18310,18516,25.77,src-1b7bc1c9d39a
IN-AC-1976-punjab-51,punjab,1997,DASUYA,120362,80898,67.21,ROMESH CHANDER,parties.IN.INC,INC,31754,39.25,MAHANT RAM PARKASH,parties.IN.BJP,BJP,31701,53,0.06,src-1b7bc1c9d39a
IN-AC-1976-punjab-52,punjab,1997,MUKERIAN,137792,98494,71.48,ARUNESH KUMAR,parties.IN.BJP,BJP,53594,54.41,KEWAL KRISHAN,parties.IN.INC,INC,34102,19492,19.79,src-1b7bc1c9d39a
