entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-punjab-156,punjab,2017,AJNALA,147471,121487,82.38,HARPARTAP SINGH,,61378,50.52,AMARPAL SINGH BONY AJNALA,,42665,18713,15.4,src-1b7bc1c9d39a
IN-AC-2008-punjab-157,punjab,2017,AMRITSAR CENTRAL,135954,90708,66.72,OM PARKASH SONI,,51242,56.49,TARUN CHUGH,,30126,21116,23.28,src-1b7bc1c9d39a
IN-AC-2008-punjab-158,punjab,2017,AMRITSAR EAST,153629,99664,64.87,NAVJOT SINGH SIDHU,,60477,60.68,RAJESH KUMAR HONEY,,17668,42809,42.95,src-1b7bc1c9d39a
IN-AC-2008-punjab-159,punjab,2017,AMRITSAR NORTH,175908,118084,67.13,SUNIL DUTTI,,59212,50.14,ANIL JOSHI,,44976,14236,12.05,src-1b7bc1c9d39a
IN-AC-2008-punjab-160,punjab,2017,AMRITSAR SOUTH,148809,93361,62.74,INDERBIR SINGH BOLARIA,,47581,50.96,INDERBIR SINGH NIJJAR,,24923,22658,24.26,src-1b7bc1c9d39a
IN-AC-2008-punjab-161,punjab,2017,AMRITSAR WEST,179766,107550,59.83,RAJ KUMAR VERKA,,52271,48.6,RAKESH GILL,,25424,26847,24.96,src-1b7bc1c9d39a
IN-AC-2008-punjab-162,punjab,2017,ATTARI,173543,130118,74.98,TARSEM SINGH D.C.,,55335,42.53,GULZAR SINGH RANIKE,,45133,10202,7.84,src-1b7bc1c9d39a
IN-AC-2008-punjab-163,punjab,2017,MAJITHA,158951,122608,77.14,BIKRAM SINGH MAJITHIA,,65803,53.67,SUKHJINDER RAJ SINGH (LALLI),,42919,22884,18.66,src-1b7bc1c9d39a
IN-AC-2008-punjab-164,punjab,2017,RAJA SANSI,167203,132008,78.95,SUKHBINDER SINGH SARKARIA,,59628,45.17,VIR SINGH LOPOKE,,53901,5727,4.34,src-1b7bc1c9d39a
IN-AC-2008-punjab-165,punjab,2017,ANANDPUR SAHIB,180222,135078,74.95,KANWAR PAL SINGH,,60800,45.01,DR. PARMINDER SHARMA,,36919,23881,17.68,src-1b7bc1c9d39a
IN-AC-2008-punjab-166,punjab,2017,BALACHAUR,148292,117422,79.18,DARSHAN LAL,,49558,42.21,NAND LAL,,29918,19640,16.73,src-1b7bc1c9d39a
IN-AC-2008-punjab-168,punjab,2017,CHAMKAUR SAHIB,186932,145392,77.78,CHARANJIT SINGH CHANNI,,61060,42,CHARANJIT SINGH,,48752,12308,8.47,src-1b7bc1c9d39a
IN-AC-2008-punjab-169,punjab,2017,GARHSHANKAR,169609,125658,74.09,JAI KRISHAN,,41720,33.2,SURINDER SINGH HEER,,40070,1650,1.31,src-1b7bc1c9d39a
IN-AC-2008-punjab-170,punjab,2017,KHARAR,222079,159478,71.81,KANWAR SANDHU,,54171,33.97,JAGMOHAN SINGH KANG,,52159,2012,1.26,src-1b7bc1c9d39a
