entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-2008-punjab-156,punjab,2022,AJNALA,157896,122038,77.29,KULDEEP SINGH DHALIWAL,parties.IN.AAAP,AAAP,43555,35.69,AMARPAL SINGH BONNY AJNALA,parties.IN.SAD,SAD,35712,7843,6.43,src-0c1b8f274551,minor,
IN-AC-2008-punjab-157,punjab,2022,AMRITSAR CENTRAL,147330,87205,59.19,AJAY GUPTA,parties.IN.AAAP,AAAP,40837,46.83,OM PARKASH SONI,parties.IN.INC,INC,26811,14026,16.09,src-0c1b8f274551,minor,
IN-AC-2008-punjab-158,punjab,2022,AMRITSAR EAST,168622,108003,64.05,JEEVAN JYOT KAUR,parties.IN.AAAP,AAAP,39679,36.74,NAVJOT SINGH SIDHU,parties.IN.INC,INC,32929,6750,6.25,src-0c1b8f274551,minor,
IN-AC-2008-punjab-159,punjab,2022,AMRITSAR NORTH,202971,123752,60.97,KUNWAR VIJAY PRATAP SINGH,parties.IN.AAAP,AAAP,58133,46.98,ANIL JOSHI,parties.IN.SAD,SAD,29815,28318,22.89,src-0c1b8f274551,minor,
IN-AC-2008-punjab-160,punjab,2022,AMRITSAR SOUTH,178017,105885,59.48,INDERBIR SINGH NIJJAR,parties.IN.AAAP,AAAP,53053,50.1,TALBIR SINGH GILL,parties.IN.SAD,SAD,25550,27503,25.97,src-0c1b8f274551,minor,
IN-AC-2008-punjab-161,punjab,2022,AMRITSAR WEST,214090,118606,55.4,DR. JASBIR SINGH SANDHU,parties.IN.AAAP,AAAP,69251,58.39,RAJ KUMAR VERKA,parties.IN.INC,INC,25338,43913,37.03,src-0c1b8f274551,minor,
IN-AC-2008-punjab-162,punjab,2022,ATTARI,190210,128145,67.37,JASWINDER SINGH,parties.IN.AAAP,AAAP,56798,44.32,GULZAR SINGH RANIKE,parties.IN.SAD,SAD,37004,19794,15.44,src-0c1b8f274551,minor,
IN-AC-2008-punjab-163,punjab,2022,MAJITHA,167676,122152,72.85,Ganieve Kaur Majithia,parties.IN.SAD,SAD,57027,46.69,Sukhjinder Raj Singh (Lalli),parties.IN.AAAP,AAAP,30965,26062,21.34,src-0c1b8f274551,minor,
IN-AC-2008-punjab-164,punjab,2022,RAJA SANSI,178153,133615,75,SUKHBINDER SINGH SARKARIA,parties.IN.INC,INC,46872,35.08,VIR SINGH LOPOKE,parties.IN.SAD,SAD,41398,5474,4.1,src-0c1b8f274551,minor,
IN-AC-2008-punjab-165,punjab,2022,ANANDPUR SAHIB,192727,141809,73.58,HARJOT SINGH BAINS,parties.IN.AAAP,AAAP,82132,57.92,KANWAR PAL SINGH,parties.IN.INC,INC,36352,45780,32.29,src-0c1b8f274551,minor,
IN-AC-2008-punjab-166,punjab,2022,BALACHAUR,155841,114964,73.77,SANTOSH KUMARI KATARIAA,parties.IN.AAAP,AAAP,39633,34.47,SUNITA RANI,parties.IN.SAD,SAD,35092,4541,3.95,src-0c1b8f274551,minor,
IN-AC-2008-punjab-168,punjab,2022,CHAMKAUR SAHIB,198028,147571,74.52,CHARANJIT SINGH,parties.IN.AAAP,AAAP,70248,47.6,CHARANJIT SINGH CHANNI,parties.IN.INC,INC,62306,7942,5.38,src-0c1b8f274551,minor,
IN-AC-2008-punjab-169,punjab,2022,GARHSHANKAR,176472,122472,69.4,JAI KRISHAN,parties.IN.AAAP,AAAP,32341,26.41,AMARPREET SINGH LALLY,parties.IN.INC,INC,28162,4179,3.42,src-0c1b8f274551,minor,
IN-AC-2008-punjab-170,punjab,2022,KHARAR,267015,176684,66.17,Anmol Gagan Maan,parties.IN.AAAP,AAAP,78273,44.3,Ranjit Singh Gill,parties.IN.SAD,SAD,40388,37885,21.44,src-0c1b8f274551,minor,
IN-AC-2008-punjab-171,punjab,2022,NAWAN SHAHR,178561,123868,69.37,DR. NACHHATAR PAL,parties.IN.BSP,BSP,37031,29.9,LALIT MOHAN BALLU,parties.IN.AAAP,AAAP,31655,5376,4.34,src-0c1b8f274551,minor,
IN-AC-2008-punjab-172,punjab,2022,RUPNAGAR,183901,135793,73.84,DINESH KUMAR CHADHA,parties.IN.AAAP,AAAP,59903,44.11,BRINDER SINGH DHILLON,parties.IN.INC,INC,36271,23632,17.4,src-0c1b8f274551,minor,
IN-AC-2008-punjab-173,punjab,2022,S.A.S.NAGAR,239647,155196,64.76,KULWANT SINGH,parties.IN.AAAP,AAAP,77134,49.7,BALBIR SINGH SIDHU,parties.IN.INC,INC,43037,34097,21.97,src-0c1b8f274551,minor,
IN-AC-2008-punjab-174,punjab,2022,BATHINDA RURAL,159000,124402,78.24,AMIT RATTAN KOTFATTA,parties.IN.AAAP,AAAP,66096,53.13,PARKASH SINGH BHATTI,parties.IN.SAD,SAD,30617,35479,28.52,src-0c1b8f274551,minor,
IN-AC-2008-punjab-175,punjab,2022,BATHINDA URBAN,232791,162698,69.89,Jagroop Singh Gill,parties.IN.AAAP,AAAP,93057,57.2,Manpreet Singh Badal,parties.IN.INC,INC,29476,63581,39.08,src-0c1b8f274551,minor,
IN-AC-2008-punjab-176,punjab,2022,BHUCHO MANDI,186223,149724,80.4,JAGSIR SINGH,parties.IN.AAAP,AAAP,85778,57.29,DARSHAN SINGH KOTFATTA,parties.IN.SAD,SAD,35566,50212,33.54,src-0c1b8f274551,minor,
