entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-1967-rajasthan-1,rajasthan,1967,1,BHADRA,H. RAJ,parties.IN.INC,INC,23062,42.9,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-rajasthan-1,rajasthan,1967,1,BHADRA,G. SHANKER,parties.IN.SWA,SWA,16896,31.43,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-rajasthan-1,rajasthan,1967,1,BHADRA,D. RAM,parties.IN.SSP,SSP,13794,25.66,3,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-rajasthan-2,rajasthan,1967,2,NOHAR,R. CHANDRA,parties.IN.SWA,SWA,23341,49,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-rajasthan-2,rajasthan,1967,2,NOHAR,P. SINGH,parties.IN.INC,INC,17208,36.12,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-rajasthan-2,rajasthan,1967,2,NOHAR,M. PRASAD,parties.IN.IND,IND,3356,7.04,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-rajasthan-2,rajasthan,1967,2,NOHAR,SRINIWAS,parties.IN.SSP,SSP,2683,5.63,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-rajasthan-2,rajasthan,1967,2,NOHAR,B. LAL,parties.IN.IND,IND,1050,2.2,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-rajasthan-3,rajasthan,1967,3,SANGARIA,BIRBAL,parties.IN.INC,INC,15946,46.74,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-rajasthan-3,rajasthan,1967,3,SANGARIA,B. SINGH,parties.IN.BJS,BJS,6506,19.07,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-rajasthan-3,rajasthan,1967,3,SANGARIA,S. NARAIN,parties.IN.CPIM,CPM,6237,18.28,3,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-rajasthan-3,rajasthan,1967,3,SANGARIA,B. RAM,parties.IN.IND,IND,2424,7.1,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
