entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-rajasthan-504,rajasthan,2013,AJMER NORTH,178695,121418,67.95,VASUDEV DEVNANI,parties.IN.BJP,68461,56.38,DR. SHRIGOPAL BAHETI,parties.IN.INC,47982,20479,16.86,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-506,rajasthan,2013,DUDU,199289,150359,75.45,DR.PREMCHAND BAIRWA,parties.IN.BJP,86239,57.36,HAZARI LAL NAGAR,parties.IN.INC,52519,33720,22.43,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-507,rajasthan,2013,KEKRI,209810,159706,76.12,SHATRUGHAN GAUTAM,parties.IN.BJP,71292,44.64,DR. RAGHU SHARMA,parties.IN.INC,62425,8867,5.55,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-508,rajasthan,2013,KISHANGARH,223878,172396,77,BHAGIRATH CHOUDHARY,parties.IN.BJP,95384,55.33,NATHU RAM SINODIYA,parties.IN.INC,64310,31074,18.03,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-509,rajasthan,2013,MASUDA,222435,167948,75.5,SUSHIL KANWAR,parties.IN.BJP,34011,20.25,BRAHMDEV KUMAWAT,parties.IN.INC,29536,4475,2.66,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-510,rajasthan,2013,NASIRABAD,185958,153349,82.46,SANWAR LAL,parties.IN.BJP,84953,55.4,MAHENDRA SINGH,parties.IN.INC,56053,28900,18.85,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-511,rajasthan,2013,PUSHKAR,195051,150468,77.14,SURESH SINGH RAWAT,parties.IN.BJP,90013,59.82,NASEEM AKHTAR INSAF,parties.IN.INC,48723,41290,27.44,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-512,rajasthan,2013,ALWAR RURAL,183621,141596,77.11,JAIRAM JATAV,parties.IN.BJP,60066,42.42,TIKARAM JULLY,parties.IN.INC,33267,26799,18.93,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-513,rajasthan,2013,ALWAR URBAN,201626,140532,69.7,BANWARI LAL SINGHAL,parties.IN.BJP,84791,60.34,NARENDRA SHARMA,parties.IN.INC,22562,62229,44.29,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-514,rajasthan,2013,BEHROR,188400,143185,76,DR. JASWANT SINGH YADAV,parties.IN.BJP,53835,37.6,BALJEET YADAV (BATKHANI),parties.IN.IND,35250,18585,12.98,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-515,rajasthan,2013,KISHANGARH BAS,196083,153686,78.38,RAMHET SINGH YADAV,parties.IN.BJP,71354,46.43,DEEP CHAND KHAIRIYA,parties.IN.INC,56538,14816,9.64,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-516,rajasthan,2013,MUNDAWAR,189607,149094,78.63,DHARAM PAL CHOUDHARY,parties.IN.BJP,81798,54.86,MAJOR O.P. YADAV,parties.IN.INC,52381,29417,19.73,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-517,rajasthan,2013,RAJGARH-LAXMANGARH,206041,157325,76.36,GOLMA,,64926,41.27,SURAJBHAN DHANKA,parties.IN.SP,56798,8128,5.17,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-518,rajasthan,2013,RAMGARH,195211,156500,80.17,GYANDEV AHUJA,parties.IN.BJP,73842,47.18,ZUBAIR KHAN,parties.IN.INC,69195,4647,2.97,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-519,rajasthan,2013,TIJARA,169255,145322,85.86,MASTER MAMAN SINGH YADAV,parties.IN.BJP,69278,47.67,FAZAL HUSSAIN,parties.IN.BSP,31284,37994,26.14,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-520,rajasthan,2013,BAGIDORA,200317,163941,81.84,MAHENDRAJEET SINGH MALVIYA,parties.IN.INC,81016,49.42,KHEMRAJ GARASIYA,parties.IN.BJP,66691,14325,8.74,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-521,rajasthan,2013,BANSWARA,213439,177929,83.36,DHAN SINGH RAWAT,parties.IN.BJP,86620,48.68,ARJUN SINGH BAMANIYA,parties.IN.INC,56559,30061,16.89,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-522,rajasthan,2013,CHORASI,181434,143994,79.36,SUSHIL KATARA,parties.IN.BJP,72247,50.17,MAHENDRA KUMAR BARJOD,parties.IN.INC,51934,20313,14.1,src-1b7bc1c9d39a
