entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-rajasthan-589,rajasthan,2018,1,SADULSHAHAR,JAGDISH CHANDER,,73153,39.59,1,won,U,,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-589,rajasthan,2018,1,SADULSHAHAR,GURVEER SINGH BRAR,,63477,34.36,2,lost,U,,Graduate Professional,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-589,rajasthan,2018,1,SADULSHAHAR,OM BISHNOI,,36767,19.9,3,lost,U,,Graduate,Agricultural Business,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-589,rajasthan,2018,1,SADULSHAHAR,PALA RAM,,2602,1.41,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-589,rajasthan,2018,1,SADULSHAHAR,AVTAR SINGH,,1764,0.95,5,forfeit,U,,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-589,rajasthan,2018,1,SADULSHAHAR,BALWANT NIMIWAL,,1744,0.94,6,forfeit,U,,8th Pass,Agricultural Business,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-589,rajasthan,2018,1,SADULSHAHAR,VINOD KHICHAR,,1097,0.59,8,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-589,rajasthan,2018,1,SADULSHAHAR,ANKIT BHAMBHU,,1072,0.58,9,forfeit,U,,Graduate,Agricultural Business,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-589,rajasthan,2018,1,SADULSHAHAR,MAJOR SINGH,,783,0.42,10,forfeit,U,,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-589,rajasthan,2018,1,SADULSHAHAR,NIRANJAN SINGH,,347,0.19,11,forfeit,U,,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-589,rajasthan,2018,1,SADULSHAHAR,KRISHAN GOSWAMI,,309,0.17,12,forfeit,U,,Graduate,,crossover,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,RAJ KUMAR GAUR,,44998,26.52,1,won,U,,Graduate Professional,Retired or Pension,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,ASHOK CHANDAK,,35818,21.11,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,VINITA AHUJA,,29686,17.5,3,lost,U,,Post Graduate,Rent,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,JAIDEEP BIHANI,,29206,17.22,4,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,PRAHALAD RAI TAK,,14834,8.74,5,forfeit,U,,Graduate Professional,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,KAMINI JINDAL,,4887,2.88,6,forfeit,U,,Post Graduate,MLA,incumbent,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,RADHESHYAM GANGANAGAR,,2318,1.37,7,forfeit,U,,Literate,Rent,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,DHIR SINGH,,994,0.59,9,forfeit,U,,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,NAND KISHORE BIHANI,,981,0.58,10,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,KRISHAN KUMAR,,848,0.5,11,forfeit,U,,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,AMIT KARGWAL,,836,0.49,12,forfeit,U,,Graduate,Rent,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,PREET KALRA,,457,0.27,13,forfeit,U,,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,RAHUL MAHASHAYA,,419,0.25,14,forfeit,U,,10th Pass,Shop Keeper,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,RAJESH BHART,,387,0.23,15,forfeit,U,,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,AMIT KHARIWAL,,293,0.17,16,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,JASWANT SINGH,,281,0.17,17,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,ASHOK KUMAR,,275,0.16,18,forfeit,U,,10th Pass,Shop Keeper,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,KARISHMA,,233,0.14,19,forfeit,U,,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,DAYA RAM,,219,0.13,20,forfeit,U,,8th Pass,Agricultural Business,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,SHYAM SUNDER,,177,0.1,21,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,JAKIR HUSAIN,,174,0.1,22,forfeit,U,,Literate,Contractor,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-584,rajasthan,2018,2,SRI GANGANAGAR,MANJEET SINGH,,162,0.1,23,forfeit,U,,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-586,rajasthan,2018,3,SRI KARANPUR,GURMEET SINGH KOONER,,73896,38.98,1,won,U,,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-586,rajasthan,2018,3,SRI KARANPUR,PRITHIPAL SINGH,,45520,24.01,2,lost,U,,Graduate Professional,Rent,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-586,rajasthan,2018,3,SRI KARANPUR,SURENDERPAL SINGH,,44099,23.26,3,lost,U,,Graduate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-586,rajasthan,2018,3,SRI KARANPUR,MAHENDER KUMAR RASSEWAT,,15782,8.32,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-586,rajasthan,2018,3,SRI KARANPUR,RANJEET,,1474,0.78,5,forfeit,U,,Illiterate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-586,rajasthan,2018,3,SRI KARANPUR,MAMTA,,1370,0.72,6,forfeit,U,,12th Pass,Rent,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-586,rajasthan,2018,3,SRI KARANPUR,SUKHRAM,,1260,0.66,8,forfeit,U,,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-586,rajasthan,2018,3,SRI KARANPUR,HARIRAM RAMGARIA,,1233,0.65,9,forfeit,U,,5th Pass,Retired or Pension,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-586,rajasthan,2018,3,SRI KARANPUR,PRAHLAD RAI,,900,0.47,10,forfeit,U,,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-rajasthan-586,rajasthan,2018,3,SRI KARANPUR,TITAR SINGH,,653,0.34,11,forfeit,U,,Literate,,challenger,src-1b7bc1c9d39a
