entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-2008-rajasthan-589,rajasthan,2023,1,SADULSHAHAR,GURVEER SINGH,parties.IN.BJP,BJP,74433,37.798,1,won,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-589,rajasthan,2023,1,SADULSHAHAR,OM BISHNOI,parties.IN.IND,IND,58973,29.9472,2,lost,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-589,rajasthan,2023,1,SADULSHAHAR,JAGDISH CHANDER,parties.IN.INC,INC,57999,29.4526,3,lost,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-589,rajasthan,2023,1,SADULSHAHAR,GURVINDER KOUR,parties.IN.AAP,AAP,1925,0.9775,4,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-589,rajasthan,2023,1,SADULSHAHAR,RAJENDRA KUMAR,parties.IN.BSP,BSP,824,0.4184,5,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-589,rajasthan,2023,1,SADULSHAHAR,DIVAKAR WALIA,parties.IN.IND,IND,811,0.4118,6,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-589,rajasthan,2023,1,SADULSHAHAR,RAI SAHAB,parties.IN.RPPRINAT,RPOIA,648,0.3291,7,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-589,rajasthan,2023,1,SADULSHAHAR,HARBANS SINGH,parties.IN.IND,IND,463,0.2351,8,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-589,rajasthan,2023,1,SADULSHAHAR,JAGDISH,parties.IN.IND,IND,438,0.2224,9,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-589,rajasthan,2023,1,SADULSHAHAR,NARESH GARG,parties.IN.IND,IND,409,0.2077,10,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-584,rajasthan,2023,2,GANGANAGAR,JAYDEEP BIHANI,parties.IN.BJP,BJP,81001,44.9733,1,won,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-584,rajasthan,2023,2,GANGANAGAR,KARUNA ASHOK CHANDAK,parties.IN.IND,IND,51222,28.4394,2,lost,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-584,rajasthan,2023,2,GANGANAGAR,ANKUR MAGLANI,parties.IN.INC,INC,39006,21.6569,3,lost,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-584,rajasthan,2023,2,GANGANAGAR,HARISH RAHEJA,parties.IN.AAP,AAP,1987,1.1032,4,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-584,rajasthan,2023,2,GANGANAGAR,ARUNA CHANDAK,parties.IN.IND,IND,1302,0.7229,5,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-584,rajasthan,2023,2,GANGANAGAR,KRISHAN KUMAR,parties.IN.IND,IND,823,0.4569,6,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-584,rajasthan,2023,2,GANGANAGAR,PARMANAND,parties.IN.BSP,BSP,766,0.4253,7,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-584,rajasthan,2023,2,GANGANAGAR,HARISH CHAND KAPOOR,parties.IN.IND,IND,733,0.407,8,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-584,rajasthan,2023,2,GANGANAGAR,LALIT KUMAR,parties.IN.IND,IND,670,0.372,9,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-584,rajasthan,2023,2,GANGANAGAR,VIJAY KUMAR,parties.IN.RJAVP,RJAVP,473,0.2626,10,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-584,rajasthan,2023,2,GANGANAGAR,ASHOK KUMAR GROVER,parties.IN.IND,IND,423,0.2349,11,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-584,rajasthan,2023,2,GANGANAGAR,RAJNESH GOYAL,parties.IN.IND,IND,417,0.2315,12,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-584,rajasthan,2023,2,GANGANAGAR,JAGDISH THAKUR,parties.IN.IND,IND,404,0.2243,13,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-584,rajasthan,2023,2,GANGANAGAR,JAIDEEP,parties.IN.IND,IND,353,0.196,14,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-584,rajasthan,2023,2,GANGANAGAR,JITENDER MOHAN KAMRA,parties.IN.IND,IND,277,0.1538,15,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-584,rajasthan,2023,2,GANGANAGAR,RADHESHYAM,parties.IN.IND,IND,252,0.1399,16,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-586,rajasthan,2023,3,KARANPUR,RUPINDER SINGH KOONER,parties.IN.INC,INC,94950,48.8044,1,won,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-586,rajasthan,2023,3,KARANPUR,SURENDERPAL SINGH,parties.IN.BJP,BJP,83667,43.005,2,lost,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-586,rajasthan,2023,3,KARANPUR,PRITHIPAL SINGH,parties.IN.AAP,AAP,11940,6.1372,3,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-586,rajasthan,2023,3,KARANPUR,TITAR SINGH,parties.IN.IND,IND,1223,0.6286,4,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-586,rajasthan,2023,3,KARANPUR,SUKHRAM,parties.IN.IND,IND,569,0.2925,5,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-586,rajasthan,2023,3,KARANPUR,KRISHAN KUMAR,parties.IN.NJMP,NJMP,518,0.2663,6,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-586,rajasthan,2023,3,KARANPUR,ASHOK KUMAR,parties.IN.BSP,BSP,514,0.2642,7,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-586,rajasthan,2023,3,KARANPUR,CHHINDERPAL SINGH,parties.IN.IND,IND,309,0.1588,8,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-586,rajasthan,2023,3,KARANPUR,SURENDER NAGPAL,parties.IN.IND,IND,302,0.1552,9,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-586,rajasthan,2023,3,KARANPUR,CHUKI DEVI,parties.IN.IND,IND,218,0.1121,10,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-586,rajasthan,2023,3,KARANPUR,BALKARAN SINGH,parties.IN.SADM,SAD(A),213,0.1095,11,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-586,rajasthan,2023,3,KARANPUR,KALA SINGH,parties.IN.IND,IND,129,0.0663,12,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-591,rajasthan,2023,4,SURATGARH,Dungarram Gedar,parties.IN.INC,INC,116841,56.329,1,won,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-591,rajasthan,2023,4,SURATGARH,Rampratap Kasania,parties.IN.BJP,BJP,66382,32.0027,2,lost,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-591,rajasthan,2023,4,SURATGARH,Rajender Singh Bhadu,parties.IN.IND,IND,9826,4.7371,3,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-591,rajasthan,2023,4,SURATGARH,Prithviraj Meel,parties.IN.JJP,JJP,6840,3.2976,4,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-591,rajasthan,2023,4,SURATGARH,Mahinder Singh Bhadoo,parties.IN.BSP,BSP,2153,1.038,5,forfeit,U,,,,challenger,src-b152d3829185,minor,
IN-AC-2008-rajasthan-591,rajasthan,2023,4,SURATGARH,Liladhar,parties.IN.AAP,AAP,1895,0.9136,6,forfeit,U,,,,challenger,src-b152d3829185,minor,
