entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-1976-sikkim-1,sikkim,1979,1,YOKSAM,SANCHAMAN LIMBOO,parties.IN.SJP,SJP,754,31.61,1,won,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-sikkim-1,sikkim,1979,1,YOKSAM,ASHOK KUMAR SUBBA,parties.IN.IND,IND,556,23.31,2,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-sikkim-1,sikkim,1979,1,YOKSAM,MOHAN KUMAR GURUNG,parties.IN.SPC,SPC,468,19.62,3,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-sikkim-1,sikkim,1979,1,YOKSAM,RAM BAHADUR LIMBOO,parties.IN.JP,JNP,311,13.04,4,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-sikkim-1,sikkim,1979,1,YOKSAM,CHEWANG DORJEE BHUTIA,parties.IN.IND,IND,153,6.42,5,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-sikkim-1,sikkim,1979,1,YOKSAM,MANGAL LIMBOO,parties.IN.SCR,SCR,143,6,6,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-sikkim-2,sikkim,1979,2,TASHIDING,DAWGYAL PENTSO BHUTIA,parties.IN.SJP,SJP,729,47.12,1,won,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-sikkim-2,sikkim,1979,2,TASHIDING,PHURBA WANGYAL LASSOPA,parties.IN.JP,JNP,502,32.45,2,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-sikkim-2,sikkim,1979,2,TASHIDING,LAGO TSERING BHUTIA,parties.IN.SPC,SPC,131,8.47,3,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-sikkim-2,sikkim,1979,2,TASHIDING,PHURBA DORJEE SHERPA,parties.IN.SCR,SCR,107,6.92,4,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-sikkim-2,sikkim,1979,2,TASHIDING,RUTH KARTHOK LEPCHANI,parties.IN.IND,IND,68,4.4,5,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-sikkim-2,sikkim,1979,2,TASHIDING,YONGDA LEPCHA,parties.IN.IND,IND,10,0.65,6,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-sikkim-3,sikkim,1979,3,GEYZING,INDRA BAHADUR LIMBOO,parties.IN.SJP,SJP,811,33.31,1,won,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-sikkim-3,sikkim,1979,3,GEYZING,NANDA KUMAR SUBEDI,parties.IN.SCR,SCR,643,26.41,2,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-sikkim-3,sikkim,1979,3,GEYZING,DUDRAJ GURUNG,parties.IN.JP,JNP,296,12.16,3,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
