entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-2008-sikkim-1380,sikkim,2024,Yoksam-tashiding,15524,13604,87.63,Tshering Thendup Bhutia,parties.IN.SKM,SKM,8271,61.52,Meewang Gyatso Bhutia,parties.IN.SDF,SDF,3459,4812,35.79,src-96c590e2ccdc,minor,
IN-AC-2008-sikkim-1379,sikkim,2024,Yangthang,14121,12124,85.86,Bhim Hang Limboo,parties.IN.SKM,SKM,6621,55.0,Kesham Limboo,parties.IN.SDF,SDF,4065,2556,21.23,src-96c590e2ccdc,minor,
IN-AC-2008-sikkim-1361,sikkim,2024,Maneybung-dentam,16403,14216,86.67,Sudesh Kumar Subba,parties.IN.SKM,SKM,8553,60.78,Tika Ram Chettri,parties.IN.SDF,SDF,2514,6039,42.92,src-96c590e2ccdc,minor,
IN-AC-2008-sikkim-1357,sikkim,2024,Gyalshing-barnyak,13683,11667,85.27,Lok Nath Sharma,parties.IN.SKM,SKM,5612,48.54,Khusandra Prasad Sharma,parties.IN.IND,IND,4649,963,8.33,src-96c590e2ccdc,minor,
IN-AC-2008-sikkim-1370,sikkim,2024,Rinchenpong,16024,13967,87.16,Erung Tenzing Lepcha,parties.IN.SKM,SKM,9624,70.1,Norden Bhutia,parties.IN.SDF,SDF,3224,6400,46.62,src-96c590e2ccdc,minor,
IN-AC-2008-sikkim-1353,sikkim,2024,Daramdin,16404,13880,84.61,Mingma Norbu Sherpa,parties.IN.SKM,SKM,9404,68.86,Pem Norbu Sherpa,parties.IN.SDF,SDF,3429,5975,43.75,src-96c590e2ccdc,minor,
IN-AC-2008-sikkim-1373,sikkim,2024,Soreong-chakung,16740,14520,86.74,P S Tamang,parties.IN.SKM,SKM,10480,72.82,Dr. A D Subba,parties.IN.SDF,SDF,3084,7396,51.39,src-96c590e2ccdc,minor,
IN-AC-2008-sikkim-1371,sikkim,2024,Salghari-zoom,11694,9674,82.73,Madan Cintury,parties.IN.SKM,SKM,5678,59.15,Janga Bir Darnal,parties.IN.SDF,SDF,2966,2712,28.25,src-96c590e2ccdc,minor,
IN-AC-2008-sikkim-1351,sikkim,2024,Barfung,15980,13512,84.56,Rikshal Dorjee Bhutia,parties.IN.SKM,SKM,8358,62.73,Bhaichung Bhutia,parties.IN.SDF,SDF,4012,4346,32.62,src-96c590e2ccdc,minor,
IN-AC-2008-sikkim-1367,sikkim,2024,Poklok-kamrang,16870,14616,86.64,Bhoj Raj Rai,parties.IN.SKM,SKM,8037,55.65,Pawan Kumar Chamling,parties.IN.SDF,SDF,4974,3063,21.21,src-96c590e2ccdc,minor,
IN-AC-2008-sikkim-1365,sikkim,2024,Namchi-singhithang,13251,11043,83.34,Krishna Kumari Rai,parties.IN.SKM,SKM,7907,72.01,Bimal Rai,parties.IN.SDF,SDF,2605,5302,48.28,src-96c590e2ccdc,minor,
IN-AC-2008-sikkim-1363,sikkim,2024,Melli,16029,13636,85.07,Nar Bahadur Pradhan,parties.IN.SKM,SKM,7904,58.39,Ganesh Kumar Rai,parties.IN.CAPS,CAPS,3621,4283,31.64,src-96c590e2ccdc,minor,
IN-AC-2008-sikkim-1366,sikkim,2024,Namthang-rateypani,16455,14101,85.69,Sanjeet Kharel,parties.IN.SKM,SKM,8949,64.21,Suman Pradhan,parties.IN.SDF,SDF,3344,5605,40.22,src-96c590e2ccdc,minor,
IN-AC-2008-sikkim-1374,sikkim,2024,Temi-namphing,15465,13038,84.31,Bedu Singh Panth,parties.IN.SKM,SKM,6759,52.48,Suman Kumar Tewari,parties.IN.SDF,SDF,3201,3558,27.63,src-96c590e2ccdc,minor,
