entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-1976-tamil-nadu-1,tamil-nadu,1984,1,ROYAPURAM,P. PUNNURANGAM,parties.IN.DMK,DMK,40727,50.26,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-1,tamil-nadu,1984,1,ROYAPURAM,K. RAJAN,parties.IN.GKC,GKC,39432,48.66,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-1,tamil-nadu,1984,1,ROYAPURAM,K. SAMPATHRAJ,parties.IN.IND,IND,312,0.39,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-1,tamil-nadu,1984,1,ROYAPURAM,C. ELUMALAI,parties.IN.IND,IND,186,0.23,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-1,tamil-nadu,1984,1,ROYAPURAM,A. RUSSEL SAM,parties.IN.IND,IND,155,0.19,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-1,tamil-nadu,1984,1,ROYAPURAM,A. V. P. ASAITHAMBI PANDIAN ALIAS A. SOUNDARA PANDIAN,parties.IN.ICJ,ICJ,134,0.17,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-1,tamil-nadu,1984,1,ROYAPURAM,ELIL ARASU,parties.IN.IND,IND,85,0.1,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-2,tamil-nadu,1984,2,HARBOUR,A. SELVARASAN,parties.IN.DMK,DMK,38953,55.3,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-2,tamil-nadu,1984,2,HARBOUR,K. LIAKATH ALI KHAN,parties.IN.ADK,ADK,30649,43.51,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-2,tamil-nadu,1984,2,HARBOUR,V. GIRINATH,parties.IN.ICJ,ICJ,462,0.66,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-2,tamil-nadu,1984,2,HARBOUR,M. SIVASHANMUGHAM,parties.IN.IND,IND,197,0.28,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-2,tamil-nadu,1984,2,HARBOUR,P. V. RAJAMANNAR PRABHAT,parties.IN.IND,IND,100,0.14,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-2,tamil-nadu,1984,2,HARBOUR,M. A. ABDUL KHADER,parties.IN.IND,IND,78,0.11,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-3,tamil-nadu,1984,3,DR. RADHAKRISHNAN NAGAR,VENUGOPAL S.,parties.IN.INC,INC,54334,50.71,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-3,tamil-nadu,1984,3,DR. RADHAKRISHNAN NAGAR,"SARGUNAM, S. P.",parties.IN.DMK,DMK,50483,47.12,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-3,tamil-nadu,1984,3,DR. RADHAKRISHNAN NAGAR,"RAMAKANNAN, V. M. G.",parties.IN.IND,IND,529,0.49,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-3,tamil-nadu,1984,3,DR. RADHAKRISHNAN NAGAR,"ABDUL KHADER, P. M.",parties.IN.IND,IND,509,0.48,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-3,tamil-nadu,1984,3,DR. RADHAKRISHNAN NAGAR,"GANDHI, R.",parties.IN.IND,IND,291,0.27,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-3,tamil-nadu,1984,3,DR. RADHAKRISHNAN NAGAR,"SUNDARAM, E. K.",parties.IN.IND,IND,220,0.21,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-3,tamil-nadu,1984,3,DR. RADHAKRISHNAN NAGAR,"KESHAVAPERUMAL, K.",parties.IN.IND,IND,215,0.2,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-3,tamil-nadu,1984,3,DR. RADHAKRISHNAN NAGAR,"ASOKAN, N.",parties.IN.IND,IND,166,0.15,8,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-3,tamil-nadu,1984,3,DR. RADHAKRISHNAN NAGAR,"SHANMUGA ACHARI, P.",parties.IN.IND,IND,163,0.15,9,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-3,tamil-nadu,1984,3,DR. RADHAKRISHNAN NAGAR,"RAJENDRAN, C. M.",parties.IN.IND,IND,161,0.15,10,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-3,tamil-nadu,1984,3,DR. RADHAKRISHNAN NAGAR,"CHANDRAN, D. B.",parties.IN.IND,IND,76,0.07,11,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-4,tamil-nadu,1984,4,PARK TOWN,K. ANBAZHAGAN,parties.IN.DMK,DMK,37540,50.89,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-4,tamil-nadu,1984,4,PARK TOWN,"JOTHI, M.",parties.IN.IND,IND,34613,46.92,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-4,tamil-nadu,1984,4,PARK TOWN,BACHUBHAI M. PATIL,parties.IN.IND,IND,548,0.74,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-4,tamil-nadu,1984,4,PARK TOWN,M. S. MANI,parties.IN.IND,IND,314,0.43,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-4,tamil-nadu,1984,4,PARK TOWN,JAGAJOTHI,parties.IN.IND,IND,236,0.32,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-4,tamil-nadu,1984,4,PARK TOWN,MOHAMED BILAL,parties.IN.IND,IND,201,0.27,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-4,tamil-nadu,1984,4,PARK TOWN,M. S. ELANGO ALIAS MANOHARAN,parties.IN.IND,IND,169,0.23,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-4,tamil-nadu,1984,4,PARK TOWN,K. MURALI,parties.IN.IND,IND,149,0.2,8,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-5,tamil-nadu,1984,5,PERAMBUR,PARITHI ELAMYAZHUTHI,parties.IN.DMK,DMK,53325,53.04,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-5,tamil-nadu,1984,5,PERAMBUR,SATHIAVANIMUTHU,parties.IN.ADK,ADK,46121,45.87,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-5,tamil-nadu,1984,5,PERAMBUR,SANKARALINGAM,parties.IN.IND,IND,521,0.52,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-tamil-nadu-5,tamil-nadu,1984,5,PERAMBUR,V. MALAICHAMY,parties.IN.IND,IND,199,0.2,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
