entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,RADHA RAVI,parties.IN.AIADMK,ADMK,65868,50.89,1,won,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,SUBRAMANIAN MA.,parties.IN.DMK,DMK,53943,41.68,2,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,NANDAGOPAL T.,parties.IN.CPIM,CPM,4154,3.21,3,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,SUBRAMANI P.,parties.IN.MDMK,MDMK,2235,1.73,4,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,VASUDEVAN K.,parties.IN.BSP,BSP,537,0.41,5,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,JACOB M.,parties.IN.IND,IND,359,0.28,6,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,SEKAR P.K,parties.IN.IND,IND,334,0.26,7,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,PADMARAJAN (Dr.) K.,parties.IN.IND,IND,269,0.21,8,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,SELVAM M,parties.IN.IND,IND,229,0.18,9,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,MANI R.,parties.IN.IND,IND,220,0.17,10,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,MANIKANDAN K,parties.IN.IND,IND,124,0.1,11,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,SURESH. S alias SURESH KUMAR,parties.IN.IND,IND,113,0.09,12,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,SUBRAMANI A,parties.IN.IND,IND,109,0.08,13,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,PREETHI BASHKAR,parties.IN.IND,IND,103,0.08,14,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,VELUMANI Ma.Su,parties.IN.IND,IND,96,0.07,15,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,SUBRAMANI M,parties.IN.IND,IND,94,0.07,16,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,ARUNDHATI RAMACHANDRAN alias RAMACHANDRAN,parties.IN.IND,IND,87,0.07,17,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,VALLIVELAN S.,parties.IN.IND,IND,77,0.06,18,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,RAVI R.,parties.IN.IND,IND,76,0.06,19,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-tamil-nadu-14,tamil-nadu,2002,14,SAIDAPET,SIVAMANI S,parties.IN.IND,IND,76,0.06,20,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
