entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-tamil-nadu-3857,tamil-nadu,2011,ARAKONAM,180053,141959,78.84,S.RAVI,parties.IN.AIADMK,ADMK,79409,55.94,S.SELLAPANDIAN,parties.IN.VCK,VCK,53172,26237,18.48,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3858,tamil-nadu,2011,ARCOT,211067,175610,83.2,R. SRINIVASAN,parties.IN.AIADMK,ADMK,93258,53.11,K.L. ELAVAZAGAN,parties.IN.PMK,PMK,74005,19253,10.97,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3859,tamil-nadu,2011,KATPADI,190456,151498,79.54,DURAIMURUGAN,parties.IN.DMK,DMK,75064,49.55,APPU S.R.K.(A) RADHAKRISHNAN.S.,parties.IN.AIADMK,ADMK,72091,2973,1.96,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3860,tamil-nadu,2011,RANIPET,198641,157749,79.41,A.MOHAMMED JOHN,parties.IN.AIADMK,ADMK,83834,53.14,GANDHI.R,parties.IN.DMK,DMK,69633,14201,9,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3861,tamil-nadu,2011,SHOLINGHUR,211864,179499,84.72,P.R.MANOKAR,parties.IN.DMDK,DMDK,69963,38.98,A.M.MUNIRATINAM,parties.IN.IND,IND,60925,9038,5.04,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3862,tamil-nadu,2011,TIRUTTANI,236733,191237,80.78,ARUNSUBRAMANIAN. M,parties.IN.DMDK,DMDK,95918,50.16,RAMAN.E.S.S.,parties.IN.INC,INC,71988,23930,12.52,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3863,tamil-nadu,2011,ARANI,215794,177723,82.36,BABU MURUGAVEL.R.M,parties.IN.DMDK,DMDK,88967,50.06,SIVANANDHAM.R,parties.IN.DMK,DMK,81001,7966,4.48,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3864,tamil-nadu,2011,CHEYYAR,211108,179221,84.9,SUBRAMANIAN.N,parties.IN.AIADMK,ADMK,96180,53.67,VISHNU PRASAD.M.K.,parties.IN.INC,INC,70717,25463,14.21,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3865,tamil-nadu,2011,GINGEE,213724,174449,81.62,GANESH KUMAR.A,parties.IN.PMK,PMK,77026,44.15,SIVALINGAM. R,parties.IN.DMDK,DMDK,75215,1811,1.03,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3866,tamil-nadu,2011,MAILAM,183634,151434,82.47,NAGARAJAN.P,parties.IN.AIADMK,ADMK,81656,53.92,PRAKASH.R,parties.IN.PMK,PMK,61575,20081,13.26,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3867,tamil-nadu,2011,POLUR,196477,166702,84.85,JAYASUDHA.L,parties.IN.AIADMK,ADMK,92391,55.42,EDIROLIMANIAN.G,parties.IN.PMK,PMK,63846,28545,17.12,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3868,tamil-nadu,2011,VANDAVASI,199026,162399,81.6,GUNASEELAN.V,parties.IN.AIADMK,ADMK,84529,52.05,KAMALAKKANNAN.J,parties.IN.DMK,DMK,72233,12296,7.57,src-1b7bc1c9d39a
