entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Jayalalithaa (E),,160432,89.6,1,won,U,,,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Mahendran . C,,9710,5.42,2,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Ramaswamy K.R. T.R,,4590,2.56,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Abraham Raja Mohan R,,746,0.42,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Ponraj P,,537,0.3,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Abdul Rahim,,357,0.2,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Manimaran U.K,,312,0.17,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Prakash P,,257,0.14,8,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Padmarajan k.Dr.,,225,0.13,9,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Noor Muhamad A,,164,0.09,10,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Subash Babu M,,163,0.09,11,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Sriramchandran P.N.,,128,0.07,12,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Duraivel V,,126,0.07,13,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Venugopal E,,126,0.07,14,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Mohanraj J,,118,0.07,15,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Ravi M.L.,,113,0.06,16,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Vasantha Kumar M,,107,0.06,17,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Paulraj T,,105,0.06,18,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Jayakumar J,,103,0.06,19,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Marimuthu P,,100,0.06,20,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Ahamed ShahJahan M,,79,0.04,21,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Rama Doss E,,74,0.04,22,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Gopi M,,69,0.04,23,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2015,11,DR. RADHAKRISHNAN NAGAR,Jayakumar R (a) Ambedkumar,,68,0.04,24,forfeit,U,,,,challenger,src-1b7bc1c9d39a
