entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-tamil-nadu-3861,tamil-nadu,2019,SHOLINGHUR,261537,215721,82.48,G. SAMPATHU,,103545,48,A. ASOKAN,,87489,16056,7.44,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3877,tamil-nadu,2019,PERAMBUR,293656,188919,64.33,R.D.SHEKAR,,106394,56.32,R.S.RAAJESH,,38371,68023,36.01,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3898,tamil-nadu,2019,SULUR,295157,226996,76.91,KANDHASAMY. P,,100782,44.4,PONGALUR PALANISAMY. N,,90669,10113,4.46,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3906,tamil-nadu,2019,HARUR,235857,194367,82.41,SAMPATHKUMAR. V.,,88632,45.6,KRISHNAKUMAR. C.,,79238,9394,4.83,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3909,tamil-nadu,2019,PAPPIREDDIPPATTI,253903,215251,84.78,GOVINDASAMY. A.,,103981,48.31,MANI. A.,,85488,18493,8.59,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3914,tamil-nadu,2019,NILAKOTTAI,229625,184089,80.17,"THENMOZHI, S.",,90982,49.42,"SOUNDARA PANDIAN, C,",,70307,20675,11.23,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3933,tamil-nadu,2019,THIRUPORUR,270755,217230,80.23,IDHAYAVARMAN.L,,103248,47.53,ARUMUGAM.S,,82235,21013,9.67,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3941,tamil-nadu,2019,ARAVAKURICHI,205273,173263,84.41,Senthilbalaji V,,97800,56.45,Senthilnathan V V,,59843,37957,21.91,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3948,tamil-nadu,2019,HOSUR,327294,226569,69.22,SATHYA .S.A,,115027,50.77,JYOTHI .S,,91814,23213,10.25,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3969,tamil-nadu,2019,THIRUVARUR,269156,206348,76.66,Kalaivanan Poondi K.,,117616,57,Jeevanantham R.,,53045,64571,31.29,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-3997,tamil-nadu,2019,PARAMAKUDI,247172,177532,71.83,SATHAN PRABHAKAR.N,,82438,46.44,SAMBATHKUMAR.S,,68406,14032,7.91,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-4009,tamil-nadu,2019,MANAMADURAI,264192,196763,74.48,Nagarajan S.,,85228,43.32,Kasilingam @ Ilakkiyadasan K,,77034,8194,4.17,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-4029,tamil-nadu,2019,THANJAVUR,277254,189600,68.38,NEELAMEGAM. T.K.G,,88972,46.93,GANDHI. R,,54992,33980,17.93,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-4031,tamil-nadu,2019,ANDIPATTI,264521,290162,109.69,07/03/22,,87079,30.01,MAHARAJAN.A,,87079,0,0,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-4038,tamil-nadu,2019,OTTAPIDARAM,234659,170468,72.64,"SHUNMUGAIAH, C.",,73241,42.96,"MOHAN, P.",,53584,19657,11.53,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-4042,tamil-nadu,2019,VILATHIKULAM,208833,159675,76.46,CHINNAPPAN.P,,70139,43.93,JAYAKUMAR.A.C,,41585,28554,17.89,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-4051,tamil-nadu,2019,NANGUNERI,257140,170680,66.38,"NARAYANAN, V.",,95377,55.88,"MANOHARAN, R.",,61932,33445,19.59,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-4065,tamil-nadu,2019,POONAMALLEE,332310,256108,77.07,KRISHNASWAMY A,,136905,53.46,VAITHIYANATHAN G,,76809,60096,23.47,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-4073,tamil-nadu,2019,AMBUR,224398,172452,76.85,A.C.VILWANATHAN,,96455,55.93,J.JOTHI RAMALINGA RAJA,,58688,37767,21.9,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-4075,tamil-nadu,2019,GUDIYATHAM,270751,203918,75.32,Kathavarayan.S,,106137,52.05,Moorthy R,,78296,27841,13.65,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-4083,tamil-nadu,2019,VIKRAVANDI,223492,188692,84.43,Muthamilselvan R,,113766,60.29,Pugazhenthi N,,68842,44924,23.81,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-4086,tamil-nadu,2019,SATTUR,236696,182811,77.23,RAJAVARMAN M.S.R,,76977,42.11,SRINIVASAN V,,76521,456,0.25,src-1b7bc1c9d39a
IN-AC-2008-tamil-nadu-4089,tamil-nadu,2019,THIRUPARANKUNDRAM,304478,226055,74.24,SARAVANAN P,,85434,37.79,MUNIYANDI S,,83038,2396,1.06,src-1b7bc1c9d39a
