entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-2008-tamil-nadu-3857,tamil-nadu,2026,ARAKKONAM (SC),200986,182340,90.72,V. Gandhiraj,parties.IN.TVK,TVK,73776,40.46,Ezhil Caroline,parties.IN.VCK,VCK,50655,23121,12.68,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3858,tamil-nadu,2026,ARCOT,246786,225786,91.49,S.m.sukumar,parties.IN.AIADMK,ADMK,105608,46.77,G.vijay Mohan,parties.IN.TVK,TVK,62888,42720,18.92,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3859,tamil-nadu,2026,KATPADI,230148,203497,88.42,Dr M Sudhakar,parties.IN.TVK,TVK,69868,34.33,V. Ramu,parties.IN.AIADMK,ADMK,63998,5870,2.88,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3860,tamil-nadu,2026,RANIPET,248962,221038,88.78,Thahira,parties.IN.TVK,TVK,91149,41.24,R. Gandhi,parties.IN.DMK,DMK,85362,5787,2.62,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3861,tamil-nadu,2026,SHOLINGUR,258076,233684,90.55,G.kapil,parties.IN.TVK,TVK,84506,36.16,K.saravanan,parties.IN.PMK,PMK,78820,5686,2.43,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3862,tamil-nadu,2026,TIRUTTANI,262500,238798,90.97,G.hari,parties.IN.AIADMK,ADMK,89169,37.34,M.sathya Kumar,parties.IN.TVK,TVK,83376,5793,2.43,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3863,tamil-nadu,2026,ARANI,256474,230162,89.74,Jayasudha. L,parties.IN.AIADMK,ADMK,76735,33.34,Mahalakshmi Govarthanan,parties.IN.DMK,DMK,71104,5631,2.45,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3864,tamil-nadu,2026,CHEYYAR,240008,222570,92.73,Mukkur N. Subramanian,parties.IN.AIADMK,ADMK,86680,38.95,Dusi K Mohan,parties.IN.TVK,TVK,65599,21081,9.48,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3865,tamil-nadu,2026,GINGEE,242992,216652,89.16,Ganeshkumar A,parties.IN.PMK,PMK,78201,36.1,Gingee Masthan K S,parties.IN.DMK,DMK,65556,12645,5.84,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3866,tamil-nadu,2026,MAILAM,209098,189221,90.49,Shanmugam C Ve,parties.IN.AIADMK,ADMK,82353,43.52,Vijay Niranjan A,parties.IN.TVK,TVK,52312,30041,15.87,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3867,tamil-nadu,2026,POLUR,235091,211743,90.07,Abishek. R,parties.IN.TVK,TVK,67961,32.1,Saravanan. P,parties.IN.DMDK,DMDK,67734,227,0.11,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3868,tamil-nadu,2026,VANDAVASI (SC),213574,191204,89.53,Ambethkumar. S,parties.IN.DMK,DMK,63805,33.37,Rani. P,parties.IN.AIADMK,ADMK,60472,3333,1.74,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3869,tamil-nadu,2026,ANNA NAGAR,188908,163339,86.46,V.k.ramkumar,parties.IN.TVK,TVK,71375,43.7,N.chitrarasu,parties.IN.DMK,DMK,50012,21363,13.08,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3870,tamil-nadu,2026,CHEPAUK-THIRUVALLIKENI,166050,140741,84.76,Udhayanidhi Stalin,parties.IN.DMK,DMK,62992,44.76,Selvam. D,parties.IN.TVK,TVK,55852,7140,5.08,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3871,tamil-nadu,2026,EGMORE (SC),138796,119738,86.27,Rajmohan,parties.IN.TVK,TVK,53901,45.02,Tamilan Prasanna,parties.IN.DMK,DMK,43097,10804,9.03,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3872,tamil-nadu,2026,HARBOUR,120142,99622,82.92,P K Sekarbabu,parties.IN.DMK,DMK,45254,45.43,Sinora P S Ashok,parties.IN.TVK,TVK,33504,11750,11.8,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3873,tamil-nadu,2026,THOUSAND LIGHTS,157551,131824,83.67,Prabhakar.j.c.d,parties.IN.TVK,TVK,58965,44.73,Ezhilan Naganathan,parties.IN.DMK,DMK,43824,15141,11.49,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3874,tamil-nadu,2026,VILLIVAKKAM,163416,141452,86.56,Aadhav Arjuna,parties.IN.TVK,TVK,66445,46.97,Karthik Mohan,parties.IN.DMK,DMK,49143,17302,12.23,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3875,tamil-nadu,2026,DR.RADHAKRISHNAN NAGAR,199394,181210,90.88,N. Marie Wilson,parties.IN.TVK,TVK,97800,53.97,J. John Ebenezer,parties.IN.DMK,DMK,48132,49668,27.41,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3876,tamil-nadu,2026,KOLATHUR,211833,184051,86.88,V. S. Babu,parties.IN.TVK,TVK,82997,45.09,M. K. Stalin,parties.IN.DMK,DMK,74202,8795,4.77,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3877,tamil-nadu,2026,PERAMBUR,226345,204384,90.3,C. Joseph Vijay,parties.IN.TVK,TVK,120365,58.89,R.d. Shekar,parties.IN.DMK,DMK,66650,53715,26.28,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3879,tamil-nadu,2026,THIRU-VI-KA-NAGAR (SC),181658,143903,79.22,M. R. Pallavi,parties.IN.TVK,TVK,69125,48.04,K. S. Ravichandran,parties.IN.DMK,DMK,46792,22333,15.52,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3880,tamil-nadu,2026,THIRUVOTTIYUR,244931,207088,84.55,Senthil Kumar. N,parties.IN.TVK,TVK,110067,53.15,Sundararaj. L,parties.IN.CPIM,CPI(M),56503,53564,25.87,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3881,tamil-nadu,2026,MYLAPORE,199496,150594,75.49,Venkataramanan. P,parties.IN.TVK,TVK,70070,46.53,Velu. Dha,parties.IN.DMK,DMK,41098,28972,19.24,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3882,tamil-nadu,2026,SAIDAPET,204177,160401,78.56,Arul Prakasam. M,parties.IN.TVK,TVK,81205,50.63,Subramanian. Ma,parties.IN.DMK,DMK,52691,28514,17.78,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3883,tamil-nadu,2026,SHOZHINGANALLUR,553978,447295,80.74,Ecr P Saravanan,parties.IN.TVK,TVK,220382,49.27,S. Aravind Ramesh,parties.IN.DMK,DMK,123602,96780,21.64,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3884,tamil-nadu,2026,THIYAGARAYANAGAR,158791,133928,84.34,Anand N,parties.IN.TVK,TVK,51632,38.55,Sathiyanarayanan B,parties.IN.AIADMK,ADMK,38605,13027,9.72,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3885,tamil-nadu,2026,VELACHERY,217208,184815,85.09,Kumar. R,parties.IN.TVK,TVK,80430,43.52,Ashok. M.k,parties.IN.AIADMK,ADMK,47125,33305,18.02,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3886,tamil-nadu,2026,VIRUGAMPAKKAM,200627,172831,86.15,Sabarinathan.r,parties.IN.TVK,TVK,76092,44.03,Prabhakara Raja.a.m.v,parties.IN.DMK,DMK,49006,27086,15.68,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3887,tamil-nadu,2026,ARIYALUR,263156,235858,89.63,Rajendran S,parties.IN.AIADMK,ADMK,95219,40.37,Latha Balu,parties.IN.DMK,DMK,70721,24498,10.39,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3888,tamil-nadu,2026,BHUVANAGIRI,233353,207310,88.84,Arunmozhithevan . A,parties.IN.AIADMK,ADMK,75707,36.52,Saravanan. Durai . K,parties.IN.DMK,DMK,73220,2487,1.2,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3889,tamil-nadu,2026,CHIDAMBARAM,231325,196586,84.98,Thamimun Ansari. M,parties.IN.DMK,DMK,69739,35.48,Pandian. K.a,parties.IN.AIADMK,ADMK,63992,5747,2.93,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3890,tamil-nadu,2026,JAYANKONDAM,263862,228548,86.62,Vaithilingam G.,parties.IN.PMK,PMK,88992,38.94,Kannan Ka.so.ka.,parties.IN.DMK,DMK,70502,18490,8.09,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3891,tamil-nadu,2026,KATTUMANNARKOIL (SC),226509,187905,82.96,L.e. Jothimani,parties.IN.VCK,VCK,85179,45.33,A. Sozhan,parties.IN.PMK,PMK,52116,33063,17.59,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3892,tamil-nadu,2026,KUNNAM,268155,230570,85.98,Sivasankar. S.s,parties.IN.DMK,DMK,87237,37.84,Saranya. A,parties.IN.AIADMK,ADMK,71680,15557,6.75,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3893,tamil-nadu,2026,COIMBATORE (NORTH),296994,226109,76.13,V. Sampathkumar,parties.IN.TVK,TVK,92500,40.91,Durai. Senthamil Selvan B.e,parties.IN.DMK,DMK,70508,21992,9.73,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3894,tamil-nadu,2026,COIMBATORE (SOUTH),188912,156499,82.84,V Senthilbalaji,parties.IN.DMK,DMK,59724,38.16,V. Senthilkumar,parties.IN.TVK,TVK,57453,2271,1.45,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3895,tamil-nadu,2026,KAVUNDAMPALAYAM,422240,363991,86.2,Kanimozhi Santhosh,parties.IN.TVK,TVK,146466,40.24,Arunkumar Prg,parties.IN.AIADMK,ADMK,104326,42140,11.58,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3896,tamil-nadu,2026,PALLADAM,329875,301014,91.25,K.ramkumar,parties.IN.TVK,TVK,121297,40.3,K.p.paramasivam,parties.IN.AIADMK,ADMK,83400,37897,12.59,src-3da941c21223,minor,
IN-AC-2008-tamil-nadu-3897,tamil-nadu,2026,SINGANALLUR,269997,221033,81.86,K.s.sri Giri Prasath,parties.IN.TVK,TVK,84163,38.08,V.srinidhi,parties.IN.INC,INC,65024,19139,8.66,src-3da941c21223,minor,
