entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-telangana-3159,telangana,2014,ADILABAD,223262,143479,64.26,JOGU RAMANNA,parties.IN.BRS,TRS,58705,40.92,PAYAL SHANKER,parties.IN.BJP,BJP,43994,14711,10.26,src-1b7bc1c9d39a
IN-AC-2008-telangana-3160,telangana,2014,ASIFABAD,190257,146438,76.97,KOVA LAXMI,parties.IN.BRS,TRS,59094,40.35,ATRAM SAKKU,parties.IN.INC,INC,40039,19055,13.01,src-1b7bc1c9d39a
IN-AC-2008-telangana-3161,telangana,2014,BOATH,176205,138499,78.6,RATHOD BAPURAO,parties.IN.BRS,TRS,62870,45.39,JADHAV ANIL KUMAR,parties.IN.INC,INC,35877,26993,19.49,src-1b7bc1c9d39a
IN-AC-2008-telangana-3162,telangana,2014,KHANAPUR,186545,136717,73.29,AJMEERA REKHA,parties.IN.BRS,TRS,67442,49.33,RATHOD RITESH,parties.IN.TDP,TDP,28931,38511,28.17,src-1b7bc1c9d39a
IN-AC-2008-telangana-3163,telangana,2014,MUDHOLE,208874,162872,77.98,GADDIGARI VITTAL REDDY,parties.IN.INC,INC,63322,38.88,DR. PADAKANTI RAMADEVI,parties.IN.BJP,BJP,48485,14837,9.11,src-1b7bc1c9d39a
IN-AC-2008-telangana-3164,telangana,2014,NIRMAL,210177,161515,76.85,ALLOLLA INDRA KARAN REDDY,parties.IN.BSP,BSP,61368,38,KUCHADI SRIHARIRAO,parties.IN.BRS,TRS,52871,8497,5.27,src-1b7bc1c9d39a
IN-AC-2008-telangana-3165,telangana,2014,SIRPUR,190962,151288,79.22,KONERU KONAPPA,parties.IN.BSP,BSP,49033,32.41,KAVETI SAMMAIAH,parties.IN.BRS,TRS,40196,8837,5.84,src-1b7bc1c9d39a
IN-AC-2008-telangana-3201,telangana,2014,ALAIR,203038,174071,85.73,GONGIDI SUNITHA,parties.IN.BRS,TRS,91737,52.7,BUDIDA BIKSHAMAIAH,parties.IN.INC,INC,60260,31477,18.08,src-1b7bc1c9d39a
IN-AC-2008-telangana-3202,telangana,2014,BHONGIR,186645,159166,85.28,PAILLA SHEKAR REDDY,parties.IN.BRS,TRS,54686,34.36,JITTA BALA KRISHNA REDDY,,YTP,39270,15416,9.69,src-1b7bc1c9d39a
IN-AC-2008-telangana-3203,telangana,2014,IBRAHIMPATNAM,230388,181443,78.76,MANCHIREDDY KISHAN REDDY,parties.IN.TDP,TDP,48397,26.67,MALREDDY RAMREDDY,parties.IN.IND,IND,37341,11056,6.09,src-1b7bc1c9d39a
IN-AC-2008-telangana-3204,telangana,2014,JANGOAN,213950,172291,80.53,MUTHIREDDY YADAGIRI REDDY,parties.IN.BRS,TRS,84074,48.8,PONNALA LAKSHMAIAH,parties.IN.INC,INC,51379,32695,18.98,src-1b7bc1c9d39a
IN-AC-2008-telangana-3205,telangana,2014,MUNUGODE,209138,171786,82.14,KOOSUKUNTLA PRABHAKAR REDDY,parties.IN.BRS,TRS,65496,38.13,PALVAI SRAVANTHI,parties.IN.IND,IND,27441,38055,22.16,src-1b7bc1c9d39a
IN-AC-2008-telangana-3206,telangana,2014,NAKREKAL,225475,179746,79.72,VEMULA VEERESHAM,parties.IN.BRS,TRS,62445,34.74,CHIRUMARTHY LINGAIAH,parties.IN.INC,INC,60075,2370,1.32,src-1b7bc1c9d39a
IN-AC-2008-telangana-3207,telangana,2014,THUNGATHURTHI,223606,174515,78.05,GADARI KISHORE KUMAR,parties.IN.BRS,TRS,64382,36.89,ADDANKI DAYAKAR,parties.IN.INC,INC,62003,2379,1.36,src-1b7bc1c9d39a
IN-AC-2008-telangana-3208,telangana,2014,CHEVELLA,205757,162571,79.01,KALE YADAIAH,parties.IN.INC,INC,64182,39.48,KORANI SAYANNA RATNAM,parties.IN.BRS,TRS,63401,781,0.48,src-1b7bc1c9d39a
IN-AC-2008-telangana-3209,telangana,2014,MAHESWARAM,403729,217679,53.92,TEEGALA KRISHNA REDDY,parties.IN.TDP,TDP,93305,42.86,MALREDDY RANGA REDDY,parties.IN.INC,INC,62521,30784,14.14,src-1b7bc1c9d39a
IN-AC-2008-telangana-3210,telangana,2014,PARGI,211875,150178,70.88,TAMMANNAGARI RAM MOHAN REDDY,parties.IN.INC,INC,68098,45.34,KOPPULA HARISHWAR REDDY,parties.IN.BRS,TRS,62935,5163,3.43,src-1b7bc1c9d39a
IN-AC-2008-telangana-3211,telangana,2014,RAJENDRANAGAR,387355,229586,59.27,T.PRAKASH GOUD,parties.IN.TDP,TDP,77843,33.91,GNANESHWAR,parties.IN.INC,INC,51962,25881,11.28,src-1b7bc1c9d39a
IN-AC-2008-telangana-3212,telangana,2014,SERILINGAMPALLY,591281,282944,47.85,AREKAPUDI GANDHI,parties.IN.TDP,TDP,129796,45.87,KOMARAGONI SHANKER GOUD,parties.IN.BRS,TRS,53539,76257,26.95,src-1b7bc1c9d39a
IN-AC-2008-telangana-3214,telangana,2014,VICARABAD,195951,137901,70.38,B.SANJEEVA RAO,parties.IN.BRS,TRS,64592,46.84,G.PRASAD KUMAR,parties.IN.INC,INC,54520,10072,7.3,src-1b7bc1c9d39a
IN-AC-2008-telangana-3243,telangana,2014,BAHADURPURA,243892,136209,55.85,MOHD. MOAZAM KHAN,parties.IN.AIMIM,AIMIM,106874,78.46,MD. ABDUL RAHMAN @ MAHMOOD,parties.IN.TDP,TDP,11829,95045,69.78,src-1b7bc1c9d39a
IN-AC-2008-telangana-3244,telangana,2014,CHANDRAYANGUTTA,263350,135831,51.58,AKBARUDDIN OWAISI,parties.IN.AIMIM,AIMIM,80393,59.19,DR. KHAYAM KHAN,parties.IN.MBT,MBT,21119,59274,43.64,src-1b7bc1c9d39a
IN-AC-2008-telangana-3247,telangana,2014,KARWAN,287977,160129,55.6,KAUSAR MOINUDDIN,parties.IN.AIMIM,AIMIM,86391,53.95,BADDAM BAL REDDY,parties.IN.BJP,BJP,48614,37777,23.59,src-1b7bc1c9d39a
