entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-telangana-3328,telangana,2019,89,HUZURNAGAR,Saidi Reddy Shanampudi,parties.IN.BRS,TRS,113095,56.34,1,won,M,45,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3328,telangana,2019,89,HUZURNAGAR,Nalamada Padmavathi Reddy,parties.IN.INC,INC,69737,34.74,2,lost,F,51,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3328,telangana,2019,89,HUZURNAGAR,Sapavath Suman,parties.IN.IND,IND,2697,1.34,3,forfeit,M,32,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3328,telangana,2019,89,HUZURNAGAR,Dr. Kota. Rama Rao,parties.IN.BJP,BJP,2639,1.31,4,forfeit,M,42,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3328,telangana,2019,89,HUZURNAGAR,Chava. Kiranmaye,parties.IN.TDP,TDP,1827,0.91,5,forfeit,F,48,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3328,telangana,2019,89,HUZURNAGAR,Shanthi Dasram Naik,parties.IN.BMUP,Bahujan Mukti Party,955,0.48,6,forfeit,F,28,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3328,telangana,2019,89,HUZURNAGAR,T Pandu Goudu,parties.IN.IND,IND,923,0.46,7,forfeit,M,36,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3328,telangana,2019,89,HUZURNAGAR,Ajmeera Mahesh,parties.IN.UNK,Rythu Bidda Party,917,0.46,8,forfeit,M,29,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3328,telangana,2019,89,HUZURNAGAR,Jajula Bhaskar,parties.IN.SSP,Shramajeevi Party,895,0.45,9,forfeit,M,45,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3328,telangana,2019,89,HUZURNAGAR,Teenmar Mallanna,parties.IN.IND,IND,894,0.45,10,forfeit,M,36,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3328,telangana,2019,89,HUZURNAGAR,Deshagani Sambashiva Goud,parties.IN.IND,IND,885,0.44,11,forfeit,M,35,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3328,telangana,2019,89,HUZURNAGAR,Kiran Vangapalli,parties.IN.RPSN,Republican Sena,815,0.41,12,forfeit,M,34,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3328,telangana,2019,89,HUZURNAGAR,Medi. Ramana,parties.IN.IND,IND,545,0.27,13,forfeit,M,43,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3328,telangana,2019,89,HUZURNAGAR,Panditi Kranthi Kumar,parties.IN.IND,IND,426,0.21,15,forfeit,M,30,,,challenger,src-1b7bc1c9d39a
