entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-telangana-3266,telangana,2021,31,HUZURABAD,EATALA RAJENDER,parties.IN.BJP,107022,51.96,1,won,M,57,,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-telangana-3266,telangana,2021,31,HUZURABAD,GELLU SRINIVAS YADAV,,83167,40.38,2,lost,M,38,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3266,telangana,2021,31,HUZURABAD,BALMOOR VENKAT NARSING RAO,parties.IN.INC,3014,1.46,3,forfeit,M,29,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3266,telangana,2021,31,HUZURABAD,KANTE SAYANNA,parties.IN.IND,1942,0.94,4,forfeit,M,45,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3266,telangana,2021,31,HUZURABAD,SILIVERU SRIKANTH,,1921,0.93,5,forfeit,M,37,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3266,telangana,2021,31,HUZURABAD,NOTA,,1036,0.5,6,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3266,telangana,2021,31,HUZURABAD,KOTA. SHYAM KUMAR,parties.IN.IND,967,0.47,7,forfeit,M,34,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3266,telangana,2021,31,HUZURABAD,GUGULOTHU THIRUPATHI,parties.IN.IND,964,0.47,8,forfeit,M,29,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3266,telangana,2021,31,HUZURABAD,VURUMALLA VISHWAM,parties.IN.IND,726,0.35,9,forfeit,M,30,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3266,telangana,2021,31,HUZURABAD,PALLE PRASHANTH,parties.IN.IND,694,0.34,10,forfeit,M,31,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3266,telangana,2021,31,HUZURABAD,GANJI YUGANDHER,parties.IN.IND,659,0.32,11,forfeit,M,46,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3266,telangana,2021,31,HUZURABAD,LINGIDI VENKATESWARLU,,582,0.28,12,forfeit,M,64,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-telangana-3266,telangana,2021,31,HUZURABAD,C.V. SUBBA REDDY,parties.IN.IND,488,0.24,13,forfeit,M,68,,,challenger,src-1b7bc1c9d39a
