entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-2008-telangana-3165,telangana,2023,Sirpur,227164,186880,82.27,Dr.palvai Harish Babu,parties.IN.BJP,BJP,63702,34.49,Koneru Konappa,parties.IN.BHRS,BHRS,60614,3088,1.67,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3377,telangana,2023,Chennur,188417,152230,80.79,Vivek Venkat Swamy,parties.IN.INC,INC,87541,58.19,Balka Suman,parties.IN.BHRS,BHRS,50026,37515,24.94,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3376,telangana,2023,Bellampally,173500,141863,81.77,Gaddam Vinod,parties.IN.INC,INC,82217,58.86,Durgam Chinnaiah,parties.IN.BHRS,BHRS,45339,36878,26.4,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3379,telangana,2023,Mancherial,275141,192510,69.97,Kokkirala Premsagar Rao,parties.IN.INC,INC,105945,55.3,Raghunath Verabelli,parties.IN.BJP,BJP,39829,66116,34.51,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3160,telangana,2023,Asifabad,226778,184666,81.43,Kova Laxmi,parties.IN.BHRS,BHRS,83052,45.35,Ajmera Shyam,parties.IN.INC,INC,60242,22810,12.45,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3162,telangana,2023,Khanapur,220942,174239,78.86,Vedma. Bhojju,parties.IN.INC,INC,58870,34.2,Johnson Naik Bhukya,parties.IN.BHRS,BHRS,54168,4702,2.73,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3159,telangana,2023,Adilabad,240559,188652,78.42,Payal Shanker,parties.IN.BJP,BJP,67608,35.95,Jogu Ramanna,parties.IN.BHRS,BHRS,60916,6692,3.56,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3161,telangana,2023,Boath,208599,174018,83.42,Anil Jadhav,parties.IN.BHRS,BHRS,76792,44.79,Soyam Bapurao,parties.IN.BJP,BJP,53992,22800,13.3,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3164,telangana,2023,Nirmal,253551,196931,77.67,Alleti Maheshwar Reddy,parties.IN.BJP,BJP,106400,54.45,Allola Indrakaran Reddy,parties.IN.BHRS,BHRS,55697,50703,25.95,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3163,telangana,2023,Mudhole,249826,202202,80.94,Ram Rao Pawar,parties.IN.BJP,BJP,98252,49.05,Gaddigari Vittal Reddy,parties.IN.BHRS,BHRS,74253,23999,11.98,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3362,telangana,2023,Armur,210341,161826,76.94,Paidi Rakesh Reddy,parties.IN.BJP,BJP,72658,45.32,Prodduturi Vinay Kumar Reddy,parties.IN.INC,INC,42989,29669,18.51,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3364,telangana,2023,Bodhan,220238,171929,78.07,P. Sudarshan Reddy,parties.IN.INC,INC,66963,39.15,Mohammed Shakil Aamir,parties.IN.BHRS,BHRS,63901,3062,1.79,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3448,telangana,2023,Jukkal,200100,164539,82.23,Laxmi Kantha Rao Thota,parties.IN.INC,INC,64489,39.31,Hanmant Shinde,parties.IN.BHRS,BHRS,63337,1152,0.7,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3447,telangana,2023,Banswada,195384,160079,81.93,Srinivas Reddy Parige (pocharam),parties.IN.BHRS,BHRS,76278,47.95,Eanugu Ravinder Reddy,parties.IN.INC,INC,52814,23464,14.75,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3451,telangana,2023,Yellareddy,220789,184800,83.7,Madan Mohan Rao. K,parties.IN.INC,INC,86989,47.41,Surendar Jajala,parties.IN.BHRS,BHRS,62988,24001,13.08,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3449,telangana,2023,Kamareddy,252620,192889,76.36,Katipally Venkata Ramana Reddy,parties.IN.BJP,BJP,66652,34.64,Kalvakuntla Chandrashekar Rao,parties.IN.BHRS,BHRS,59911,6741,3.5,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3367,telangana,2023,Nizamabad (Rural),253417,195018,76.96,Bhoopathi Reddy Rekulapally,parties.IN.INC,INC,78378,40.66,Goverdhan Bajireddy,parties.IN.BHRS,BHRS,56415,21963,11.39,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3363,telangana,2023,Balkonda,221511,174839,78.93,Prashanth Reddy Vemula,parties.IN.BHRS,BHRS,70417,40.54,Sunil Kumar Muthyala,parties.IN.INC,INC,65884,4533,2.61,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3366,telangana,2023,Koratla,240901,183590,76.21,Kalvakuntla Sanjay,parties.IN.BHRS,BHRS,72115,39.58,Arvind Dharmapuri,parties.IN.BJP,BJP,61810,10305,5.66,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3365,telangana,2023,Jagtial,231513,176359,76.18,Dr. Sanjay,parties.IN.BHRS,BHRS,70243,40.16,Jeevan Reddy. T,parties.IN.INC,INC,54421,15822,9.05,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3382,telangana,2023,Ramagundam,221251,152988,69.15,Makkan Singh Raj Thakur,parties.IN.INC,INC,92227,60.91,Korukanti Chander,parties.IN.BHRS,BHRS,35433,56794,37.51,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3380,telangana,2023,Manthani,236597,196543,83.07,Duddilla Sridhar Babu,parties.IN.INC,INC,103822,53.03,Putta Madhukar,parties.IN.BHRS,BHRS,72442,31380,16.03,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3381,telangana,2023,Peddapalle,254530,207944,81.7,Chinthakunta Vijaya Ramana Rao,parties.IN.INC,INC,118888,57.41,Dasari Manohar Reddy,parties.IN.BHRS,BHRS,63780,55108,26.61,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3267,telangana,2023,Karimnagar,355156,229774,64.7,Gangula Kamalakar,parties.IN.BHRS,BHRS,92179,40.34,Bandi Sanjay Kumar,parties.IN.BJP,BJP,89016,3163,1.38,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3264,telangana,2023,Choppadandi,233183,182188,78.13,Medipally Sathyam,parties.IN.INC,INC,90395,49.96,Ravi Shankar Sunke,parties.IN.BHRS,BHRS,52956,37439,20.69,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3270,telangana,2023,Vemulawada,222304,174145,78.34,Aadi Srinivas,parties.IN.INC,INC,71451,41.33,Chalimeda Lakshmi Narasimha Rao,parties.IN.BHRS,BHRS,56870,14581,8.43,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3269,telangana,2023,Sircilla,244532,188740,77.18,Kalvakuntla Taraka Rama Rao (k.t.r),parties.IN.BHRS,BHRS,89244,47.5,K.k. Mahender Reddy,parties.IN.INC,INC,59557,29687,15.8,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3268,telangana,2023,Manakondur,221741,185829,83.8,Dr. Kavvampally Satyanarayana,parties.IN.INC,INC,96773,52.64,Erupula Balakishan Rasamayi,parties.IN.BHRS,BHRS,64408,32365,17.61,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3266,telangana,2023,Huzurabad,249738,209311,83.81,Kaushik Reddy Padi,parties.IN.BHRS,BHRS,80333,38.6,Eatala Rajendar,parties.IN.BJP,BJP,63460,16873,8.11,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3265,telangana,2023,Husnabad,242397,206698,85.27,Ponnam Prabhakar,parties.IN.INC,INC,100955,49.13,Satish Kumar Voditela,parties.IN.BHRS,BHRS,81611,19344,9.41,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3319,telangana,2023,Siddipet,233840,181403,77.58,Thanneeru Harish Rao,parties.IN.BHRS,BHRS,105514,58.59,Pujala Hari Krishna,parties.IN.INC,INC,23206,82308,45.7,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3315,telangana,2023,Medak,216835,186863,86.18,Mynampally Rohith,parties.IN.INC,INC,87126,47.09,Padma Devender Reddy.m,parties.IN.BHRS,BHRS,76969,10157,5.49,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3450,telangana,2023,Narayankhed,231255,194036,83.91,Patlolla Sanjeeva Reddy,parties.IN.INC,INC,91373,47.3,Mahareddy Bhupal Reddy,parties.IN.BHRS,BHRS,84826,6547,3.39,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3446,telangana,2023,Andole,249301,212750,85.34,C. Damodar Rajanarsimha,parties.IN.INC,INC,114147,53.79,Chanti Kranthi Kiran,parties.IN.BHRS,BHRS,85954,28193,13.29,src-a23a6eabcb11,minor,
IN-AC-2008-telangana-3316,telangana,2023,Narsapur,223632,198062,88.57,Vakiti Sunitha Laxma Reddy,parties.IN.BHRS,BHRS,88410,44.95,Aavula Raji Reddy,parties.IN.INC,INC,79555,8855,4.5,src-a23a6eabcb11,minor,
