entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-1976-tripura-1,tripura,2003,1,SIMNA,PRANAB DEBBARMA,parties.IN.CPIM,CPM,10686,51.32,1,won,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-1,tripura,2003,1,SIMNA,RABINDRA DEBBARMA,parties.IN.INPT,INPT,9666,46.42,2,lost,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-1,tripura,2003,1,SIMNA,RABINDRA DEBBARMA,parties.IN.LJNSP,LJNSP,472,2.27,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-2,tripura,2003,2,MOHANPUR,RATAN LAL NATH,parties.IN.INC,INC,12947,56.95,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-2,tripura,2003,2,MOHANPUR,SANJIT DEBNATH,parties.IN.CPIM,CPM,8974,39.48,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-2,tripura,2003,2,MOHANPUR,RAKHAL RAJ DATTA,parties.IN.AMB,AMB,362,1.59,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-2,tripura,2003,2,MOHANPUR,DHIRENDRA CH.DEBNATH,parties.IN.AITC,AITC,230,1.01,4,forfeit,U,,,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-2,tripura,2003,2,MOHANPUR,DHIRESH CH. DAS,parties.IN.IND,IND,219,0.96,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-3,tripura,2003,3,BAMUTIA,PRAKASH CH.DAS,parties.IN.INC,INC,13170,50.46,1,won,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-3,tripura,2003,3,BAMUTIA,HARICHARAN SARKAR,parties.IN.CPIM,CPM,12539,48.04,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-3,tripura,2003,3,BAMUTIA,ACHALMANI BISWAS,parties.IN.AITC,AITC,391,1.5,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-4,tripura,2003,4,BARJALA,DIPAK KUMAR ROY,parties.IN.INC,INC,18851,50.26,1,won,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-4,tripura,2003,4,BARJALA,KALYANI DEY(MITRA),parties.IN.CPIM,CPM,17821,47.51,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-4,tripura,2003,4,BARJALA,PRADIP CHAKRABARTY,parties.IN.AITC,AITC,423,1.13,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-4,tripura,2003,4,BARJALA,BRAJALAL DEBNATH,parties.IN.IND,IND,413,1.1,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-5,tripura,2003,5,KHAYERPUR,PABITRA KAR,parties.IN.CPIM,CPM,16429,57.01,1,won,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-5,tripura,2003,5,KHAYERPUR,LAKHSMI NAG,parties.IN.INC,INC,12390,42.99,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-6,tripura,2003,6,AGARTALA,SUDIP ROY BARMAN,parties.IN.INC,INC,18656,52.24,1,won,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-6,tripura,2003,6,AGARTALA,SANKAR DAS,parties.IN.CPIM,CPM,16046,44.94,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-6,tripura,2003,6,AGARTALA,NILMANI DEB,parties.IN.BJP,BJP,381,1.07,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-6,tripura,2003,6,AGARTALA,SURENDRA DEBNATH,parties.IN.IND,IND,239,0.67,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-6,tripura,2003,6,AGARTALA,DULAL DAS,parties.IN.AITC,AITC,194,0.54,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-6,tripura,2003,6,AGARTALA,SHIBANI BHOWMIK,parties.IN.IND,IND,193,0.54,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-7,tripura,2003,7,RAMNAGAR,SURAJIT DATTA,parties.IN.INC,INC,14431,54.1,1,won,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-7,tripura,2003,7,RAMNAGAR,SAMIR CHAKRABARTY,parties.IN.CPIM,CPM,11608,43.51,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-7,tripura,2003,7,RAMNAGAR,CHANDAN DE,parties.IN.BJP,BJP,638,2.39,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-8,tripura,2003,8,TOWN BORDOWALI,"ASHOK KR, BHATTACHARYYA",parties.IN.INC,INC,12010,53.16,1,won,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-8,tripura,2003,8,TOWN BORDOWALI,BRAJA GOPAL RAY,parties.IN.AIFB,FBL,9844,43.57,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-8,tripura,2003,8,TOWN BORDOWALI,NISITH DAS,parties.IN.IND,IND,331,1.46,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-8,tripura,2003,8,TOWN BORDOWALI,"DILIP KR,PAUL",parties.IN.AITC,AITC,259,1.15,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-8,tripura,2003,8,TOWN BORDOWALI,PAPRI HALDAR,parties.IN.LJNSP,LJNSP,150,0.66,5,forfeit,U,,,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-9,tripura,2003,9,BANAMALIPUR,GOPAL CH.RAY,parties.IN.INC,INC,10437,52.03,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-9,tripura,2003,9,BANAMALIPUR,PRASHANTA KAPALI,parties.IN.CPI,CPI,8907,44.4,2,lost,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-9,tripura,2003,9,BANAMALIPUR,RADHASHYAM SAHA,parties.IN.AITC,AITC,464,2.31,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-9,tripura,2003,9,BANAMALIPUR,SUDHINDRA DASGUPTA,parties.IN.IND,IND,150,0.75,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-9,tripura,2003,9,BANAMALIPUR,RAMU BANIK,parties.IN.IND,IND,60,0.3,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-9,tripura,2003,9,BANAMALIPUR,JAHAR SAHA,parties.IN.IND,IND,41,0.2,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-10,tripura,2003,10,MAJLISHPUR,MANIK DEY,parties.IN.CPIM,CPM,14908,53.8,1,won,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-10,tripura,2003,10,MAJLISHPUR,DIPAK NAG,parties.IN.INC,INC,12144,43.83,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-10,tripura,2003,10,MAJLISHPUR,UPENDRA DEBBARMA,parties.IN.IND,IND,386,1.39,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-10,tripura,2003,10,MAJLISHPUR,BIPIN DEBBARMA,parties.IN.NCP,NCP,271,0.98,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-11,tripura,2003,11,MANDAIBAZAR,MANORANJAN DEBBARMA,parties.IN.CPIM,CPM,13448,52.85,1,won,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-11,tripura,2003,11,MANDAIBAZAR,JAGADISH DEBBARMA,parties.IN.INPT,INPT,11998,47.15,2,lost,U,,,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-12,tripura,2003,12,TAKARJALA,RAJESWAR DEBBARMA,parties.IN.INPT,INPT,12784,77.75,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-12,tripura,2003,12,TAKARJALA,BAIJAYANTI KALAI,parties.IN.CPIM,CPM,3101,18.86,2,lost,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-tripura-12,tripura,2003,12,TAKARJALA,KARTIK KANYA DEBBARMA,parties.IN.NCP,NCP,557,3.39,3,forfeit,U,,,,crossover,src-1b7bc1c9d39a,minor,
