entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-tripura-1656,tripura,2013,1,SIMNA,PRANAB DEBBARMA,parties.IN.CPIM,CPM,17063,54.36,1,won,U,45,Graduate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-tripura-1656,tripura,2013,1,SIMNA,RABINDRA DEBBARMA,parties.IN.INPT,INPT,13244,42.19,2,lost,U,53,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1656,tripura,2013,1,SIMNA,SUBODH DEBBARMA,parties.IN.IPFT,IPFT,632,2.01,3,forfeit,U,68,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1656,tripura,2013,1,SIMNA,HIRAMUNI DEBBARMA,parties.IN.BJP,BJP,450,1.43,4,forfeit,U,28,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1649,tripura,2013,2,MOHANPUR,RATAN LAL NATH,parties.IN.INC,INC,19143,49.12,1,won,U,62,Graduate Professional,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1649,tripura,2013,2,MOHANPUR,SUBHAS CHANDRA DEBNATH,parties.IN.CPIM,CPM,18368,47.13,2,lost,U,61,Post Graduate,Retired or Pension,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1649,tripura,2013,2,MOHANPUR,MANGALIA DEBBARMA,parties.IN.IPFT,IPFT,640,1.64,3,forfeit,U,49,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1649,tripura,2013,2,MOHANPUR,BHUPESH DEBNATH,parties.IN.UNK,AMB,417,1.07,4,forfeit,U,40,Graduate,Home Teacher or Tuition,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1649,tripura,2013,2,MOHANPUR,DHIRENDRA DEBNATH,parties.IN.BJP,BJP,403,1.03,5,forfeit,U,42,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1634,tripura,2013,3,BAMUTIA,HARICHARAN SARKAR,parties.IN.CPIM,CPM,19744,52.35,1,won,U,63,Graduate,Party Worker,incumbent,src-1b7bc1c9d39a
IN-AC-2008-tripura-1634,tripura,2013,3,BAMUTIA,PRAKASH CHANDRA DAS,parties.IN.INC,INC,16994,45.06,2,lost,U,54,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1634,tripura,2013,3,BAMUTIA,BIKRAM BAIRAGI,parties.IN.BJP,BJP,493,1.31,3,forfeit,U,27,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1634,tripura,2013,3,BAMUTIA,BIMAL CHANDRA DAS,parties.IN.UNK,AMB,481,1.28,4,forfeit,U,53,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1636,tripura,2013,4,BARJALA,JITENDRA SARKAR,parties.IN.INC,INC,17728,49.25,1,won,U,67,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1636,tripura,2013,4,BARJALA,JITENDRA DAS,parties.IN.CPIM,CPM,17467,48.52,2,lost,U,64,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1636,tripura,2013,4,BARJALA,SAMIR BISWAS,parties.IN.BJP,BJP,511,1.42,3,forfeit,U,47,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1636,tripura,2013,4,BARJALA,RAHUL DAS,parties.IN.SP,SP,291,0.81,4,forfeit,U,39,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1645,tripura,2013,5,KHAYERPUR,PABITRA KAR,parties.IN.CPIM,CPM,20972,50.72,1,won,U,62,Graduate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-tripura-1645,tripura,2013,5,KHAYERPUR,BAPTU CHAKRABORTY,parties.IN.INC,INC,19675,47.59,2,lost,U,33,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1645,tripura,2013,5,KHAYERPUR,NILIMA GHOSH,parties.IN.BJP,BJP,698,1.69,3,forfeit,U,56,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1631,tripura,2013,6,AGARTALA,SUDIP ROY BARMAN,parties.IN.INC,INC,22160,52.29,1,won,U,47,Graduate Professional,Lawyer,incumbent,src-1b7bc1c9d39a
IN-AC-2008-tripura-1631,tripura,2013,6,AGARTALA,SANKAR PRASAD DATTA,parties.IN.CPIM,CPM,19398,45.77,2,lost,U,55,Post Graduate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-tripura-1631,tripura,2013,6,AGARTALA,SUSHIL ROY,parties.IN.BJP,BJP,823,1.94,3,forfeit,U,66,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1654,tripura,2013,7,RAMNAGAR,RATAN DAS,parties.IN.CPIM,CPM,18060,49.19,1,won,U,55,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1654,tripura,2013,7,RAMNAGAR,SURAJIT DATTA,parties.IN.INC,INC,17995,49.02,2,lost,U,61,12th Pass,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-tripura-1654,tripura,2013,7,RAMNAGAR,BIDYUT GHOSH,parties.IN.BJP,BJP,657,1.79,3,forfeit,U,44,Post Graduate,Lawyer,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1660,tripura,2013,8,TOWN BORDOWALI,ASISH KUMAR SAHA,parties.IN.INC,INC,22474,57.45,1,won,U,53,12th Pass,Party Worker,incumbent,src-1b7bc1c9d39a
IN-AC-2008-tripura-1660,tripura,2013,8,TOWN BORDOWALI,SHYAMAL ROY,parties.IN.AIFB,AIFB,15414,39.41,2,lost,U,61,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1660,tripura,2013,8,TOWN BORDOWALI,MANOJ KANTI DEBROY,parties.IN.BJP,BJP,498,1.27,3,forfeit,U,53,Graduate Professional,Doctor,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1660,tripura,2013,8,TOWN BORDOWALI,SUJIT PAUL,parties.IN.IND,IND,354,0.91,4,forfeit,U,41,Graduate Professional,Private Company,challenger,src-1b7bc1c9d39a
IN-AC-2008-tripura-1660,tripura,2013,8,TOWN BORDOWALI,DEBAJIT ROY,parties.IN.UNK,AMB,206,0.53,5,forfeit,U,27,Others,,challenger,src-1b7bc1c9d39a
