entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-tripura-1601,tripura,2013,AMARPUR,36588,34859,95.27,MANORANJAN ACHARJEE,parties.IN.CPIM,CPM,19075,54.72,NIRANJAN BARMAN,parties.IN.INC,INC,15053,4022,11.54,src-1b7bc1c9d39a
IN-AC-2008-tripura-1602,tripura,2013,AMBASSA,41203,38190,92.69,LALIT KUMAR DEBBARMA,parties.IN.CPIM,CPM,18755,49.11,BIJOY KUMAR HRANGKHAWL,parties.IN.INPT,INPT,17701,1054,2.76,src-1b7bc1c9d39a
IN-AC-2008-tripura-1603,tripura,2013,AMPINAGAR,32997,29823,90.38,DANIEL JAMATIA,parties.IN.CPIM,CPM,15714,52.69,NAGENDRA JAMATIA,parties.IN.INPT,INPT,12930,2784,9.33,src-1b7bc1c9d39a
IN-AC-2008-tripura-1604,tripura,2013,ASHARAMBARI,32239,29934,92.85,AGHORE DEBBARMA,parties.IN.CPIM,CPM,17826,59.55,AMIYA KUMAR DEBBARMA,parties.IN.INPT,INPT,10609,7217,24.11,src-1b7bc1c9d39a
IN-AC-2008-tripura-1605,tripura,2013,BAGBASSA,38790,35095,90.47,BIJITA NATH,parties.IN.CPIM,CPM,17991,51.26,JYOTIRMOY NATH,parties.IN.INC,INC,15059,2932,8.35,src-1b7bc1c9d39a
IN-AC-2008-tripura-1606,tripura,2013,CHANDIPUR,39170,35956,91.79,TAPAN CHAKRABARTI,parties.IN.CPIM,CPM,21009,58.43,NIRMALENDU DEB,parties.IN.INC,INC,13380,7629,21.22,src-1b7bc1c9d39a
IN-AC-2008-tripura-1607,tripura,2013,CHHAWMANU,34797,31241,89.78,NIRAJOY TRIPURA,parties.IN.CPIM,CPM,15870,50.8,ZAIDAMI TRIPURA,parties.IN.INC,INC,14375,1495,4.79,src-1b7bc1c9d39a
IN-AC-2008-tripura-1608,tripura,2013,DHARMANAGAR,38617,35281,91.36,BISWABANDHU SEN,parties.IN.INC,INC,17991,50.99,AMITABHA DATTA,parties.IN.CPIM,CPM,16147,1844,5.22,src-1b7bc1c9d39a
IN-AC-2008-tripura-1609,tripura,2013,FATIKROY,37846,34976,92.42,TUNUBALA MALAKAR,parties.IN.CPIM,CPM,17899,51.18,JUGAL MALAKAR,parties.IN.INC,INC,16034,1865,5.34,src-1b7bc1c9d39a
IN-AC-2008-tripura-1610,tripura,2013,HRISHYAMUKH,39764,38228,96.14,BADAL CHOUDHURY,parties.IN.CPIM,CPM,25009,65.42,SUSANKAR BHOWMIK,parties.IN.INC,INC,12580,12429,32.51,src-1b7bc1c9d39a
IN-AC-2008-tripura-1611,tripura,2013,JOLAIBARI,41227,39247,95.2,JASHABIR TRIPURA,parties.IN.CPIM,CPM,24295,61.9,BRAJENDRA MOG CHAUDHURI,parties.IN.INC,INC,14952,9343,23.8,src-1b7bc1c9d39a
IN-AC-2008-tripura-1612,tripura,2013,JUBARAJNAGAR,37220,34974,93.97,RAMENDRA CHANDRA DEBNATH,parties.IN.CPIM,CPM,18602,53.19,RANADHIR NATH,parties.IN.INC,INC,15724,2878,8.23,src-1b7bc1c9d39a
IN-AC-2008-tripura-1613,tripura,2013,KADAMTALA - KURTI,37326,34035,91.18,FAYZUR ROHAMAN,parties.IN.CPIM,CPM,14514,42.64,ABDUL MATIN CHAUDHURY,parties.IN.INC,INC,12585,1929,5.66,src-1b7bc1c9d39a
IN-AC-2008-tripura-1614,tripura,2013,KAILASAHAR,41722,38054,91.21,BIRAJIT SINHA,parties.IN.INC,INC,18857,49.55,MOBOSHAR ALI,parties.IN.CPIM,CPM,18372,485,1.27,src-1b7bc1c9d39a
IN-AC-2008-tripura-1615,tripura,2013,KALYANPUR-PRAMODENAGAR,39172,36734,93.78,MANINDRA CHANDRA DAS,parties.IN.CPIM,CPM,19755,53.78,KAJAL CHANDRA DAS,parties.IN.INC,INC,15975,3780,10.29,src-1b7bc1c9d39a
IN-AC-2008-tripura-1616,tripura,2013,KAMALPUR,40518,37546,92.66,BIJOY LAKSHMI SINGHA,parties.IN.CPIM,CPM,19204,51.15,MANOJ KANTI DEB,parties.IN.INC,INC,17690,1514,4.03,src-1b7bc1c9d39a
IN-AC-2008-tripura-1617,tripura,2013,KANCHANPUR,37895,34283,90.47,RAJENDRA REANG,parties.IN.CPIM,CPM,17186,50.13,DRAO KUMAR REANG,parties.IN.INPT,INPT,16105,1081,3.15,src-1b7bc1c9d39a
IN-AC-2008-tripura-1618,tripura,2013,KARBOOK,30973,29073,93.87,PRIYAMANI DEBBARMA,parties.IN.CPIM,CPM,15526,53.4,DHARJAROY TRIPURA,parties.IN.INPT,INPT,12091,3435,11.81,src-1b7bc1c9d39a
