entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1967-uttar-pradesh-10,uttar-pradesh,1972,PITHORAGARH,99793,28078,28.14,H.SINGH,parties.IN.INC,INC,16121,57.42,P.SINGH,parties.IN.IND,IND,7210,8911,31.74,src-0c1b8f274551,minor,
IN-AC-1967-uttar-pradesh-111,uttar-pradesh,1972,SARENT,106702,57560,53.94,R.SINGH,parties.IN.INC,INC,29838,51.84,J.SINGH,parties.IN.BJS,BJS,12424,17414,30.26,src-0c1b8f274551,minor,
IN-AC-1967-uttar-pradesh-162,uttar-pradesh,1972,MANJAPUR,105276,36940,35.09,D.N.MISRA,parties.IN.INC,INC,24031,65.05,D.HARAN,parties.IN.IND,IND,6629,17402,47.1,src-0c1b8f274551,minor,
IN-AC-1967-uttar-pradesh-191,uttar-pradesh,1972,MANIRAM,99018,61610,62.22,R.K.DWIVEDI,parties.IN.INC,INC,33230,53.94,T.NARAIN,parties.IN.NCO,NCO,17137,16093,26.12,src-0c1b8f274551,minor,
IN-AC-1967-uttar-pradesh-21,uttar-pradesh,1972,NAGINA,99148,54095,54.56,A.REHMAN,parties.IN.INC,INC,33111,61.21,S.RAM,parties.IN.BJS,BJS,12028,21083,38.98,src-0c1b8f274551,minor,
IN-AC-1967-uttar-pradesh-267,uttar-pradesh,1972,RAJGARH,115371,145339,125.98,RAMASHANKER,parties.IN.SOP,SOP,76068,52.34,LOKPATI,parties.IN.INC,INC,44116,31952,21.99,src-0c1b8f274551,minor,
IN-AC-1967-uttar-pradesh-278,uttar-pradesh,1972,SORAON,104732,45391,43.34,R.TRIPATHI,parties.IN.INC,INC,15918,35.07,J.B.S.PATEL,parties.IN.BKD,BKD,13882,2036,4.49,src-0c1b8f274551,minor,
IN-AC-1967-uttar-pradesh-301,uttar-pradesh,1972,RAJPUR,100096,58258,58.2,R.D.MISRA,parties.IN.INC,INC,28344,48.65,R.SINGH,parties.IN.IND,IND,24350,3994,6.85,src-0c1b8f274551,minor,
IN-AC-1967-uttar-pradesh-390,uttar-pradesh,1972,DADRI,116751,64805,55.51,V.SINGH,parties.IN.INC,INC,25810,39.83,T.SINGH,parties.IN.NCO,NCO,24555,1255,1.94,src-0c1b8f274551,minor,
IN-AC-1967-uttar-pradesh-46,uttar-pradesh,1972,DATAGANJ,106716,60067,56.29,S.KUMARI,parties.IN.INC,INC,29164,48.55,J.M.SINGH,parties.IN.BJS,BJS,15605,13559,22.57,src-0c1b8f274551,minor,
