entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-uttar-pradesh-1000,uttar-pradesh,2017,BALAMAU,347454,187997,54.11,RAM PAL VERMA,parties.IN.BJP,BJP,74917,39.85,NEELU SATYARTHI,parties.IN.BSP,BSP,52029,22888,12.17,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1001,uttar-pradesh,2017,BILGRAM - MALANWAN,357744,221791,62,ASHISH KUMAR SINGH ASHU,parties.IN.BJP,BJP,83405,37.61,SUBHASH PAL,parties.IN.SP,SP,75380,8025,3.62,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1002,uttar-pradesh,2017,BILAUR,377575,240684,63.74,BHAGWATI PRASAD SAGAR,parties.IN.BJP,BJP,102326,42.51,KAMLESH CHANDRA DIWAKAR,parties.IN.BSP,BSP,71160,31166,12.94,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1003,uttar-pradesh,2017,MISRIKH,344981,219695,63.68,RAM KRISHNA BHARGAVA,parties.IN.BJP,BJP,86403,39.33,MANISH KUMAR RAWAT,parties.IN.BSP,BSP,65731,20672,9.41,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1004,uttar-pradesh,2017,SANDILA,334070,198649,59.46,RAJ KUMAR AGRAWAL URF RAJIA,parties.IN.BJP,BJP,90362,45.49,ABDUL MANNAN,parties.IN.SP,SP,69959,20403,10.27,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1005,uttar-pradesh,2017,BAKSHI KAA TALAB,395864,264762,66.88,AVINASH TRIVEDI,parties.IN.BJP,BJP,96482,36.44,NAKUL DUBEY,parties.IN.BSP,BSP,78898,17584,6.64,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1006,uttar-pradesh,2017,MALIHABAD,340477,227724,66.88,JAI DEVI,parties.IN.BJP,BJP,94677,41.58,RAJBALA,parties.IN.SP,SP,72009,22668,9.96,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1007,uttar-pradesh,2017,MOHANLALGANJ,341177,222570,65.24,AMBRISH SINGH PUSHKAR,parties.IN.SP,SP,71574,32.16,RAM BAHADUR,parties.IN.BSP,BSP,71044,530,0.24,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1008,uttar-pradesh,2017,SAROJINI NAGAR,498573,290847,58.34,SWATI SINGH,parties.IN.BJP,BJP,108506,37.31,ANURAG ALIAS ANURAG YADAV,parties.IN.SP,SP,74327,34179,11.75,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1009,uttar-pradesh,2017,SIDHAULI,329188,232737,70.7,HARGOVIND BHARGAVA,parties.IN.BSP,BSP,78506,33.73,MANISH RAWAT,parties.IN.SP,SP,75996,2510,1.08,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1010,uttar-pradesh,2017,BARHAPUR,338100,222149,65.71,SUSHANT KUMAR,parties.IN.BJP,BJP,78744,35.45,HUSAIN AHMAD,parties.IN.INC,INC,68920,9824,4.43,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1011,uttar-pradesh,2017,KANTH,355629,253108,71.17,RAJESH KUMAR SINGH (CHUNNU),parties.IN.BJP,BJP,76307,30.15,ANEESURREHMAN,parties.IN.SP,SP,73959,2348,0.93,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1012,uttar-pradesh,2017,MORADABAD,470793,276805,58.8,RITESH KUMAR GUPTA,parties.IN.BJP,BJP,123467,44.6,MOHAMMAD YUSUF ANSARI,parties.IN.SP,SP,120274,3193,1.15,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1013,uttar-pradesh,2017,MORADABAD RURAL,356446,221367,62.1,HAJI IKRAM QURESHI,parties.IN.SP,SP,97916,44.23,HARIOM SHARMA,parties.IN.BJP,BJP,69135,28781,13,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1014,uttar-pradesh,2017,THAKURDWARA,347748,256420,73.74,NAVAB JAN,parties.IN.SP,SP,107865,42.07,RAJPAL SINGH CHAUHAN,parties.IN.BJP,BJP,94456,13409,5.23,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1015,uttar-pradesh,2017,BUDHANA,359140,241116,67.14,UMESH MALIK,parties.IN.BJP,BJP,97781,40.55,PRAMOD TYAGI,parties.IN.SP,SP,84580,13201,5.47,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1016,uttar-pradesh,2017,CHARTHAWAL,314338,206964,65.84,VIJAY KUMAR KASHYAP,parties.IN.BJP,BJP,82046,39.64,MUKESH KUMAR CHAUDHARY,parties.IN.SP,SP,58815,23231,11.22,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1017,uttar-pradesh,2017,KHATAULI,298738,213096,71.33,VIKRAM SINGH,parties.IN.BJP,BJP,94771,44.47,CHANDAN SINGH CHAUHAN,parties.IN.SP,SP,63397,31374,14.72,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1018,uttar-pradesh,2017,MUZAFFARNAGAR,334332,215602,64.49,KAPIL DEV AGARWAL,parties.IN.BJP,BJP,97838,45.38,GAURAV SWARUP BANSAL,parties.IN.SP,SP,87134,10704,4.97,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1019,uttar-pradesh,2017,SARDHANA,333064,239251,71.83,SANGEET SINGH SOM,parties.IN.BJP,BJP,97921,40.93,ATUL PRADHAN,parties.IN.SP,SP,76296,21625,9.04,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1020,uttar-pradesh,2017,DHAMPUR,282279,192961,68.36,ASHOK KUMAR RANA,parties.IN.BJP,BJP,82169,42.58,THA. MOOL CHAND CHAUHAN,parties.IN.SP,SP,64305,17864,9.25,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1021,uttar-pradesh,2017,NAGINA,328589,209903,63.88,MANOJ KUMAR PARAS,parties.IN.SP,SP,77145,36.75,OMWATI DEVI,parties.IN.BJP,BJP,69178,7967,3.79,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1022,uttar-pradesh,2017,NAJIBABAD,329566,215936,65.52,TASLEEM AHMAD,parties.IN.SP,SP,81082,37.55,RAJIV KUMAR AGARWAL,parties.IN.BJP,BJP,79080,2002,0.93,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1023,uttar-pradesh,2017,NEHTAUR,286410,188207,65.71,OMKUMAR,parties.IN.BJP,BJP,76644,40.72,MUNNALAL PREMI,parties.IN.INC,INC,53493,23151,12.3,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1024,uttar-pradesh,2017,NOORPUR,303478,203108,66.93,LOKENDRA SINGH,parties.IN.BJP,BJP,79172,38.98,NAIM UL HASAN,parties.IN.SP,SP,66436,12736,6.27,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1026,uttar-pradesh,2017,ALLAHABAD WEST,418849,198692,47.44,SIDHARTH NATH SINGH,parties.IN.BJP,BJP,85518,43.04,RICHA SINGH,parties.IN.SP,SP,60182,25336,12.75,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1027,uttar-pradesh,2017,PHAPHAMAU,356296,205266,57.61,VIKRAMAJEET,parties.IN.BJP,BJP,83239,40.55,ANSAR AHAMAD,parties.IN.SP,SP,57254,25985,12.66,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1028,uttar-pradesh,2017,PHULPUR,380837,223933,58.8,PRAVEEN KUMAR SINGH,parties.IN.BJP,BJP,93912,41.94,MANSOOR ALAM,parties.IN.SP,SP,67299,26613,11.89,src-1b7bc1c9d39a
IN-AC-2008-uttar-pradesh-1029,uttar-pradesh,2017,SORAON,365758,212679,58.15,JAMUNA PRASAD,parties.IN.UNK,ADAL,77814,36.59,GEETA DEVI,parties.IN.BSP,BSP,60079,17735,8.34,src-1b7bc1c9d39a
