entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-1976-uttarakhand-1,uttarakhand,2002,1,PUROLA,MALCHANDER,parties.IN.BJP,BJP,13209,40.79,1,won,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-1,uttarakhand,2002,1,PUROLA,SHANTI DEVI ALIAS SHANTI JUWANTHA,parties.IN.INC,INC,10238,31.62,2,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-1,uttarakhand,2002,1,PUROLA,SHAILENDRA LAL,parties.IN.UJP,UJP,4610,14.24,3,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-1,uttarakhand,2002,1,PUROLA,SAKAL CHAND,parties.IN.IND,IND,1668,5.15,4,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-1,uttarakhand,2002,1,PUROLA,VIRENDRA LAL,parties.IN.SP,SP,1097,3.39,5,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-1,uttarakhand,2002,1,PUROLA,HIRPAL ARYA,parties.IN.BSP,BSP,800,2.47,6,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-1,uttarakhand,2002,1,PUROLA,GULBIYA,parties.IN.IND,IND,443,1.37,7,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-1,uttarakhand,2002,1,PUROLA,JETHU LAL,parties.IN.UKKD,UKKD,318,0.98,8,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-2,uttarakhand,2002,2,GANGOTRI,VIJAYPAL SINGH SAJWAN,parties.IN.INC,INC,7878,20.91,1,won,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-2,uttarakhand,2002,2,GANGOTRI,KAMALA RAM NAUTIYAL,parties.IN.CPI,CPI,7268,19.29,2,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-2,uttarakhand,2002,2,GANGOTRI,BUDHI SINGH PANWAR,parties.IN.BJP,BJP,6822,18.11,3,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-2,uttarakhand,2002,2,GANGOTRI,HARI SINGH RANA,parties.IN.IND,IND,6005,15.94,4,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-2,uttarakhand,2002,2,GANGOTRI,CHANDAN SINGH RANA,parties.IN.UJP,UJP,4082,10.83,5,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-2,uttarakhand,2002,2,GANGOTRI,DEVENDRA DUTT SEMWAL,parties.IN.IND,IND,1081,2.87,6,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-2,uttarakhand,2002,2,GANGOTRI,JAGENDRA SINGH BIST,parties.IN.IND,IND,948,2.52,7,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-2,uttarakhand,2002,2,GANGOTRI,BUDHI BALLABH JOSHI,parties.IN.BSP,BSP,936,2.48,8,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-2,uttarakhand,2002,2,GANGOTRI,KAMLESHWAR,parties.IN.IND,IND,646,1.71,9,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-2,uttarakhand,2002,2,GANGOTRI,SHANTI PRASAD THAPLIYAL,parties.IN.IND,IND,613,1.63,10,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-2,uttarakhand,2002,2,GANGOTRI,MAHABEER SINGH CHAUHAN,parties.IN.SAP,SAP,447,1.19,11,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-2,uttarakhand,2002,2,GANGOTRI,ROSHAN LAL,parties.IN.SP,SP,393,1.04,12,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-2,uttarakhand,2002,2,GANGOTRI,MADAN SINGH,parties.IN.UKKD,UKKD,327,0.87,13,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-2,uttarakhand,2002,2,GANGOTRI,KIRTI NIDHI SAJWAN,parties.IN.RLD,RLD,229,0.61,14,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-3,uttarakhand,2002,3,YAMUNOTRI,PRITAM SINGH PAWAR,parties.IN.UKKD,UKKD,9498,26.37,1,won,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-3,uttarakhand,2002,3,YAMUNOTRI,KEDAR SINGH,parties.IN.INC,INC,7013,19.47,2,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-3,uttarakhand,2002,3,YAMUNOTRI,SULOCHANA,parties.IN.BJP,BJP,5584,15.51,3,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-3,uttarakhand,2002,3,YAMUNOTRI,BUDDHI SINGH`,parties.IN.BSP,BSP,3999,11.1,4,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-3,uttarakhand,2002,3,YAMUNOTRI,BALBEER SINGH BIST,parties.IN.UJP,UJP,1909,5.3,5,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-uttarakhand-3,uttarakhand,2002,3,YAMUNOTRI,MANVEER SINGH,parties.IN.NCP,NCP,1667,4.63,6,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
