entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-uttarakhand-274,uttarakhand,2012,ALMORA,78503,47577,60.61,MANOJ TIWARI,parties.IN.INC,INC,16211,34.07,RAGHUNATH SINGH CHAUHAN,parties.IN.BJP,BJP,15030,1181,2.48,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-275,uttarakhand,2012,BAGESHWAR,99035,60131,60.72,CHANDAN RAM DASS,parties.IN.BJP,BJP,23396,38.91,RAM PRASAD TAMTA,parties.IN.INC,INC,21485,1911,3.18,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-276,uttarakhand,2012,CHAMPAWAT,76311,50184,65.76,SRI HEMESH KHARKWAL,parties.IN.INC,INC,20330,40.51,SRI MADAN SINGH,parties.IN.BSP,BSP,13377,6953,13.85,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-277,uttarakhand,2012,DHARCHULA,72755,47419,65.18,HARISH DHAMI,parties.IN.INC,INC,15739,33.19,KHUSHAL SINGH,parties.IN.BJP,BJP,10433,5306,11.19,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-278,uttarakhand,2012,DIDIHAT,75458,45081,59.74,BISHAN SINGH CHUPHAL,parties.IN.BJP,BJP,21089,46.78,REWATI JOSHI,parties.IN.INC,INC,10472,10617,23.55,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-279,uttarakhand,2012,DWARAHAT,84170,43576,51.77,MADAN SINGH BISHT,parties.IN.INC,INC,14798,33.96,PUSHPESH TRIPATHI,parties.IN.UKDP,UKDP,11472,3326,7.63,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-280,uttarakhand,2012,GANGOLIHAT,88073,48579,55.16,NARAYANRAM ARYA,parties.IN.INC,INC,24648,50.74,GEETA THAKUR GOWAL,parties.IN.BJP,BJP,16768,7880,16.22,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-281,uttarakhand,2012,JAGESHWAR,81998,46593,56.82,GOVIND SINGH KUNJWAL,parties.IN.INC,INC,18175,39.01,BACHI SINGH,parties.IN.BJP,BJP,14310,3865,8.3,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-282,uttarakhand,2012,KAPKOTE,85489,51346,60.06,LALIT FARSWAN,parties.IN.INC,INC,22335,43.5,BALWANT SINGH,parties.IN.BJP,BJP,20966,1369,2.67,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-283,uttarakhand,2012,LOHAGHAT,93567,51510,55.05,SRI PURAN SINGH,parties.IN.BJP,BJP,30429,59.07,SRI MAHENDRA SINGH MAHRA,parties.IN.INC,INC,18894,11535,22.39,src-1b7bc1c9d39a
