entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-2008-uttarakhand-274,uttarakhand,2017,ALMORA,88878,51966,58.47,RAGHUNATH SINGH CHAUHAN,parties.IN.BJP,BJP,26464,50.93,MANOJ TEWARI,parties.IN.INC,INC,21085,5379,10.36,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-275,uttarakhand,2017,BAGESHWAR,112712,67479,59.87,CHANDAN RAM DASS,parties.IN.BJP,BJP,33792,50.08,BALKRISHAN,parties.IN.INC,INC,19225,14567,21.59,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-276,uttarakhand,2017,CHAMPAWAT,88781,58753,66.18,KAILASH CHANDRA GAHTORI,parties.IN.BJP,BJP,36601,62.3,HEMESH KHARKWAL,parties.IN.INC,INC,19241,17360,29.55,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-277,uttarakhand,2017,DHARCHULA,86441,53825,62.27,HARISH SINGH,parties.IN.INC,INC,25597,47.56,VIRENDRA SINGH PAL,parties.IN.BJP,BJP,22512,3085,5.74,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-278,uttarakhand,2017,DIDIHAT,84662,51670,61.03,VISHAN SINGH,parties.IN.BJP,BJP,17392,33.66,KISHAN  BHANDARI,parties.IN.IND,IND,15024,2368,4.58,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-279,uttarakhand,2017,DWARAHAT,90620,46800,51.64,MAHESH SINGH NEGI,parties.IN.BJP,BJP,20221,43.21,MADAN SINGH BISHT,parties.IN.INC,INC,13628,6593,14.09,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-280,uttarakhand,2017,GANGOLIHAT,100315,54676,54.5,MEENA GANGOLA,parties.IN.BJP,BJP,20418,37.34,NARAYAN RAM ARYA,parties.IN.INC,INC,19613,805,1.47,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-281,uttarakhand,2017,JAGESHWAR,90388,50899,56.31,GOVIND SINGH KUNJWAL,parties.IN.INC,INC,24132,47.41,SUBHASH PANDEY,parties.IN.BJP,BJP,23733,399,0.78,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-282,uttarakhand,2017,KAPKOTE,96741,59774,61.79,BALWANT SINGH BHOURIYAL,parties.IN.BJP,BJP,27213,45.53,LALIT FARSWAN,parties.IN.INC,INC,21231,5982,10.01,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-283,uttarakhand,2017,LOHAGHAT,102389,58333,56.97,PURAN SINGH FARTYAL,parties.IN.BJP,BJP,27685,47.46,KHUSHAL SINGH,parties.IN.INC,INC,26851,834,1.43,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-284,uttarakhand,2017,PITHORAGARH,107371,66658,62.08,PRAKASH PANT,parties.IN.BJP,BJP,32941,49.42,MAYUKH MAHAR,parties.IN.INC,INC,30257,2684,4.03,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-285,uttarakhand,2017,RANIKHET,79537,41010,51.56,KARAN  MAHARA,parties.IN.INC,INC,19035,46.42,AJAY BHATT,parties.IN.BJP,BJP,14054,4981,12.15,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-286,uttarakhand,2017,SALT,95735,43895,45.85,SURENDER SINGH JEENA,parties.IN.BJP,BJP,21581,49.17,GANGA PANCHOLI,parties.IN.INC,INC,18677,2904,6.62,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-287,uttarakhand,2017,SOMESHWAR,85597,45883,53.6,REKHA ARYA,parties.IN.BJP,BJP,21780,47.47,RAJENDRA BARAKOTI,parties.IN.INC,INC,21070,710,1.55,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-288,uttarakhand,2017,BADRINATH,101595,63408,62.41,MAHENDRA BHATT,parties.IN.BJP,BJP,29676,46.8,RAJENDRA SINGH BHANDARI,parties.IN.INC,INC,24042,5634,8.88,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-289,uttarakhand,2017,CHAUBATTAKHAL,92610,42850,46.27,SATPAL MAHARAJ,parties.IN.BJP,BJP,20921,48.82,RAJPAL SINGH BISHT,parties.IN.INC,INC,13567,7354,17.16,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-290,uttarakhand,2017,DEOPRAYAG,82105,43541,53.03,VINOD KANDARI,parties.IN.BJP,BJP,13824,31.75,DIWAKAR BHATT,parties.IN.IND,IND,10325,3499,8.04,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-291,uttarakhand,2017,KARNPRAYAG,96579,54442,56.37,SURENDRA SINGH NEGI,parties.IN.BJP,BJP,28159,51.72,DR. ANSUYA PARSAD MAIKHURI,parties.IN.INC,INC,20610,7549,13.86,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-292,uttarakhand,2017,KEDARNATH,86135,56204,65.25,MANOJ RAWAT,parties.IN.INC,INC,13906,24.74,KULDEEP SINGH RAWAT,parties.IN.IND,IND,13037,869,1.54,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-293,uttarakhand,2017,KOTDWAR,103554,71086,68.65,(DR) HARAK SINGH RAWAT,parties.IN.BJP,BJP,39859,56.07,SURENDRA SINGH NEGI,parties.IN.INC,INC,28541,11318,15.92,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-294,uttarakhand,2017,LANSDOWNE,84832,39776,46.89,DALEEP SINGH RAWAT,parties.IN.BJP,BJP,22246,55.93,LT. GEN(RETD) TEJPAL SINGH RAWAT  P.V.S.M  V.S.M,parties.IN.INC,INC,15771,6475,16.28,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-295,uttarakhand,2017,NARENDRANAGAR,84441,52545,62.23,SUBODH UNIYAL,parties.IN.BJP,BJP,24104,45.87,OM GOPAL RAWAT,parties.IN.IND,IND,19132,4972,9.46,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-296,uttarakhand,2017,PAURI,94943,48651,51.24,MUKESH SINGH KOLI,parties.IN.BJP,BJP,26469,54.41,NAVAL KISHOR,parties.IN.INC,INC,19439,7030,14.45,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-297,uttarakhand,2017,RAMNAGAR,108911,77397,71.06,DIWAN SINGH BISHT,parties.IN.BJP,BJP,35839,46.31,RANJEET RAWAT,parties.IN.INC,INC,27228,8611,11.13,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-298,uttarakhand,2017,RUDRAPRAYAG,98657,58176,58.97,BHARAT SINGH,parties.IN.BJP,BJP,29333,50.42,LAXMI SINGH RANA,parties.IN.INC,INC,14701,14632,25.15,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-299,uttarakhand,2017,SRINAGAR,105290,60141,57.12,DR. DHAN SINGH RAWAT,parties.IN.BJP,BJP,30816,51.24,GANESH GODIYAL,parties.IN.INC,INC,22118,8698,14.46,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-300,uttarakhand,2017,THARALI,102784,58593,57.01,MAGAN LAL SHAH,parties.IN.BJP,BJP,25810,44.05,DR. JEET RAM,parties.IN.INC,INC,20889,4921,8.4,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-301,uttarakhand,2017,YAMKESHWAR,86774,45731,52.7,RITU KHANDURI BHUSHAN,parties.IN.BJP,BJP,19671,43.01,RENU BISHT,parties.IN.IND,IND,10689,8982,19.64,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-302,uttarakhand,2017,B.H.E.L. RANIPUR,146932,103812,70.65,ADESH CHAUHAN,parties.IN.BJP,BJP,56644,54.56,AMBRISH KUMAR,parties.IN.INC,INC,34404,22240,21.42,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-303,uttarakhand,2017,BHAGWANPUR,116407,93151,80.02,MAMTA RAKESH,parties.IN.INC,INC,44882,48.18,SUBODH RAKESH,parties.IN.BJP,BJP,42369,2513,2.7,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-304,uttarakhand,2017,DHARAMPUR,184569,106003,57.43,VINOD CHAMOLI,parties.IN.BJP,BJP,53828,50.78,DINESH AGARWAL,parties.IN.INC,INC,42875,10953,10.33,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-305,uttarakhand,2017,DOIWALA,142660,96769,67.83,TRIVENDRA SINGH RAWAT,parties.IN.BJP,BJP,58502,60.46,HIRA SINGH BISHT,parties.IN.INC,INC,33633,24869,25.7,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-306,uttarakhand,2017,HARDWAR,143519,93549,65.18,MADAN KAUSHIK,parties.IN.BJP,BJP,61742,66,BRAHMSWROOP BRAHMCHARI,parties.IN.INC,INC,25815,35927,38.4,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-307,uttarakhand,2017,HARDWAR RURAL,120195,98213,81.71,YATISHWARANAND,parties.IN.BJP,BJP,44964,45.78,HARISH CHANDRA SINGH RAWAT,parties.IN.INC,INC,32686,12278,12.5,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-308,uttarakhand,2017,JHABRERA,110668,84415,76.28,DESRAJ KARANWAL,parties.IN.BJP,BJP,32146,38.08,RAJPAL SINGH,parties.IN.INC,INC,29893,2253,2.67,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-309,uttarakhand,2017,JWALAPUR,108875,86877,79.8,SURESH RATHOR,parties.IN.BJP,BJP,29513,33.97,S.P.SINGH ENGINEER,parties.IN.INC,INC,24725,4788,5.51,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-310,uttarakhand,2017,KHANPUR,135612,107134,79,KUNWAR PARNAV SINGH CHAMPION,parties.IN.BJP,BJP,53192,49.65,MUFTI RIYASAT ALI,parties.IN.BSP,BSP,39457,13735,12.82,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-311,uttarakhand,2017,LAKSAR,95274,78070,81.94,SANJAY GUPTA,parties.IN.BJP,BJP,25248,32.34,HAJI TASLEEM AHMAD,parties.IN.INC,INC,23644,1604,2.05,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-312,uttarakhand,2017,MANGLORE,103802,81191,78.22,QAZI MOHD NIZAMUDDIN,parties.IN.INC,INC,31352,38.62,SARWAT KAREEM ANSARI,parties.IN.BSP,BSP,28684,2668,3.29,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-313,uttarakhand,2017,PIRANKALIYAR,111058,90529,81.52,FURKAN AHMAD,parties.IN.INC,INC,29243,32.3,JAIBHAGWAN,parties.IN.BJP,BJP,27894,1349,1.49,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-314,uttarakhand,2017,RISHIKESH,151997,98348,64.7,PREMCHAND AGGARWAL,parties.IN.BJP,BJP,45082,45.84,RAJPAL SINGH KHAROLA,parties.IN.INC,INC,30281,14801,15.05,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-315,uttarakhand,2017,ROORKEE,113205,72267,63.84,PRADEEP BATRA,parties.IN.BJP,BJP,40000,55.35,SURESH CHAND JAIN,parties.IN.INC,INC,27458,12542,17.35,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-316,uttarakhand,2017,BAJPUR,136194,104192,76.5,YASHPAL ARYA,parties.IN.BJP,BJP,54965,52.75,SUNEETA TAMTA,parties.IN.INC,INC,42329,12636,12.12,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-317,uttarakhand,2017,BHIMTAL,96684,61230,63.33,RAM SINGH KAIRA,parties.IN.IND,IND,18878,30.83,GOVIND SINGH BISHT,parties.IN.BJP,BJP,15432,3446,5.63,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-318,uttarakhand,2017,GADARPUR,121329,98060,80.82,ARVIND PANDEY,parties.IN.BJP,BJP,41530,42.35,RAJENDRA PAL SINGH,parties.IN.INC,INC,27424,14106,14.38,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-319,uttarakhand,2017,HALDWANI,140407,94182,67.08,INDIRA HRIDAYESH,parties.IN.INC,INC,43786,46.49,JOGENDRA PAL SINGH RAUTELA,parties.IN.BJP,BJP,37229,6557,6.96,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-320,uttarakhand,2017,JASPUR,115782,91798,79.29,ADESH SINGH CHAUHAN,parties.IN.INC,INC,42551,46.35,DR. SHAILENDRA MOHAN SINGHAL,parties.IN.BJP,BJP,38347,4204,4.58,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-321,uttarakhand,2017,KALADHUNGI,148431,101800,68.58,BANSIDHAR BHAGAT,parties.IN.BJP,BJP,45704,44.9,PRAKASH JOSHI,parties.IN.INC,INC,25107,20597,20.24,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-322,uttarakhand,2017,KASHIPUR,151070,104918,69.45,HARBHAJAN SINGH CHEEMA,parties.IN.BJP,BJP,50156,47.8,MANOJ JOSHI,parties.IN.INC,INC,30042,20114,19.17,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-323,uttarakhand,2017,KHATIMA,106211,80907,76.18,PUSHKAR SINGH DHAMI,parties.IN.BJP,BJP,29539,36.51,BHUWAN CHANDRA KAPRI,parties.IN.INC,INC,26830,2709,3.35,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-324,uttarakhand,2017,KICHHA,119566,88178,73.75,RAJESH SHUKLA,parties.IN.BJP,BJP,40363,45.77,HARISH RAWAT,parties.IN.INC,INC,38236,2127,2.41,src-1b7bc1c9d39a,minor,
IN-AC-2008-uttarakhand-325,uttarakhand,2017,LALKUWA,111965,80812,72.18,NAVEEN CHANDRA DUMKA,parties.IN.BJP,BJP,44293,54.81,HARISH CHANDRA DURGAPAL,parties.IN.INC,INC,17185,27108,33.54,src-1b7bc1c9d39a,minor,
