entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-uttarakhand-337,uttarakhand,2022,1,PUROLA,DURGESHWAR LAL,parties.IN.BJP,BJP,27856,53.95,1,won,U,36,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-337,uttarakhand,2022,1,PUROLA,Malchand,parties.IN.INC,INC,21560,41.76,2,lost,U,55,10th Pass,Hospitality,crossover,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-337,uttarakhand,2022,1,PUROLA,PRAKASH,parties.IN.AAAP,AAAP,538,1.04,3,forfeit,U,37,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-337,uttarakhand,2022,1,PUROLA,Ram Prasad,parties.IN.UNK,Rashtriya Lokneeti Party,495,0.96,4,forfeit,U,35,Graduate,Home Teacher or Tuition,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-337,uttarakhand,2022,1,PUROLA,Chain Singh,parties.IN.SP,SP,464,0.9,5,forfeit,U,55,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-337,uttarakhand,2022,1,PUROLA,Ujali Devi,parties.IN.BSP,BSP,389,0.75,6,forfeit,U,44,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-343,uttarakhand,2022,2,YAMUNOTRI,Sanjay Dobhal,parties.IN.IND,IND,22952,44.01,1,won,U,51,12th Pass,Hospitality,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-343,uttarakhand,2022,2,YAMUNOTRI,Deepak Bijalwan,parties.IN.INC,INC,16313,31.28,2,lost,U,35,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-343,uttarakhand,2022,2,YAMUNOTRI,Kedar Singh,parties.IN.BJP,BJP,10620,20.36,3,lost,U,62,Graduate Professional,Hospitality,incumbent,src-1b7bc1c9d39a
IN-AC-2008-uttarakhand-343,uttarakhand,2022,2,YAMUNOTRI,Manoj Kohli Shyam,parties.IN.AAAP,AAAP,583,1.12,4,forfeit,U,35,Others,,challenger,src-1b7bc1c9d39a
