entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-1976-west-bengal-115,west-bengal,1979,115,MAHESHTOLA,M.A.SAYEED,parties.IN.CPIM,CPM,45259,76.18,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-115,west-bengal,1979,115,MAHESHTOLA,S.NASKAR,parties.IN.INC_I,INC(I),11760,19.79,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-115,west-bengal,1979,115,MAHESHTOLA,D.DE,parties.IN.INC,INC,1520,2.56,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-115,west-bengal,1979,115,MAHESHTOLA,J.BASU,parties.IN.JP,JNP,777,1.31,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-115,west-bengal,1979,115,MAHESHTOLA,K.N.ROY,parties.IN.IND,IND,93,0.16,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-238,west-bengal,1979,238,JAIPUR,S.M.(GARAPHUSRA),parties.IN.INC,INC,17141,36.6,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-238,west-bengal,1979,238,JAIPUR,K.MAHATO,parties.IN.AIFB,FBL,15120,32.29,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-238,west-bengal,1979,238,JAIPUR,C.MAHATO,parties.IN.JP,JNP,6259,13.36,3,forfeit,U,,,,crossover,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-238,west-bengal,1979,238,JAIPUR,S.MAHATO,parties.IN.INC_I,INC(I),2832,6.05,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-238,west-bengal,1979,238,JAIPUR,S.M.(SRIRAMPUR),parties.IN.SUCI,SUC,1878,4.01,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-238,west-bengal,1979,238,JAIPUR,M.MAHATO,parties.IN.WPI,WPI,1495,3.19,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-238,west-bengal,1979,238,JAIPUR,S.R.MAJHI,parties.IN.IND,IND,1086,2.32,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-238,west-bengal,1979,238,JAIPUR,G.R.NATH,parties.IN.IND,IND,635,1.36,8,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-238,west-bengal,1979,238,JAIPUR,M.PADMALOCHAN,parties.IN.IND,IND,386,0.82,9,forfeit,U,,,,challenger,src-1b7bc1c9d39a
