entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-1976-west-bengal-1,west-bengal,1996,MEKLIGANJ,146878,126413,86.07,RAMESH ROY,parties.IN.AIFB,FBL,40982,32.42,SUNIL CHANDRA RAY,parties.IN.INC,INC,38999,1983,1.57,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-10,west-bengal,1996,KUMARGRAM,135338,113074,83.55,SALIB TOPPO,parties.IN.RSP,RSP,59032,52.21,KRISHNA CHIK BARAIK,parties.IN.INC,INC,41580,17452,15.44,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-100,west-bengal,1996,GOSABA,129487,105499,81.47,GANESH MONDAL,parties.IN.RSP,RSP,54312,51.48,SUJIT PRAMANIK,parties.IN.INC,INC,43526,10786,10.22,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-101,west-bengal,1996,BASANTI,169358,136442,80.56,SUBHAS NASKAR,parties.IN.RSP,RSP,69834,51.18,JAYANTA NASKAR,parties.IN.INC,INC,60372,9462,6.93,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-102,west-bengal,1996,KULTALI,154308,127976,82.94,PRABOD PURKAIT,parties.IN.IND,IND,62453,48.8,RAM SANKAR HALDAR,parties.IN.CPIM,CPM,52160,10293,8.04,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-103,west-bengal,1996,JOYNAGAR,153687,121445,79.02,DEBA PRASAD SARKAR,parties.IN.IND,IND,52718,43.41,RABINDRA NATH BASU,parties.IN.CPIM,CPM,27224,25494,20.99,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-104,west-bengal,1996,BARUIPUR,183587,153204,83.45,SOBHAN DEB CHATTOPADHYAY,parties.IN.INC,INC,75314,49.16,SUJAN CHAKRABORTY,parties.IN.CPIM,CPM,73788,1526,1,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-105,west-bengal,1996,CANNING WEST,175388,140235,79.96,BIMAL MISTRY,parties.IN.CPIM,CPM,64543,46.02,GOBINDA CHANDRA NASKAR,parties.IN.INC,INC,59038,5505,3.92,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-106,west-bengal,1996,CANNING EAST,137859,116901,84.8,ABDUR RAZZAK MOLLA,parties.IN.CPIM,CPM,89062,76.19,AKRAM LASKAR,parties.IN.INC,INC,22297,66765,57.12,src-1b7bc1c9d39a
IN-AC-1976-west-bengal-107,west-bengal,1996,BHANGAR,150603,129968,86.3,BADAL ZAMADAR,parties.IN.CPIM,CPM,81180,62.46,AZIBAR RAHAMAN,parties.IN.INC,INC,43120,38060,29.28,src-1b7bc1c9d39a
