entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-1976-west-bengal-104,west-bengal,1998,104,BARUIPUR,Sujan Chakraborty,parties.IN.CPIM,CPM,76054,55.22,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-104,west-bengal,1998,104,BARUIPUR,Arup Bhadra,parties.IN.AITC,AITC,52762,38.31,2,lost,U,,,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-104,west-bengal,1998,104,BARUIPUR,Rajen Paul,parties.IN.INC,INC,8083,5.87,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-104,west-bengal,1998,104,BARUIPUR,Abdus Sobhan Sarder,parties.IN.BSP,BSP,456,0.33,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-104,west-bengal,1998,104,BARUIPUR,Arun Mondal,parties.IN.IND,IND,201,0.15,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-104,west-bengal,1998,104,BARUIPUR,Pankaj Sardar,parties.IN.IND,IND,174,0.13,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-131,west-bengal,1998,131,JAGADAL,Haripada Biswas,parties.IN.AIFB,FBL,53407,41.14,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-131,west-bengal,1998,131,JAGADAL,Somnath Talukdar,parties.IN.AITC,AITC,43941,33.85,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-131,west-bengal,1998,131,JAGADAL,Provakar Tewari,parties.IN.BJP,BJP,19981,15.39,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-131,west-bengal,1998,131,JAGADAL,Kedar Singh,parties.IN.INC,INC,11739,9.04,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-131,west-bengal,1998,131,JAGADAL,Narendra Pratap Mishra,parties.IN.SAP,SAP,430,0.33,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-131,west-bengal,1998,131,JAGADAL,Samir Chandra Das,parties.IN.IND,IND,313,0.24,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-145,west-bengal,1998,145,BOWBAZAR,Ajit Pandey,parties.IN.CPIM,CPM,19902,36.73,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-145,west-bengal,1998,145,BOWBAZAR,Nayna Bandyopadhyay,parties.IN.WBTC,WBTC,18021,33.25,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-145,west-bengal,1998,145,BOWBAZAR,Abdur Rauf Ansari,parties.IN.INC,INC,15711,28.99,3,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-145,west-bengal,1998,145,BOWBAZAR,Prof. Syed Haider Hasan Kazimi,parties.IN.RJD,RJD,329,0.61,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
