entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1976-west-bengal-1,west-bengal,2006,MEKLIGANJ,164977,144229,87.42,PARESH CHANDRA ADHIKARY,parties.IN.AIFB,AIFB,67491,46.79,SUNIL CHANDRA ROY,parties.IN.AITC,AITC,39490,28001,19.41,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-10,west-bengal,2006,KUMARGRAM,151171,128977,85.32,DASRATH TIRKEY,parties.IN.RSP,RSP,69540,53.92,SWAPAN KUJUR,parties.IN.AITC,AITC,32372,37168,28.82,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-100,west-bengal,2006,GOSABA,140277,118288,84.32,CHITTA RANJAN MANDAL,parties.IN.RSP,RSP,57594,48.69,JAYANTA NASKAR,parties.IN.AITC,AITC,51110,6484,5.48,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-101,west-bengal,2006,BASANTI,180404,133941,74.25,SUBHAS NASKAR,parties.IN.RSP,RSP,88857,66.34,AMAL KANTI RAY,parties.IN.BJP,BJP,36256,52601,39.27,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-102,west-bengal,2006,KULTALI,163704,141372,86.36,JOYKRISHNA HALDER,parties.IN.IND,IND,67664,47.86,RAMSANKAR HALDER,parties.IN.CPIM,CPM,66860,804,0.57,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-103,west-bengal,2006,JOYNAGAR,164010,130921,79.83,DEBAPRASAD SARKAR,parties.IN.IND,IND,59749,45.64,ASISH GHOSH,parties.IN.CPIM,CPM,46263,13486,10.3,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-104,west-bengal,2006,BARUIPUR,208274,170120,81.68,RAHUL GHOSH,parties.IN.CPIM,CPM,80540,47.34,ARUP BHADRA,parties.IN.AITC,AITC,76633,3907,2.29,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-105,west-bengal,2006,CANNING WEST,192586,155294,80.64,DWIJAPADA MONDOL,parties.IN.CPIM,CPM,64749,41.69,GOBINDA CHANDRA NASKAR,parties.IN.AITC,AITC,63303,1446,0.93,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-106,west-bengal,2006,CANNING EAST,145676,122869,84.34,ABDUR RAZZAK MOLLA,parties.IN.CPIM,CPM,70725,57.56,AMIRUL ISLAM,parties.IN.AITC,AITC,40176,30549,24.86,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-107,west-bengal,2006,BHANGAR,167975,149750,89.15,ARABUL ISLAM,parties.IN.AITC,AITC,71990,48.07,MOSHARAF HOSSAIN LASKAR,parties.IN.CPIM,CPM,69000,2990,1.99,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-108,west-bengal,2006,JADAVPUR,274932,208726,75.92,BUDDHADEB BHATTACHARJEE,parties.IN.CPIM,CPM,127837,61.25,DIPAK KUMAR GHOSH,parties.IN.AITC,AITC,69707,58130,27.85,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-109,west-bengal,2006,SONARPUR,291364,232563,79.82,SHYAMAL NASKAR,parties.IN.CPIM,CPM,113146,48.65,NIRMAL CH. MANDAL,parties.IN.AITC,AITC,105126,8020,3.45,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-11,west-bengal,2006,KALCHINI,138261,114446,82.78,MANOHAR TIRKEY,parties.IN.RSP,RSP,52748,46.09,PABAN KUMAR LAKRA,parties.IN.INC,INC,47759,4989,4.36,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-110,west-bengal,2006,BISHNUPUR EAST,141606,117504,82.98,ANANDA KUMAR BISWAS,parties.IN.CPIM,CPM,59099,50.3,DILIP MONDAL,parties.IN.AITC,AITC,52786,6313,5.38,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-111,west-bengal,2006,BISHNUPUR WEST,167000,136355,81.65,RATHIN SARKAR,parties.IN.CPIM,CPM,60913,44.67,MADAN MITRA,parties.IN.AITC,AITC,56653,4260,3.12,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-112,west-bengal,2006,BEHALA EAST,257824,202114,78.39,KUMKUM CHAKRABORTI,parties.IN.CPIM,CPM,103421,51.17,SOVAN CHATTERJEE,parties.IN.AITC,AITC,77526,25895,12.81,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-113,west-bengal,2006,BEHALA WEST,225473,168436,74.7,PARTHA CHATTERJEE,parties.IN.AITC,AITC,82259,48.84,NIRANJAN CHATTERJEE,parties.IN.CPIM,CPM,76532,5727,3.4,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-114,west-bengal,2006,GARDEN REACH,155014,94092,60.7,ABDUL KHALEQUE MOLLA,parties.IN.INC,INC,45557,48.42,AMIN MOHAMMED,parties.IN.CPIM,CPM,36683,8874,9.43,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-115,west-bengal,2006,MAHESHTALA,173390,131410,75.79,MURSALIN MOLLA,parties.IN.CPIM,CPM,65691,49.99,DULAL DAS,parties.IN.INC,INC,37835,27856,21.2,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-116,west-bengal,2006,BUDGE BUDGE,160237,127661,79.67,ASHOK KUMAR DEB,parties.IN.AITC,AITC,72889,57.1,RATAN BAGCHI,parties.IN.CPIM,CPM,47780,25109,19.67,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-117,west-bengal,2006,SATGACHIA,161532,133967,82.94,SONALI GUHA (BOSE),parties.IN.AITC,AITC,64322,48.01,KABITA KAYAL,parties.IN.CPIM,CPM,57526,6796,5.07,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-118,west-bengal,2006,FALTA,139052,113368,81.53,CHANDANA GHOSHDOSTIDAR,parties.IN.CPIM,CPM,51814,45.7,TAMONASH GHOSH,parties.IN.AITC,AITC,50060,1754,1.54,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-119,west-bengal,2006,DIAMOND HARBOUR,170498,134761,79.04,RISHI HALDER,parties.IN.CPIM,CPM,64005,47.5,SUBHASHIS CHAKRABORTY,parties.IN.AITC,AITC,58789,5216,3.88,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-12,west-bengal,2006,ALIPURDUARS,171457,144880,84.5,NIRMAL DAS,parties.IN.RSP,RSP,72394,49.97,SOURAV CHAKROBORTY,parties.IN.INC,INC,33526,38868,26.83,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-120,west-bengal,2006,MAGRAHAT WEST,153682,117528,76.47,DR.ABUL HASNAT,parties.IN.CPIM,CPM,59274,50.43,GIASUDDIN MOLLA,parties.IN.AITC,AITC,38049,21225,18.06,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-121,west-bengal,2006,MAGRAHAT EAST,168877,132731,78.6,BANSARI MOHAN KANJI,parties.IN.CPIM,CPM,66996,50.48,NOMITA SAHA,parties.IN.AITC,AITC,46676,20320,15.31,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-122,west-bengal,2006,MANDIRBAZAR,165139,133069,80.58,DR. TAPATI SAHA,parties.IN.CPIM,CPM,63751,47.91,CHOUDHURY MOHAN JATUA,parties.IN.AITC,AITC,62399,1352,1.02,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-123,west-bengal,2006,MATHURAPUR,171639,150978,87.96,KANTI GANGULY,parties.IN.CPIM,CPM,74657,49.45,SAYTARANJAN BAPULI,parties.IN.AITC,AITC,66926,7731,5.12,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-124,west-bengal,2006,KULPI,137534,112768,81.99,SAKUNTALA PAIK,parties.IN.CPIM,CPM,51680,45.83,JAGARANJAN HALDAR,parties.IN.AITC,AITC,49888,1792,1.59,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-125,west-bengal,2006,PATHARPRATIMA,147860,129646,87.68,JAJNESWAR DAS,parties.IN.CPIM,CPM,60812,46.91,SAMIR KUMAR JANA,parties.IN.AITC,AITC,51371,9441,7.29,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-126,west-bengal,2006,KAKDWIP,150902,132999,88.14,ASHOK GIRI,parties.IN.CPIM,CPM,65749,49.44,MANTURAM PAKHIRA,parties.IN.AITC,AITC,57333,8416,6.33,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-127,west-bengal,2006,SAGAR,175796,161308,91.76,MILAN PARUA,parties.IN.CPIM,CPM,79764,49.45,BANKIM CHANDRA HAZRA,parties.IN.AITC,AITC,71451,8313,5.16,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-128,west-bengal,2006,BIJPUR,147644,109601,74.23,DR. NIRJHARINI CHAKRABARTY,parties.IN.CPIM,CPM,57715,52.66,KALYANI BISWAS ( BASU),parties.IN.AITC,AITC,39930,17785,16.23,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-129,west-bengal,2006,NAIHATI,155068,125049,80.64,RANJIT KUNDU,parties.IN.CPIM,CPM,61274,49,DHILLON SARKAR,parties.IN.AITC,AITC,51390,9884,7.9,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-13,west-bengal,2006,FALAKATA,158912,137103,86.28,JOGESH CH. BARMAN,parties.IN.CPIM,CPM,69910,50.99,ANIL ADHIKARI,parties.IN.AITC,AITC,56596,13314,9.71,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-130,west-bengal,2006,BHATPARA,118694,81930,69.03,ARJUN SING,parties.IN.AITC,AITC,50368,61.48,HARIMOHAN NATH,parties.IN.CPIM,CPM,21692,28676,35,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-131,west-bengal,2006,JAGATDAL,166234,136191,81.93,HARIPADA BISWAS,parties.IN.AIFB,AIFB,64536,47.39,RAHUL (BISWAJIT) SINHA,parties.IN.BJP,BJP,54796,9740,7.16,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-132,west-bengal,2006,NOAPARA,118576,93346,78.72,KUSADHWAJ GHOSH,parties.IN.CPIM,CPM,44550,47.73,MANJU BASU,parties.IN.AITC,AITC,40043,4507,4.83,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-133,west-bengal,2006,TITAGARH,107102,75181,70.2,DR. PRAVIN KUMAR,parties.IN.CPIM,CPM,32331,43,MEENA GHOSH,parties.IN.AITC,AITC,31515,816,1.08,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-134,west-bengal,2006,KHARDAH,212592,182044,85.63,ASIM KUMAR DASGUPTA,parties.IN.CPIM,CPM,102995,56.58,MAHADEB BASAK,parties.IN.BJP,BJP,60690,42305,23.24,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-135,west-bengal,2006,PANIHATI,195471,157071,80.36,GOPAL KRISHNA BHATTACHARYYA,parties.IN.CPIM,CPM,75466,48.05,NIRMAL GHOSH,parties.IN.AITC,AITC,71620,3846,2.45,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-136,west-bengal,2006,KAMARHATI,163775,126461,77.22,MANASH MUKHERJEE,parties.IN.CPIM,CPM,71322,56.4,SUBHRANGSHU BHATTACHARYA,parties.IN.AITC,AITC,40634,30688,24.27,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-137,west-bengal,2006,BARANAGAR,212397,166383,78.34,AMAR CHOWDHURY,parties.IN.RSP,RSP,85584,51.44,ATIN GHOSH,parties.IN.AITC,AITC,67428,18156,10.91,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-138,west-bengal,2006,DUM DUM,225808,183561,81.29,REKHA GOSWAMI,parties.IN.CPIM,CPM,99054,53.96,UDAYAN NAMBOODIRY,parties.IN.AITC,AITC,68816,30238,16.47,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-139,west-bengal,2006,BELGACHIA EAST,274829,196659,71.56,SUBHAS CHAKRABORTI,parties.IN.CPIM,CPM,91273,46.41,SUJIT BOSE,parties.IN.AITC,AITC,89524,1749,0.89,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-14,west-bengal,2006,MADARIHAT,141033,115559,81.94,KUMARI KUJUR,parties.IN.RSP,RSP,47331,40.96,ATUL SUBA,parties.IN.INC,INC,28565,18766,16.24,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-140,west-bengal,2006,COSSIPUR,88895,60601,68.17,BANDYOPADHYAY TARAK,parties.IN.AITC,AITC,26150,43.15,SALIL CHATTERJEE,parties.IN.CPIM,CPM,24514,1636,2.7,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-141,west-bengal,2006,SHYAMPUKUR,77649,50224,64.68,JIBAN PRAKASH SAHA,parties.IN.AIFB,AIFB,26382,52.53,SAMIK BHATTACHARYA,parties.IN.BJP,BJP,16304,10078,20.07,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-142,west-bengal,2006,JORABAGAN,81014,44708,55.19,PARIMAL BISWAS,parties.IN.CPIM,CPM,21739,48.62,SANJOY BAKSHI,parties.IN.AITC,AITC,15030,6709,15,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-143,west-bengal,2006,JORASANKO,67449,34341,50.91,DINESH BAJAJ,parties.IN.AITC,AITC,14162,41.24,SHYAM SUNDAR GUPTA,parties.IN.AIFB,AIFB,13343,819,2.39,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-144,west-bengal,2006,BARA BAZAR,65892,27763,42.13,MD. SOHRAB,parties.IN.RJD,RJD,9527,34.32,AMITABHA CHAKRABORTY,parties.IN.INC,INC,8760,767,2.77,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-145,west-bengal,2006,BOW BAZAR,97841,53235,54.41,SUDIP BANDYOPADHYAY,parties.IN.INC,INC,21451,40.29,REKHA SINGH,parties.IN.CPIM,CPM,15309,6142,11.53,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-146,west-bengal,2006,CHOWRINGHEE,118158,60225,50.97,SUBRATA BAKSHI,parties.IN.AITC,AITC,23000,38.19,NARAYAN JAIN,parties.IN.CPIM,CPM,20790,2210,3.67,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-147,west-bengal,2006,KABITIRTHA,149733,79797,53.29,RAM PYARE RAM,parties.IN.INC,INC,40280,50.48,MOINUDDIN SHAMS,parties.IN.AIFB,AIFB,30923,9357,11.73,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-148,west-bengal,2006,ALIPORE,119121,71746,60.23,TAPAS PAUL,parties.IN.AITC,AITC,37440,52.18,BIPLAB CHATTERJEE,parties.IN.CPIM,CPM,26138,11302,15.75,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-149,west-bengal,2006,RASHBEHARI AVENUE,107997,63851,59.12,SOBHANDEB CHATTOPADHYAY,parties.IN.AITC,AITC,34800,54.5,MALA ROY,parties.IN.INC,INC,12917,21883,34.27,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-15,west-bengal,2006,DHUPGURI,150181,133977,89.21,LAKSHMI KANTA ROY,parties.IN.CPIM,CPM,66040,49.29,ASHOK KUMAR BARMAN,parties.IN.AITC,AITC,49175,16865,12.59,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-150,west-bengal,2006,TOLLYGUNGE,143407,99368,69.29,AROOP BISWAS,parties.IN.AITC,AITC,46378,46.67,PARTHA PRATIM BISWAS,parties.IN.CPIM,CPM,45852,526,0.53,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-151,west-bengal,2006,DHAKURIA,172709,120822,69.96,KSHITI GOSWAMI,parties.IN.RSP,RSP,57669,47.73,SOUGATA ROY,parties.IN.AITC,AITC,56582,1087,0.9,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-152,west-bengal,2006,BALLYGUNGE,189478,123819,65.35,AHMED JAVED KHAN,parties.IN.AITC,AITC,59693,48.21,RABIN DEB,parties.IN.CPIM,CPM,53242,6451,5.21,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-153,west-bengal,2006,ENTALLY,127246,78514,61.7,HASHIM ABDUL HALIM,parties.IN.CPIM,CPM,38934,49.59,KHALID EBADULLAH,parties.IN.INC,INC,19633,19301,24.58,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-154,west-bengal,2006,TALTOLA,121431,80317,66.14,DEBESH DAS,parties.IN.CPIM,CPM,39618,49.33,SUMANTA KUMAR HIRA,parties.IN.AITC,AITC,25129,14489,18.04,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-155,west-bengal,2006,BELIAGHATA,127016,91025,71.66,MANABENDRA MUKHERJEE,parties.IN.CPIM,CPM,48251,53.01,ASHIM CHATTERJEE,parties.IN.AITC,AITC,31876,16375,17.99,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-156,west-bengal,2006,SEALDAH,65157,39313,60.34,SOMENDRA NATH MITRA,parties.IN.INC,INC,23011,58.53,PRABIR DEB,parties.IN.CPI,CPI,10252,12759,32.45,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-157,west-bengal,2006,VIDYASAGAR,97897,58343,59.6,ANADI KUMAR SAHU,parties.IN.CPIM,CPM,28992,49.69,PRYAL CHAUDHURY,parties.IN.INC,INC,14416,14576,24.98,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-158,west-bengal,2006,BURTOLA,98541,67063,68.06,SADHAN PANDE,parties.IN.AITC,AITC,36581,54.55,KALYAN MUKHERJEE,parties.IN.RSP,RSP,21863,14718,21.95,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-159,west-bengal,2006,MANICKTOLA,154046,112704,73.16,RUPA BAGCHI,parties.IN.CPIM,CPM,53908,47.83,PARESH PAUL,parties.IN.AITC,AITC,52523,1385,1.23,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-16,west-bengal,2006,NAGRAKATA,160050,132440,82.75,SUKHMOITH (PITING) ORAON,parties.IN.CPIM,CPM,62676,47.32,SHANKAR BARAIK,parties.IN.INC,INC,40934,21742,16.41,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-160,west-bengal,2006,BELGACHIA WEST,121655,82170,67.54,MALA SAHA,parties.IN.AITC,AITC,37711,45.89,RAJDEO GOWALA,parties.IN.CPIM,CPM,37173,538,0.65,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-161,west-bengal,2006,BALLY,128404,91637,71.37,KANIKA GANGULY,parties.IN.CPIM,CPM,54262,59.21,REKHA RAUT,parties.IN.AITC,AITC,24737,29525,32.22,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-162,west-bengal,2006,HOWRAH NORTH,146860,97323,66.27,LAGAN DEO SINGH,parties.IN.CPIM,CPM,52361,53.8,BANI SINGHA ROY,parties.IN.AITC,AITC,21459,30902,31.75,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-163,west-bengal,2006,HOWRAH CENTRAL,114493,84322,73.65,ARUP RAY (TUKUN),parties.IN.CPIM,CPM,35657,42.29,AMBICA BANERJEE,parties.IN.AITC,AITC,28988,6669,7.91,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-164,west-bengal,2006,HOWRAH SOUTH,131256,84258,64.19,KRISHNA KISOR RAY (K.K.RAY),parties.IN.CPIM,CPM,40493,48.06,AMITAVA DATTA,parties.IN.JDU,JD(U),17487,23006,27.31,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-165,west-bengal,2006,SHIBPUR,269646,200237,74.26,DR. JAGANNATH BHATTACHARYYA,parties.IN.AIFB,AIFB,92894,46.39,JATU LAHIRI,parties.IN.AITC,AITC,83335,9559,4.77,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-166,west-bengal,2006,DOMJUR,234899,188999,80.46,MOHANTA CHATTERJEE,parties.IN.CPIM,CPM,101015,53.45,RAJIB BANERJEE,parties.IN.AITC,AITC,70106,30909,16.36,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-167,west-bengal,2006,JAGATBALLAVPUR,184922,147995,80.03,BIPLAB MAJUMDAR,parties.IN.CPIM,CPM,72161,48.76,BIMAN CHAKRABORTI,parties.IN.AITC,AITC,60752,11409,7.71,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-168,west-bengal,2006,PANCHLA,178745,134476,75.23,DOLI ROY,parties.IN.AIFB,AIFB,64274,47.8,ABUL KASEM MOLLA,parties.IN.AITC,AITC,38771,25503,18.97,src-1b7bc1c9d39a,minor,
IN-AC-1976-west-bengal-169,west-bengal,2006,SANKRAIL,193563,148691,76.82,SITAL KUMAR SARDAR,parties.IN.AITC,AITC,66551,44.76,ANIRBAN HAZRA,parties.IN.CPIM,CPM,66438,113,0.08,src-1b7bc1c9d39a,minor,
