entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-PC-1962-andhra-pradesh-1,andhra-pradesh,1962,SRIKAKULAM,443080,263343,59.43,BODDIPALLI RAJAGOPALA ROW,parties.IN.INC,INC,112172,42.6,SUGGU SRINIVASA REDDY,parties.IN.SWA,SWA,80357,31815,12.09,src-31c65dbec869
IN-PC-1962-andhra-pradesh-10,andhra-pradesh,1962,NARASAPUR,478392,363473,75.98,DATLA BALARAMARAJU,parties.IN.INC,INC,181878,50.04,UDDARAJU RAMAM,parties.IN.CPI,CPI,167209,14669,4.04,src-31c65dbec869
IN-PC-1962-andhra-pradesh-11,andhra-pradesh,1962,ELURU,470098,335961,71.47,VIRAMACHANENI VIMALADEVI,parties.IN.CPI,CPI,159379,47.44,KUMARI MOTHEY VEDAKUMARI,parties.IN.INC,INC,157910,1469,0.44,src-31c65dbec869
IN-PC-1962-andhra-pradesh-12,andhra-pradesh,1962,GUDIVADA,493266,380787,77.2,MANGANTI ANKINEEDU,parties.IN.INC,INC,186452,48.96,YARLAGADDA VENKATAKRISHNARAO,parties.IN.CPI,CPI,169718,16734,4.39,src-31c65dbec869
IN-PC-1962-andhra-pradesh-13,andhra-pradesh,1962,VIJAYWADA,449300,348802,77.63,K.L.RAO,parties.IN.INC,INC,177794,50.97,NANDURI DURGA MALLIKHARJUNA PRASADA RAO,parties.IN.CPI,CPI,154811,22983,6.59,src-31c65dbec869
IN-PC-1962-andhra-pradesh-14,andhra-pradesh,1962,MASULIPATNAM,475481,348302,73.25,MANDALI VENKATASWAMY,parties.IN.IND,IND,153720,44.13,MANDALI VENKATA KRISHNARAO,parties.IN.INC,INC,149508,4212,1.21,src-31c65dbec869
IN-PC-1962-andhra-pradesh-15,andhra-pradesh,1962,TENALI,479831,355537,74.1,KOLLA VENKAIAH,parties.IN.CPI,CPI,143396,40.33,NADIMPALLI VENKATALAKSHMI NARASIMHA RAO,parties.IN.INC,INC,119469,23927,6.73,src-31c65dbec869
IN-PC-1962-andhra-pradesh-16,andhra-pradesh,1962,GUNTUR,516008,355564,68.91,KOTHA RAGHU RAMAIAH,parties.IN.INC,INC,204533,57.52,SASTLA VENKATA LAKSHMINARASIMHAM,parties.IN.IND,IND,104591,99942,28.1,src-31c65dbec869
IN-PC-1962-andhra-pradesh-17,andhra-pradesh,1962,ONGOLE,513758,320319,62.35,MADALA NARAYANASWAMY,parties.IN.CPI,CPI,127120,39.69,T.S. PAULUS,parties.IN.INC,INC,124777,2343,0.74,src-31c65dbec869
IN-PC-1962-andhra-pradesh-18,andhra-pradesh,1962,MARKAPUR,474652,299620,63.12,GUJJULA YELLAMANDA REDDY,parties.IN.CPI,CPI,146909,49.03,CHEGIREDDY BALIREDDY,parties.IN.INC,INC,120082,26827,8.95,src-31c65dbec869
IN-PC-1962-andhra-pradesh-19,andhra-pradesh,1962,KAVALI,478746,321496,67.15,BEZWADA GOPALA REDDY,parties.IN.INC,INC,167031,51.95,BEZWADA RAMACHANDRA REDDY,parties.IN.SWA,SWA,139068,27963,8.69,src-31c65dbec869
