entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-PC-1976-bihar-35,bihar,1993,35,PATNA,R.YADAV,parties.IN.JD_B,JD(B),339563,53.44,1,won,U,,,,challenger,src-d4b15132ad0e,minor,
IN-PC-1976-bihar-35,bihar,1993,35,PATNA,S.N.SHRIVASTVA,parties.IN.BJP,BJP,179620,28.27,2,lost,U,,,,challenger,src-d4b15132ad0e,minor,
IN-PC-1976-bihar-35,bihar,1993,35,PATNA,C.P.THAKUR,parties.IN.INC,INC,76241,12,3,forfeit,U,,,,challenger,src-d4b15132ad0e,minor,
IN-PC-1976-bihar-35,bihar,1993,35,PATNA,R.N.YADAV,parties.IN.CPI,CPI,26238,4.13,4,forfeit,U,,,,challenger,src-d4b15132ad0e,minor,
IN-PC-1976-bihar-35,bihar,1993,35,PATNA,N.S.KUSHWAHA,parties.IN.JP,JP,2088,0.33,5,forfeit,U,,,,challenger,src-d4b15132ad0e,minor,
IN-PC-1976-bihar-35,bihar,1993,35,PATNA,T.S.SINGH,parties.IN.IND,IND,1402,0.22,6,forfeit,U,,,,challenger,src-d4b15132ad0e,minor,
IN-PC-1976-bihar-35,bihar,1993,35,PATNA,R.PRASAD,parties.IN.IND,IND,1084,0.17,7,forfeit,U,,,,challenger,src-d4b15132ad0e,minor,
IN-PC-1976-bihar-35,bihar,1993,35,PATNA,R.C.SAHNI,parties.IN.IND,IND,587,0.09,8,forfeit,U,,,,challenger,src-d4b15132ad0e,minor,
IN-PC-1976-bihar-35,bihar,1993,35,PATNA,R.SINGH,parties.IN.IND,IND,524,0.08,9,forfeit,U,,,,challenger,src-d4b15132ad0e,minor,
IN-PC-1976-bihar-35,bihar,1993,35,PATNA,MD.ASLAM,parties.IN.IND,IND,483,0.08,10,forfeit,U,,,,challenger,src-d4b15132ad0e,minor,
IN-PC-1976-bihar-35,bihar,1993,35,PATNA,A.P.PRIYADARSHI,parties.IN.IND,IND,440,0.07,11,forfeit,U,,,,challenger,src-d4b15132ad0e,minor,
IN-PC-1976-bihar-35,bihar,1993,35,PATNA,M.SHARAM,parties.IN.IND,IND,379,0.06,12,forfeit,U,,,,challenger,src-d4b15132ad0e,minor,
IN-PC-1976-bihar-35,bihar,1993,35,PATNA,M.SHARAM,parties.IN.IND,IND,376,0.06,13,forfeit,U,,,,challenger,src-d4b15132ad0e,minor,
IN-PC-1976-bihar-35,bihar,1993,35,PATNA,H.KRISHNA,parties.IN.IND,IND,358,0.06,14,forfeit,U,,,,challenger,src-d4b15132ad0e,minor,
IN-PC-1976-bihar-35,bihar,1993,35,PATNA,C.H.PRASAD,parties.IN.IND,IND,356,0.06,15,forfeit,U,,,,challenger,src-d4b15132ad0e,minor,
