entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-PC-1976-andaman-and-nicobar-islands-1,andaman-and-nicobar-islands,2004,ANDAMAN & NICOBAR ISLANDS,241645,153825,63.66,MANORANJAN BHAKTA,parties.IN.INC,INC,85794,55.77,BISHNU PADA RAY,parties.IN.BJP,BJP,55294,30500,19.82,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
IN-PC-1976-andhra-pradesh-1,andhra-pradesh,2004,SRIKAKULAM,958626,723774,75.5,YERRANNAIDU KINJARAPU,parties.IN.TDP,TDP,361906,50,KILLI KRUPARANI,parties.IN.INC,INC,330027,31879,4.4,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
IN-PC-1976-andhra-pradesh-10,andhra-pradesh,2004,NARASAPUR,996175,768537,77.15,CHEGONDI VENKATA HARIRAMA JOGAIAH,parties.IN.INC,INC,402761,52.41,UPPALAPATI VENKATAKRISHNAM RAJU,parties.IN.BJP,BJP,338349,64412,8.38,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
IN-PC-1976-andhra-pradesh-11,andhra-pradesh,2004,ELURU,1151672,896946,77.88,KAVURU  SAMBA SIVA RAO,parties.IN.INC,INC,499191,55.65,BOLLA BULLI RAMAIAH,parties.IN.TDP,TDP,375900,123291,13.74,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
IN-PC-1976-andhra-pradesh-12,andhra-pradesh,2004,MACHILIPATNAM,993370,755314,76.04,BADIGA RAMAKRISHNA,parties.IN.INC,INC,387127,51.25,AMBATI BRAHMANAIAH,parties.IN.TDP,TDP,336786,50341,6.66,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
IN-PC-1976-andhra-pradesh-13,andhra-pradesh,2004,VIJAYAWADA,1464657,945550,64.56,RAJAGOPAL LAGADAPATI,parties.IN.INC,INC,519624,54.95,ASWINI DUTT CHALASANI,parties.IN.TDP,TDP,405037,114587,12.11,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
IN-PC-1976-andhra-pradesh-14,andhra-pradesh,2004,TENALI,880148,673462,76.52,BALASHOWRY VALLABHANENI,parties.IN.INC,INC,366843,54.47,UMMAREDDY VENKATESWARLU,parties.IN.TDP,TDP,288287,78556,11.66,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
IN-PC-1976-andhra-pradesh-15,andhra-pradesh,2004,GUNTUR,1172954,821478,70.03,RAYAPATI  SAMBASIVA RAO,parties.IN.INC,INC,466221,56.75,Y. V. RAO,parties.IN.TDP,TDP,336429,129792,15.8,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
IN-PC-1976-andhra-pradesh-16,andhra-pradesh,2004,BAPATLA,948929,735462,77.5,DAGGUBATI PURANDARESWARI,parties.IN.INC,INC,411099,55.9,DAGGUBATI RAMANAIDU,parties.IN.TDP,TDP,317017,94082,12.8,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
IN-PC-1976-andhra-pradesh-17,andhra-pradesh,2004,NARASARAOPET,1255040,899784,71.69,MEKAPATI RAJAMOHAN REDDY,parties.IN.INC,INC,481310,53.49,MADDI LAKSHMAIAH,parties.IN.TDP,TDP,395055,86255,9.58,src-d4b15132ad0e,major,PC summary derived from TCPD All_States_GA.csv (AC-segment aggregation to PC level); direct-PC TCPD CSV not published for this LS year.
