entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-PC-1976-chhattisgarh-11,chhattisgarh,2007,RAJNANDGOAN,1163778,735875,63.23,Dev Wrat Singh,parties.IN.INC,INC,345009,46.88,Leela Ram Bhojwani,parties.IN.BJP,BJP,293395,51614,7.01,src-d4b15132ad0e,minor,
IN-PC-1976-goa-2,goa,2007,MORMUGAO,560898,201195,35.87,Shri Francisco Sardinha,parties.IN.INC,INC,118583,58.94,Mesquita Wilfred M.,parties.IN.BJP,BJP,77681,40902,20.33,src-d4b15132ad0e,minor,
IN-PC-1976-himachal-pradesh-4,himachal-pradesh,2007,HAMIRPUR,1175329,703447,59.85,Prem Kumar Dhumal,parties.IN.BJP,BJP,382128,54.32,Thakur Ram Lal,parties.IN.INC,INC,302069,80059,11.38,src-d4b15132ad0e,minor,
IN-PC-1976-jharkhand-13,jharkhand,2007,PALAMU,1366537,676950,49.54,DHURAN RAM,parties.IN.RJD,RJD,164202,24.26,KAMESHWAR BYTHA,parties.IN.BSP,BSP,141875,22327,3.3,src-d4b15132ad0e,minor,
IN-PC-1976-jharkhand-9,jharkhand,2007,JAMSHEDPUR,1396230,641038,45.91,Suman Mahato (E),parties.IN.JMM,JMM,293003,45.71,Dinesh Ku Sharangi,parties.IN.BJP,BJP,234189,58814,9.18,src-d4b15132ad0e,minor,
IN-PC-1976-madhya-pradesh-10,madhya-pradesh,2007,SIDDHI,1091008,601976,55.18,Shri Manik Singh,parties.IN.INC,INC,212998,35.38,Shri Kunwar Singh,parties.IN.BJP,BJP,211412,1586,0.26,src-d4b15132ad0e,minor,
IN-PC-1976-madhya-pradesh-24,madhya-pradesh,2007,KHARGON,1291829,768668,59.5,Arun Suchash Chandra Yadav,parties.IN.INC,INC,392092,51.01,Krishanmurari Mohe,parties.IN.BJP,BJP,273454,118638,15.43,src-d4b15132ad0e,minor,
IN-PC-1976-madhya-pradesh-3,madhya-pradesh,2007,GWALIOR,1378757,570585,41.38,Yashodhara Raje Scindhia,parties.IN.BJP,BJP,213583,37.43,Ashok Singh,parties.IN.INC,INC,177109,36474,6.39,src-d4b15132ad0e,minor,
IN-PC-1976-maharashtra-16,maharashtra,2007,ERANDOL,1261916,441786,35.01,Adv Vasantaray Jeevanarav More,parties.IN.NCP,NCP,241707,54.71,Dr. B.S. Patil,parties.IN.BJP,BJP,189498,52209,11.82,src-d4b15132ad0e,minor,
IN-PC-1976-maharashtra-17,maharashtra,2007,JALGAON,1295851,447642,34.54,Jawale Haribhau Madhav,parties.IN.BJP,BJP,227619,50.85,Dr. Bhaigale Arjun Gapat,parties.IN.INC,INC,201902,25717,5.75,src-d4b15132ad0e,minor,
IN-PC-1976-maharashtra-22,maharashtra,2007,RAMTEK,1172818,550283,46.92,Jadhav Prakash Bhagwantrao,parties.IN.SHS,SHS,231241,42.02,Mohite Subodh Baburao,parties.IN.INC,INC,198669,32572,5.92,src-d4b15132ad0e,minor,
IN-PC-1976-punjab-2,punjab,2007,AMRITSAR,1309790,878992,67.11,Navjot Singh Sidhu,parties.IN.BJP,BJP,444748,50.6,Surinder Singla,parties.IN.INC,INC,367122,77626,8.83,src-d4b15132ad0e,minor,
IN-PC-1976-uttar-pradesh-49,uttar-pradesh,2007,ROBERTSGANJ,1579700,769641,48.72,Bhai Lal,parties.IN.BSP,BSP,219601,28.53,Pakaudi Lal,parties.IN.SP,SP,219262,339,0.04,src-d4b15132ad0e,minor,
IN-PC-1976-uttar-pradesh-50,uttar-pradesh,2007,MIRZAPUR,1612444,687838,42.66,Ramesh Dubey,parties.IN.BSP,BSP,233482,33.94,Ram Rati Bind,parties.IN.SP,SP,193652,39830,5.79,src-d4b15132ad0e,minor,
IN-PC-1976-uttar-pradesh-60,uttar-pradesh,2007,BILHOUR,1410763,669608,47.46,Anil Shukla Warsi,parties.IN.BSP,BSP,229123,34.22,Lal Singh Tomer,parties.IN.SP,SP,203111,26012,3.89,src-d4b15132ad0e,minor,
IN-PC-1976-uttarakhand-1,uttarakhand,2007,TEHRIGHARWAL,1413822,860264,60.85,VIJAY BAHUGUNA,parties.IN.INC,INC,349325,40.61,MANUJENDRA SHAH,parties.IN.BJP,BJP,328414,20911,2.43,src-d4b15132ad0e,minor,
