entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_votes,margin_votes,margin_pct,source_id
IN-PC-2008-andhra-pradesh-411,andhra-pradesh,2009,HYDERABAD,1393242,731108,52.48,ASADUDDIN OWAISI,parties.IN.AIMIM,308061,42.14,ZAHID ALI KHAN,parties.IN.TDP,194196,113865,15.58,src-31c65dbec869
IN-PC-2008-andhra-pradesh-412,andhra-pradesh,2009,MEDAK,1389721,1060272,76.29,VIJAYA SHANTHI .M,,388839,36.67,NARENDRANATH .C,parties.IN.INC,382762,6077,0.57,src-31c65dbec869
IN-PC-2008-andhra-pradesh-413,andhra-pradesh,2009,RAJAHMUNDRY,1260974,1017820,80.72,ARUNA KUMAR VUNDAVALLI,parties.IN.INC,357449,35.12,M. MURALI MOHAN,parties.IN.TDP,355302,2147,0.21,src-31c65dbec869
IN-PC-2008-andhra-pradesh-415,andhra-pradesh,2009,MAHABUBABAD,1265396,996402,78.74,P. BALRAM,parties.IN.INC,394447,39.59,KUNJA SRINIVASA RAO,parties.IN.CPI,325490,68957,6.92,src-31c65dbec869
IN-PC-2008-andhra-pradesh-418,andhra-pradesh,2009,VISAKHAPATNAM,1387482,1012261,72.96,DAGGUBATI PURANDESWARI,parties.IN.INC,368812,36.43,PALLA SRINIVASA RAO,,302126,66686,6.58,src-31c65dbec869
IN-PC-2008-andhra-pradesh-419,andhra-pradesh,2009,MAHBUBNAGAR,1368868,926516,67.68,K. CHANDRASEKHAR RAO,,366569,39.56,DEVARAKONDA VITTAL RAO,parties.IN.INC,346385,20184,2.17,src-31c65dbec869
IN-PC-2008-andhra-pradesh-420,andhra-pradesh,2009,WARANGAL,1486617,1030525,69.32,RAJAIAH SIRICILLA,parties.IN.INC,396568,38.48,RAMAGALLA PARAMESHWAR,,271907,124661,12.09,src-31c65dbec869
IN-PC-2008-andhra-pradesh-421,andhra-pradesh,2009,AMALAPURAM,1275287,1023765,80.28,G.V.HARSHA KUMAR,parties.IN.INC,368501,35.99,POTHULA PRAMEELA DEVI,,328496,40005,3.9,src-31c65dbec869
IN-PC-2008-andhra-pradesh-424,andhra-pradesh,2009,MALKAJGIRI,2343050,1205714,51.46,SARVEY SATHYANARAYANA,parties.IN.INC,388368,32.21,BHEEMSEN.T,parties.IN.TDP,295042,93326,7.74,src-31c65dbec869
IN-PC-2008-andhra-pradesh-427,andhra-pradesh,2009,NARSAPURAM,1173138,990960,84.47,BAPIRAJU KANUMURU,parties.IN.INC,389422,39.3,THOTA SITA RAMA LAKSHMI,parties.IN.TDP,274732,114690,11.58,src-31c65dbec869
