entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-PC-2008-andhra-pradesh-445,andhra-pradesh,2014,1,ADILABAD,GODAM NAGESH,,430847,41.2,1,won,U,,Post Graduate,,challenger,src-31c65dbec869
IN-PC-2008-andhra-pradesh-445,andhra-pradesh,2014,1,ADILABAD,NARESH,parties.IN.INC,259557,24.82,2,lost,U,,Doctorate,,challenger,src-31c65dbec869
IN-PC-2008-andhra-pradesh-445,andhra-pradesh,2014,1,ADILABAD,RAMESH RATHOD,parties.IN.TDP,184198,17.61,3,lost,U,,12th Pass,,incumbent,src-31c65dbec869
IN-PC-2008-andhra-pradesh-445,andhra-pradesh,2014,1,ADILABAD,RATHOD SADASHIV,parties.IN.BSP,94420,9.03,4,forfeit,U,,Graduate,,challenger,src-31c65dbec869
IN-PC-2008-andhra-pradesh-445,andhra-pradesh,2014,1,ADILABAD,NETHAWATH RAMDAS,parties.IN.IND,41032,3.92,5,forfeit,U,,Illiterate,,challenger,src-31c65dbec869
IN-PC-2008-andhra-pradesh-445,andhra-pradesh,2014,1,ADILABAD,MOSALI CHINNAIAH,parties.IN.IND,8859,0.85,7,forfeit,U,,12th Pass,,challenger,src-31c65dbec869
IN-PC-2008-andhra-pradesh-445,andhra-pradesh,2014,1,ADILABAD,PAWAR KRISHNA,parties.IN.IND,5055,0.48,8,forfeit,U,,Post Graduate,,challenger,src-31c65dbec869
IN-PC-2008-andhra-pradesh-445,andhra-pradesh,2014,1,ADILABAD,BANKA SAHADEV,parties.IN.IND,4787,0.46,9,forfeit,U,,Graduate,,challenger,src-31c65dbec869
IN-PC-2008-andhra-pradesh-448,andhra-pradesh,2014,4,NIZAMABAD,KALVAKUNTLA KAVITHA,,439307,42.49,1,won,U,,Graduate Professional,,challenger,src-31c65dbec869
IN-PC-2008-andhra-pradesh-448,andhra-pradesh,2014,4,NIZAMABAD,MADHU YASKHI GOUD,parties.IN.INC,272123,26.32,2,lost,U,,Post Graduate,Lawyer,incumbent,src-31c65dbec869
IN-PC-2008-andhra-pradesh-448,andhra-pradesh,2014,4,NIZAMABAD,ENDALA LAKSHMINARAYANA,parties.IN.BJP,225333,21.79,3,lost,U,,Graduate,Party Worker,challenger,src-31c65dbec869
IN-PC-2008-andhra-pradesh-448,andhra-pradesh,2014,4,NIZAMABAD,MALIK MOHTASIM KHAN,parties.IN.WPOI,43814,4.24,4,forfeit,U,,Post Graduate,,challenger,src-31c65dbec869
IN-PC-2008-andhra-pradesh-448,andhra-pradesh,2014,4,NIZAMABAD,BAGWAN B,parties.IN.IND,8129,0.79,5,forfeit,U,,,,challenger,src-31c65dbec869
IN-PC-2008-andhra-pradesh-448,andhra-pradesh,2014,4,NIZAMABAD,TALARI RAMULU,parties.IN.BSP,7421,0.72,6,forfeit,U,,12th Pass,Ex Govt Employee,challenger,src-31c65dbec869
IN-PC-2008-andhra-pradesh-448,andhra-pradesh,2014,4,NIZAMABAD,ABDUL GANI,,4791,0.46,8,forfeit,U,,Graduate,,challenger,src-31c65dbec869
IN-PC-2008-andhra-pradesh-448,andhra-pradesh,2014,4,NIZAMABAD,KANDEM PRABHAKAR,parties.IN.IND,3990,0.39,9,forfeit,U,,Graduate,,challenger,src-31c65dbec869
IN-PC-2008-andhra-pradesh-448,andhra-pradesh,2014,4,NIZAMABAD,BANJA VEERAPPA,,3651,0.35,10,forfeit,U,,10th Pass,,challenger,src-31c65dbec869
IN-PC-2008-andhra-pradesh-448,andhra-pradesh,2014,4,NIZAMABAD,SINGAREDDY RAVINDRA REDDY,parties.IN.YSRCP,3529,0.34,11,forfeit,U,,Post Graduate,Engineer,challenger,src-31c65dbec869
IN-PC-2008-andhra-pradesh-448,andhra-pradesh,2014,4,NIZAMABAD,CHIRULINGADRULA VENKATESHAM,parties.IN.IND,3091,0.3,12,forfeit,U,,12th Pass,,challenger,src-31c65dbec869
IN-PC-2008-andhra-pradesh-448,andhra-pradesh,2014,4,NIZAMABAD,S. CHANDRAIAH,parties.IN.IND,2817,0.27,13,forfeit,U,,Graduate,College Professor or Lecturer,challenger,src-31c65dbec869
