constituency_slug,constituency_name,district,category,voters_eligible,votes_polled,turnout_pct,nota_votes,winner_candidate,winner_party_abbreviation,winner_votes,runnerup_candidate,runnerup_party_abbreviation,runnerup_votes,margin_votes,margin_pct
adarsh-nagar,adarsh nagar,JAIPUR,GEN,536788,196840,36.67,1377,RAFEEK KHAN,INC,103421,RAVI KUMAR NAYYAR,BJP,89348,14073,7.1495
ahore,ahor,JALORE,GEN,542908,164770,30.3495,2999,CHHAGAN SINGH RAJPUROHIT,BJP,83259,SAROJ CHOUDHARY,INC,72044,11215,6.8065
ajmer-north,ajmer uttar,AJMER,GEN,419706,141938,33.8184,1231,VASUDEV DEVNANI,BJP,57895,MAHENDRA SINGH RALAWATA,INC,53251,4644,3.2719
ajmer-south,ajmer dakshin,AJMER,SC,420574,140330,33.3663,1674,ANITA BHADEL,BJP,71319,DR. DROPDI KOLI,INC,66873,4446,3.1682
alwar-rural,alvar gramin,ALWAR,SC,525391,195428,37.1967,1252,Tikaram Jully,INC,108584,Jairam Jatav,BJP,81251,27333,13.9862
alwar-urban,alvar shahari,ALWAR,GEN,527135,174569,33.1166,1294,SANJAY SHARMA,BJP,90504,AJAY AGARWAL,INC,81417,9087,5.2054
amber,amer,JAIPUR,GEN,579290,225618,38.9473,1106,PRASHANT SHARMA,INC,108914,SATISH POONIA,BJP,99822,9092,4.0298
anta,anta,BARAN,GEN,434044,174793,40.2708,1271,KANWARLAL,BJP,87390,PRAMOD JAIN,INC,81529,5861,3.3531
anupgarh,anupgarh,GANGANAGAR,SC,491902,191345,38.899,1847,SHIMLA DEVI,INC,102746,SANTOSH BAWRI,BJP,64865,37881,19.7972
asind,asind,BHILWARA,GEN,593828,219985,37.0452,2029,Jabbar Singh Sankhala,BJP,74586,Hagamilal Mewara,INC,73060,1526,0.6937
aspur,aspur,DUNGARPUR,ST,540042,197629,36.5951,3086,Umesh Meena,BHRTADVSIP,93742,Gopichand,BJP,64802,28940,14.6436
bagidora,baghidaura,BANSWARA,ST,529486,218545,41.2749,4335,MAHENDRA JEET SINGH MALVIYA,INC,101742,JAIKRISHN PATEL,BHRTADVSIP,60387,41355,18.9229
bagru,bagru,JAIPUR,SC,705258,254341,36.0635,2407,KAILASH CHAND VERMA,BJP,145170,GANGA DEVI,INC,99920,45250,17.7911
bali,bali,PALI,GEN,665656,218876,32.8812,3144,PUSHPENDRA SINGH,BJP,107938,BADRIRAM JAKHAR,INC,97445,10493,4.794
bamanwas,bamanwaas,SAWAI MADHOPUR,ST,487050,157154,32.2665,1556,INDRA,INC,80378,RAJENDRA,BJP,72513,7865,5.0046
bandi-bundi,Bundi,,GEN,618678,235626,38.0854,3428,HARIMOHAN SHARMA,INC,100107,ASHOK DOGRA,BJP,81293,18814,7.9847
bandikui,bandiku i,DAUSA,GEN,444774,178586,40.1521,980,BHAGCHAND TANKDA,BJP,92067,GAJRAJ KHATANA,INC,79687,12380,6.9322
bansur,bansoor,ALWAR,GEN,509502,180403,35.4077,1623,Devi Singh Shekhawat,BJP,61605,Rohitash Kumar,ASPKR,54185,7420,4.113
banswara,banswada,BANSWARA,ST,562016,225924,40.1989,3528,ARJUN SINGH BAMANIYA,INC,93017,DHAN SINGH RAWAT,BJP,91617,1400,0.6197
baran-atru,Baran Atru,,SC,481952,186490,38.6947,2091,RADHEYSHYAM BAIRWA,BJP,101530,PANACHAND MEGHWAL,INC,81776,19754,10.5925
bari,baadi,DHOLPUR,GEN,474706,200626,42.2632,941,JASWANT SINGH GURJAR,BSP,106060,"GIRRAJ SINGH ""MALINGA""",BJP,78636,27424,13.6692
bari-sadri,badi sadadi,CHITTORGARH,GEN,549974,215064,39.1044,3580,GAUTAM KUMAR,BJP,103940,BADRI LAL JAT,INC,92108,11832,5.5016
barmer,barmer,BARMER,GEN,529724,215357,40.6546,1559,DR. PRIYANKA CHOWDHARY,IND,106948,MEWARAM JAIN,INC,93611,13337,6.193
baseri,basedi,DHOLPUR,SC,406452,150311,36.9812,1045,SANJAY KUMAR,INC,86145,SUKHRAM,BJP,59035,27110,18.0359
bassi,bassi,JAIPUR,ST,469496,184461,39.2892,1411,LAXMAN,INC,88043,CHANDRAMOHAN MEENA,BJP,81729,6314,3.4229
bayana,bayana,BHARATPUR,SC,533018,191492,35.926,1003,Dr. RITU BANAWAT,IND,105749,AMAR SINGH,INC,65107,40642,21.2239
