external_key,external_short,external_full,proposed_party_id,current_party_id,action,n_oracles_present,n_oracles_agreeing,oracles_agreeing,oracles_disagreeing,verdict,curator_note,curator_source_id
AAP,AAP,Aam Aadmi Party,parties.IN.AAP,parties.IN.AAP,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
AAPP,AAPP,Apna Dal (Sonelal),parties.IN.AAPP,parties.IN.AAPP,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
AGP,AGP,Asom Gana Parishad,parties.IN.AGP,parties.IN.AGP,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
AIADMK,AIADMK,All India Anna Dravida Munnetra Kazhagam,parties.IN.AIADMK,parties.IN.AIADMK,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
AIADMK_OPS,AIADMK_OPS,All India Anna Dravida Munnetra Kazhagam (OPS),parties.IN.AIADMK_OPS,,mint-new,1,1,eci-registered,,UNVERIFIED,,
AIFB,AIFB,All India Forward Bloc,parties.IN.AIFB,parties.IN.AIFB,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
AIMIM,AIMIM,All India Majlis-e-Ittehadul Muslimeen,parties.IN.AIMIM,parties.IN.AIMIM,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
AIRJ,AIRJ,Asom Jatiya Parishad,parties.IN.AIRJ,,mint-new,1,1,eci-registered,,UNVERIFIED,,
AITC,AITC,All India Trinamool Congress,parties.IN.AITC,parties.IN.AITC,match,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
AIUDF,AIUDF,All India United Democratic Front,parties.IN.AIUDF,parties.IN.AIUDF,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
AJSU,AJSU,All Jharkhand Students Union,parties.IN.AJSU,parties.IN.AJSU,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
BJD,BJD,Biju Janata Dal,parties.IN.BJD,parties.IN.BJD,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
BJP,BJP,Bharatiya Janata Party,parties.IN.BJP,parties.IN.BJP,match,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
BPF,BPF,Bodoland People's Front,parties.IN.BOPF,parties.IN.BOPF,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
BRS,BRS,Bharat Rashtra Samithi,parties.IN.BRS,parties.IN.BRS,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
BSP,BSP,Bahujan Samaj Party,parties.IN.BSP,parties.IN.BSP,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
CPI,CPI,Communist Party of India,parties.IN.CPI,parties.IN.CPI,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
