party_short_raw,n_rows,reason,detail
Action Party,1,eci-no-match-on-name,"none of 1 rows joined against ECI state xlsx by (constituency, candidate)"
Arjak Adhikar Dal,2,eci-no-match-on-name,"none of 2 rows joined against ECI state xlsx by (constituency, candidate)"
Bharatiya Sarvjan Vikas Party,1,eci-no-match-on-name,"none of 1 rows joined against ECI state xlsx by (constituency, candidate)"
Bhartiya Gadar Party (S),1,eci-no-match-on-name,"none of 1 rows joined against ECI state xlsx by (constituency, candidate)"
Gana Suraksha Party,2,eci-no-match-on-name,"none of 2 rows joined against ECI state xlsx by (constituency, candidate)"
JSR,1,eci-no-match-on-name,"none of 1 rows joined against ECI state xlsx by (constituency, candidate)"
JSTDVPMTP,1,eci-no-match-on-name,"none of 1 rows joined against ECI state xlsx by (constituency, candidate)"
Krishak Bharti Party,1,eci-no-match-on-name,"none of 1 rows joined against ECI state xlsx by (constituency, candidate)"
Revolutionary Communist Party of India  (Rasik Bhatt),1,eci-no-match-on-name,"none of 1 rows joined against ECI state xlsx by (constituency, candidate)"
Samagra Vikas Party,1,eci-no-match-on-name,"none of 1 rows joined against ECI state xlsx by (constituency, candidate)"
Swadeshi Hind Party,2,eci-internal-collision,"no dominant ECI abbr among 2 joined rows (top 'IND'=1); distribution: {'IND': 1, 'SDHIP': 1}"
