external_key,party_short_raw,state,year,n_rows,bucket,tcpd_party_id,tcpd_party_type,tcpd_party_name,tcpd_frequent_abbrev,tcpd_start_year,tcpd_last_year,tcpd_state_disambiguation,current_party_id,proposed_party_id,action,oracle,curator_note,skip_reason
AADI BHARAT PARTY,Aadi Bharat Party,gujarat,2022,4,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AADMPRVTNP,AADMPRVTNP,haryana,2024,2,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AADP,AADP,uttar-pradesh,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AAM AADMI PARIVARTAN PARTY,Aam Aadmi Parivartan Party,punjab|uttar-pradesh,2022,2,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AAM LOK PARTY UNITED,Aam Lok Party United,punjab,2022,6,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AAMAADMIPARI,AAMAADMIPARI,rajasthan,2023,4,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AAMJAN EKTA PARTY,Aamjan Ekta Party,uttar-pradesh,2022,2,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AAS,AAS,maharashtra|uttar-pradesh,2024,5,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AAS PUNJAB PARTY,Aas Punjab Party,punjab,2022,8,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
AASPP,AASPP,chhattisgarh,2024,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
